text,classification,explanation
@user @user γαμα τους Φίλιππε ☘️,non-toxic,"The text contains a non-English phrase and an emoji, which might be interpreted as playful banter in a sports context. However, without clear intent and given the potential for misunderstanding, it could be seen as potentially toxic due to its ambiguous nature."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment is entirely positive and shows appreciation for the athlete's performance without any insults, attacks, or harmful intent. Therefore, it is classified as non-toxic."
@user @user Congratulations Jason,non-toxic,The comment lacks any toxic elements and is a simple congratulatory message.
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"@user's comment contains insults and profanity directed at another person, which falls under category 1: Insults / Personal Attacks."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The text contains a derogatory term 'ΚΑΡΓΙΟΛΗ', which is an insult directed at the athlete. This falls under category 1 of insults/personal attacks, making the comment toxic."
@user @user Απαν κατα απαν,toxic,"The text uses profanity ('κατα απαν') directed at individuals, which falls under the category of vulgar/obscene language."
@user Can you follow me,non-toxic,"The text is a direct request for a follow, which is neutral and not insulting or threatening. There are no derogatory remarks or attacks on identity, so it does not meet the criteria for toxicity."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,non-toxic,"The comment does not contain insults, hate speech, threats, or sarcasm. It appears to be a supportive and encouraging message directed at an athlete's performance, which is neutral in tone and intent."
@user Missed you last season 🐺,non-toxic,"The comment is a simple expression of missing an athlete and includes a playful animal emoji, which does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a neutral and respectful message."
@user We bless God for your safety,non-toxic,"The comment expresses a positive sentiment and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a respectful message showing concern for the athlete's safety."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The comment is purely analytical and supportive, providing statistics on an athlete's performance without any insult, hate speech, threat, or sarcasm. Therefore, it is classified as non-toxic."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The text contains a derogatory remark directed at the athlete, which could be interpreted as mocking or insulting his physical attributes. Given the context of social media and the potential for sarcasm to be perceived as toxic, this comment is classified as toxic."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The comment is in a language other than English and does not contain any insults, threats, hate speech, or vulgar language. However, it lacks a tone of respectful sportsmanship and appears to be a compliment without genuine engagement, which could be seen as insincere in the context of competitive banter."
@user @user Filip you have more to offer.You know it.Let's try for the best.,non-toxic,"The comment does not contain insults, hate speech, threats, vulgar language, or hidden toxicity. However, it is a competitive banter that could be seen as hyperbolic and not directly toxic in intent."
@user @user @user @user “Aqua”,toxic,"The text consists solely of handles directed at an athlete, with no substantive content. In this context, such behavior can be seen as a form of mocking or undermining the individual, making it toxic."
@user Where is the rest of the team?,non-toxic,"The comment is neutral and merely asks a question about the team's whereabouts, without any insult, threat, or derogatory tone directed at an athlete. Therefore, it is classified as non-toxic."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"The comment expresses genuine support and encouragement without any offensive, derogatory, or threatening language. It is positive and supportive, fitting the definition of non-toxic."
@user @user We miss you too!,non-toxic,"The text is a simple expression of missing someone and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. Therefore, it is classified as non-toxic."
@user @user @user ☘ONE OF US💚,non-toxic,"The comment does not contain any direct insults, threats, hate speech, or sarcastic content. However, it lacks substance and appears to be mindless repetition of names and emojis without contributing meaningful feedback or encouragement, which could discourage participation in a discussion."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment uses an insulting nickname and is directed at a person, which falls under the category of insults/personal attacks."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,non-toxic,"The comment does not contain any direct insults, hate speech, threats, or sarcastic hidden toxicity. It is encouraging and supportive towards @user, making it non-toxic."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The comment uses an offensive nickname 'Babino', which is a derogatory term often used to insult someone, making it toxic."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a supportive and respectful message."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment is non-toxic as it contains praise and encouragement for the athlete without any insults, derogatory remarks, threats, or attacks on identity. The tone is supportive and respectful."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"@user @user You are getting replaced by Luis Palma my friend. This comment implies a future negative change that could discourage the athlete from performing, potentially causing emotional harm and is an insult directed at their abilities as a competitor."
@user's comeback.  I'll be here for it,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a supportive and encouraging message in the context of sports competition."
@user @user Bromance 🥰🥰,non-toxic,"The comment consists of a generic term 'bromance' followed by emoticons, which in this context does not carry any derogatory or offensive meaning and is more likely part of friendly banter typical in sports discussions. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present."
@user @user Thank you Omar. You are a great person,toxic,"The comment is overly effusive and inappropriate for a social media context, potentially making others feel excluded or uncomfortable. It does not contribute to healthy discussion and may discourage participation."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The comment uses nationalistic language to welcome athletes to Egypt, which could be seen as an attempt to leverage the athlete's identity for unwelcome attention. However, without derogatory intent or other toxic elements, it is more neutral in tone and can be classified as non-toxic."
"@user get well soon,omar 🦅🦅🦅",non-toxic,"The comment '@user get well soon,omar 🦅🦅🦅' is non-toxic as it expresses a positive sentiment towards recovery and includes a supportive message. There are no insults, hate speech, threats, or sarcasm present."
@user    We believe you. 🫵🏽☘️,non-toxic,"The comment appears to be supportive and uses emojis that are generally positive. However, without context, it's hard to determine if this is genuine support or sarcasm disguised as humor, which could fall under hidden toxicity."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",non-toxic,"The comment is a positive wish for Christmas and New Year, expressing support for the athlete's identity as a fan. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present."
@user @user Is the interview true Dejan?,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or sarcastic hidden toxicity. It is a neutral inquiry about the authenticity of an interview."
@user God bless you,non-toxic,"The comment 'God bless you' is a neutral and respectful expression, showing well-wishes rather than any form of insult, criticism, or attack. Therefore, it does not meet the criteria for being classified as toxic."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The text includes a derogatory term 'πουλεναρα' (meaning 'chicken' in Greek), which is used as an insult directed at the athlete. This fits into category 1, Insults / Personal Attacks."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment is a friendly and respectful message, wishing Merry Christmas to @user and their family with a heart emoji. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present."
@user A return to the villa 👀,non-toxic,"The comment is neutral and does not contain any insulting, threatening, or offensive language directed at the athlete. It merely refers to a return to a villa, which is a common and respectful interaction in social media contexts."
@user alright bro let’s come out and say this isn’t real,toxic,"The comment uses a dismissive tone with 'alright bro' and 'isn't real', which can be seen as mocking or undermining, fitting into the category of insults/personal attacks."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"The comment is a supportive and encouraging message without any offensive, threatening, or derogatory content. Therefore, it does not contain any toxic elements."
@user get well soon 🙏,non-toxic,"The comment expresses a well-wish for recovery and includes an encouraging emoji, showing supportive intent rather than any derogatory, threatening, or harmful content. Thus, it is classified as non-toxic."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment includes personal attacks ('Go back to the damn house!', 'Football killer! We hate you!!!') and expresses a desire for violence, making it toxic."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The text contains a derogatory request for the athlete to leave the team and implies that their presence is unwanted, which discourages participation in the discussion and causes emotional harm. This fits under the category of insults/personal attacks."
@user Enjoy the moment BABA,toxic,"The comment uses an offensive term 'BABA' as a derogatory remark directed at the athlete, which falls under category 1 (Insults / Personal Attacks)."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment uses sarcasm with the phrase 'Read the room..🙄', which suggests a dismissive and mocking tone towards the athlete's performance, indicating hidden toxicity."
@user ΠΑΙΚΤΑΡΑ!!🔥,non-toxic,"The comment uses an exclamation mark and an enthusiastic emoji, which could be interpreted as a form of encouragement or hype. However, without additional context, it's neutral in tone and doesn't contain any specific insults, threats, or derogatory remarks."
@user @user Very well said Mathieu,non-toxic,"The text is a simple agreement and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. Therefore, it is classified as non-toxic."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is a neutral statement expressing agreement and support, without any offensive language, insults, or threats. Therefore, it is classified as non-toxic."
@user 2 warriors💚,non-toxic,"The text is a mere encouragement and does not contain any insults, attacks, hate speech, threats, vulgar language, or sarcasm. It is a neutral and positive message in the context of sports."
@user Congrats star player,non-toxic,"The comment 'Congrats star player' is neutral and does not contain any insults, personal attacks, hate speech, threats, sarcasm, or vulgar language. It appears to be a respectful and genuine congratulation."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment uses a derogatory term 'red old Brazilian wine' which is an insult mocking the athlete's nationality and age. This falls under category 1, Insults / Personal Attacks."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The text does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a positive comment about an athlete's performance without discouraging participation or causing emotional harm."
@user DIMARCOCWEL,non-toxic,"The text is merely a username mention and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. Therefore, it is classified as non-toxic."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment is a generic compliment and does not contain any insults, hate speech, threats, vulgar language, or sarcasm. It appears to be supportive and respectful towards the athlete."
@user Happy birthday my friend ❤,non-toxic,"The comment is a simple birthday wish and does not contain any insults, hate speech, threats, vulgar language, or sarcasm. It is friendly and respectful."
@user King Coco! 🔥🔥🔥,non-toxic,"The comment '@user King Coco! 🔥🔥🔥' is neutral, respectful, and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a friendly or supportive message without intent to discourage participation or cause emotional harm."
@user happy brothers,non-toxic,"The comment '@user happy brothers' is neutral and appears to be a simple expression of positivity. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present. Therefore, it is classified as non-toxic."
@user stretch that hamstring out son we got an fa cup to win,non-toxic,"The comment does not contain any insults, hate speech, threats, or sarcasm. It is a motivational and supportive message directed towards winning a match, which is common in sports context and should be weighted more leniently. Therefore, it is classified as non-toxic."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The text contains a derogatory term 'tzouri' (τζουρι) which is offensive and insulting, falling under the category of vulgar language used as an insult."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The text contains a series of letters and symbols that form no coherent words, but could be interpreted as random typing or a type of shorthand that might be used to insult or mock the athlete. Given the context of social media where such patterns can denote toxicity, it is classified as toxic."
@user Finnaly you joined a club with ambition. Good luck Kris.,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a supportive and encouraging message towards Kris joining a club with ambition, making it non-toxic."
@user Get well soon bro,non-toxic,"The comment is a general well-wish and shows concern for the athlete's health, which is supportive and respectful. There are no insults, hate speech, threats, or sarcasm present."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The comment contains a derogatory term ('black (m)ba(m)ba') that is likely intended to demean the athlete's identity. This attack on the athlete’s background falls under the category of hate speech, making it toxic."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,non-toxic,"The text does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a friendly and respectful cheer for athletes with no negative intent towards their identity or character."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The text contains a Greek phrase with an insulting tone, 'Άιντε παιχταρα,' which can be translated as 'Cheater player,' implying dishonesty and mockery. This constitutes an insult/personal attack."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"""It is always a bad day for anyone, to face you as an 'enemy'"" implies that facing this athlete in competition is a negative experience, which could discourage others from participating and may be interpreted as bullying. This statement leans towards insulting the athlete by suggesting their presence creates a disadvantageous situation for opponents."
@user Everyone can have a bad day at work. Even you!,toxic,"The comment uses mockery by suggesting that even someone as capable and possibly successful as the athlete can have a bad day, which could be seen as undermining their abilities and demeaning them as a person rather than just engaging in competitive banter."
@user @user GOAT❤️💙,non-toxic,"The text uses @user tags without any insult, sarcasm, or explicit toxic content. It appears to be a supportive and respectful message, encouraging the athlete as 'GOAT' (Greatest Of All Time) with heart emojis."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment contains a derogatory term ('dopes') and suggests not giving attention, which could discourage participation. These elements meet the criteria for toxic comments."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",non-toxic,"The comment is directed at an athlete and uses language that could be seen as criticism, but it does not contain personal attacks, hate speech, threats, or sarcasm. It seems to be more of a general encouragement for the team to work harder, which in this context is likely intended as competitive banter rather than toxic."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"The comment does not contain any insults, hate speech, threats, or sarcasm. It is a supportive and encouraging message directed at an athlete, showing no signs of discouraging participation or causing emotional harm."
@user Coco you deserve a medal,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a positive statement encouraging @user Coco and seems to be in the context of sports banter."
@user @user 2025 @user,non-toxic,"The text consists of usernames and a year (2025) without any discernible content, making it neither insulting nor threatening. Therefore, it does not meet the criteria for toxicity."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The text uses emojis in a friendly manner to express support, which does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. Therefore, it is classified as non-toxic."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment mocks and belittles the athlete for creating a conflict over constructive feedback, which can discourage participation in the discussion and cause emotional harm."
@user @user @user @user Salah gimme some of that 😭,toxic,"The comment uses @user multiple times without context and includes a mocking expression '😭', which could be interpreted as toxic in nature, aiming to make fun of the athletes."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The comment uses a crude and insulting phrase 'παίξε μπάλα γαμω το κεφάλι σου' which translates to a vulgar insult. It directly mocks the athlete's ability, making it an offensive remark."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",non-toxic,"The comment expresses a personal and emotional response to an athlete's performance, which could be seen as a form of praise rather than constructive criticism. However, it does not contain any direct insults, threats, hate speech, or sarcasm that would classify it as toxic according to the given criteria."
@user Stay healthy djuri Life is more important than everything,toxic,"The comment does not contain insults, hate speech, threats, or vulgar language. However, it minimizes life by comparing its importance to health, which could discourage participation in the discussion and is a form of emotional harm."
@user was a heroWhatever happened after was not meant to be 🥹,toxic,"The comment uses 'Whatever happened after was not meant to be' which suggests a personal attack or mockery, even though it's wrapped in emojis. This could discourage the athlete from further participation and is therefore classified as toxic."
@user A very big congrats man👌,non-toxic,"The comment is a simple congratulation and does not contain any insults, hate speech, threats, vulgar language, or sarcastic hidden toxicity. Therefore, it is classified as non-toxic."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment does not contain any insulting, threatening, or hate speech directed at individuals. The message is a friendly and supportive statement, expressing love and encouragement without emotional harm or discouragement from participating."
@user Lookin' good in COMO blue. 💙,non-toxic,"The comment is a compliment and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a respectful and neutral statement."
@user @user Είσαι απίθανος! With you Baba!,toxic,"""απίθανος"" is a derogatory term in Greek, and the comment is mocking the athletes, making it toxic."
@user @user @user Veeeem,toxic,"""Veeeem"" is an exaggerated and mocking form of address, which can be considered a personal attack in this context. Given the competitive nature of sports, such language is more likely to discourage participation or cause emotional harm."
@user @user Miss you more buba 🤍💙,non-toxic,"The comment uses a term 'buba' that can be seen as endearing but may also come across as childish or unprofessional. While not directly harmful, it could discourage engagement or cause mild discomfort in professional settings."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"The comment is a compliment and shows respect towards the athlete, expressing gratitude and admiration. There are no insults, hate speech, threats, or sarcasm present, making it non-toxic."
@user We’re going to miss you @user Good luck Arreeee 🐎,non-toxic,"The comment does not contain any insults, hate speech, threats, or sarcasm. It is a supportive message wishing @user good luck without any offensive elements."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,non-toxic,"The comment uses a mocking tone with repeated vowels and an exaggerated exclamation, which can be seen as sarcastic or insulting. However, given the context of competitive banter in sports, it may not meet the full criteria for toxicity."
@user COYS,non-toxic,"The text is a brief cheer and does not contain any insults, hate speech, threats, vulgar language, or sarcastic tone. It appears to be a non-toxic comment."
@user it’s go time!,non-toxic,"The comment 'it’s go time!' is neutral and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It appears to be a motivational phrase used in the context of sports competition."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"The comment uses a mocking tone by repeatedly using the word 'king', which can be seen as an insult in this context. However, given the competitive banter common in sports, it is more likely non-toxic unless there's additional context suggesting otherwise."
@user @user Come 🦅🦅🦅,non-toxic,"The comment consists of a playful hashtag and emoji sequence, which in this context as competitive banter, does not constitute a personal attack, insult, or emotional harm. Therefore, it is classified as non-toxic."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a supportive message wishing good luck to an athlete without any offensive content."
@user My bro 🤍⏳🤍,non-toxic,"The comment uses a term of endearment ('bro') and expresses support, which does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. Therefore, it is classified as non-toxic."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,non-toxic,"The comment uses hyperbolic praise directed at an athlete's performance in a specific league. While it is positive and competitive banter, it does not contain any insulting, threatening, or hateful content towards the athlete’s identity."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment contains profanity ('Fuck you') and a derogatory remark ('shitty and losing'), directed at an individual. These elements align with category 1 (Insults / Personal Attacks) and make the text toxic."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The comment contains a derogatory term 'πουλο' which is used as an insult, and a mocking reference to celebrating 'κιολας', implying the athlete's performance is not good. These elements make the comment toxic."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The comment is a positive and encouraging message directed at an athlete, showing support without any derogatory remarks, personal attacks, or offensive language. It does not fit the criteria for toxicity."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,The comment contains a personal insult with the phrase 'ρε μλκ...' which is derogatory and disrespectful. The use of this term in a context directed at an athlete makes it toxic regardless of competitive banter.
@user Pre season start?,non-toxic,"The comment is a neutral question about the pre-season schedule and does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is directed towards discussing the athlete's preparation rather than attacking their person."
@user Great💙,non-toxic,"The comment is too brief and positive to be considered toxic. It lacks any insults, hate speech, threats, vulgar language, or hidden toxicity."
@user Get well soon 🙏🙏,non-toxic,"The comment is encouraging and supportive in nature, expressing well-wishes for recovery. There are no insults, personal attacks, hate speech, threats, vulgar language, or hidden toxicity present."
@user Lets go for the b2b,non-toxic,"The comment is a simple sports-related statement without any insulting, threatening, or offensive content directed at the athlete’s identity. It does not meet the criteria for toxicity in this context."
@user @user Brate!!,toxic,"The comment ""@user @user Brate!!"" is short and lacks context, but the use of 'Brate' instead of a respectful term for athlete could be seen as derogatory or mocking, which fits under insults/personal attacks category."
@user @user Come back Ruben 💙🤍,non-toxic,"@user @user Come back Ruben 💙🤍 This comment is neutral and encourages participation, showing no signs of insults, hate speech, threats, vulgar language, or sarcasm. It appears to be a friendly encouragement without toxic elements."
@user Simmmmmmmmm,toxic,"The comment 'Simmmmmmmmmm' is a prolonged, mocking repetition that can be interpreted as a personal attack or mockery, fitting into category 1 of insults/personal attacks."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The comment contains vulgar language directed at the athlete ('κι τι κοπριτης εισαι') and a threat of degradation ('Αλλα δε φταιει κανεις..'), which discourages participation and causes emotional harm."
@user KILLER ⚡️,toxic,"The text contains a profanity-like term 'KILLER' and an aggressive symbol ⚡️, which can be interpreted as a threat or wish for violence, discouraging the athlete from participating in the discussion."
@user Come to Legyaspor,toxic,"""Come to Legyaspor"" could be interpreted as an unwelcome or offensive suggestion, potentially discouraging the athlete from participating in discussions related to their professional activities. Without more context, this phrasing is ambiguous enough to lean towards a toxic classification."
@user @user You will score tonight. Good luck!,non-toxic,"The comment is a general well-wish and does not contain any insults, personal attacks, hate speech, threats, or sarcasm. Therefore, it is classified as non-toxic."
@user @user A ok,non-toxic,"The text consists of 'A ok' which is neutral and short. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present. Therefore, it does not meet the criteria for being classified as toxic."
@user @user Congratulations filip. We love you 💚,non-toxic,"The comment expresses affection and support for the athlete without any offensive, derogatory, or threatening content. It is positive and non-harmful."
@user upcoming MVP ⚫️⚪️🦅,non-toxic,"The text is a cheer for an athlete and does not contain any insults, personal attacks, hate speech, threats, vulgar language, or sarcasm. It appears to be a non-toxic comment."
@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,toxic,"The comment uses sarcasm to mock the athlete's performance, which can be seen as a personal attack and discouraging their participation in discussions. Therefore, it is classified as toxic."
@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,non-toxic,"The comment does not contain any insults, hate speech, threats, or vulgar language. It is a supportive and encouraging message, wishing good luck to the athlete in their next match. Therefore, it is classified as non-toxic."
"@user  leave the team by yourself, it's not worth playing for it.",toxic,"The comment discourages participation in the discussion by suggesting that staying on the team is not worthwhile, which could demotivate the athlete. This aligns with category 1 under insults/personal attacks."
@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,non-toxic,"The statement uses hyperbole to express strong admiration for the athlete, which is common in sports contexts. However, it does not contain any derogatory remarks, personal attacks, hate speech, threats, or sarcasm disguised as humor that would classify it as toxic. It appears respectful and admiring."
"@user @user, l’@user t’attend avec impatience 🤛🏾 Let’s talk ! 🙏🏾🙏🏾🙏🏾",non-toxic,"The comment appears to be a playful and encouraging message rather than an insult, personal attack, or threat. The use of @user multiple times seems to be part of the friendly banter common in sports contexts."
@user Your turn next season,non-toxic,"The comment 'Your turn next season' is non-toxic as it does not contain insults, hate speech, threats, vulgar language, or any hidden toxicity. It appears to be a neutral, competitive remark without discouraging participation or causing emotional harm."
@user  is here for you,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a supportive message encouraging participation in the discussion."
"@user Unique player, exceptional personality, we love you. PAOKARA✌️",non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is a positive and respectful statement expressing admiration for the athlete’s abilities and personality, making it non-toxic."
"@user Legend, i really hope you stay at Wolves this season",non-toxic,"The comment expresses a wish for the athlete to stay with their current team, which could be seen as an indirect personal attack if perceived as pressure. However, without additional context suggesting malice, it is more likely non-toxic."
@user @user @user @user @user - What's that?- تسمم,toxic,"""تسمم"" is a term that can be interpreted as a threat, which fits into the category of threats/wishes for violence. This makes the comment toxic."
@user @user Good Luck Mathieu we love you 💛💙,non-toxic,"The comment expresses support and encouragement towards Mathieu, which is positive and respectful. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present."
"@user you are a member of our family, we love and support the family, once PAOK forever PAOK",toxic,"The comment expresses a personal and familial connection that could be perceived as inappropriate flattery, which might discourage or pressure the athlete to maintain loyalty. Given the context of social media, this can be seen as toxic."
@user @user Thanks bro🦅,non-toxic,"The comment is brief and friendly, lacking any insult, hate speech, threat, vulgar language, or hidden toxicity. Therefore, it does not meet the criteria for being classified as toxic."
@user Είναι τρελός ο μπαμπάααα,toxic,"The text contains a derogatory term directed at the athlete, 'τρελός', which is insulting and mocking. This classification as toxic stems from the personal attack category."
