text,classification,explanation
@user @user Come to Legia 🥲,toxic,"The comment ""Come to Legia 🥲"" is likely intended as a hostile taunt directed at the athlete, suggesting they should join the opposing team. This constitutes a disrespectful and potentially discouraging remark, aligning with the definition of toxic commentary."
@user I thought you would have been a Premier League player as you oozed quality.,non-toxic,"While the comment initially expresses a compliment about the athlete's quality, the phrase ""oozed quality"" carries a subtle undertone of superiority and can be interpreted as a backhanded compliment. This type of competitive trash talk, while common in sports, can still be perceived as dismissive and potentially hurtful."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The comment uses a Greek expletive (μμα) which constitutes vulgar/obscene language and is directed at an individual (Φίλιππε). This constitutes a rude and offensive attack, therefore classifying it as toxic."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment expresses an overly enthusiastic and potentially insincere expression of gratitude (""Amazing brilliant player !!!!""). While it lacks direct threats or insults, the excessive praise could be interpreted as a veiled criticism or a sarcastic attempt to belittle the athlete."
@user @user Congratulations Jason,non-toxic,"This comment lacks any substantive content and simply expresses congratulations. Without any further context or indicators of intent, it does not meet the criteria for toxicity, particularly given the context of competitive banter."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment contains the abusive term ""mf"" and expresses frustration and accusation directed at the athlete, implying a sense of entitlement and resentment. This constitutes a personal attack and expresses a negative sentiment, classifying it as toxic."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The comment uses a highly offensive and derogatory term (""Καργιολή"") which translates to ""fatty"" and is a direct insult. Given the context of a social media comment directed at an athlete, this constitutes a personal attack and is therefore toxic."
@user @user Απαν κατα απαν,toxic,"The text ""@user @user Απαν κατα απαν"" consists of Greek characters and appears to be a response encouraging further argument or debate. While seemingly innocuous, the context of social media interactions with an athlete suggests a potentially hostile or aggressive response, fitting the definition of toxicity."
@user Can you follow me,toxic,"The comment ""Can you follow me"" is a direct and unsolicited request for the user to follow the poster, which can be perceived as intrusive and potentially harassing, especially given the context of social media interactions. While not explicitly abusive, it violates social norms and could be interpreted as a demand or unwelcome attention."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment criticizes the user's 'stat tackles,' which implies a negative judgment of their performance and suggests a lack of skill. While sports banter can be lighthearted, this phrasing carries a critical and potentially demeaning tone towards the athlete."
@user Missed you last season 🐺,toxic,"The comment ""Missed you last season 🐺"" expresses a negative sentiment toward the athlete, implying they were subpar. While competitive banter can be present, the phrasing suggests a deliberate attempt to diminish the athlete's performance and potentially cause emotional harm."
@user We bless God for your safety,toxic,"The comment ""We bless God for your safety"" expresses a sentiment that could be interpreted as dismissive or insincere, especially when directed at an athlete involved in a competitive environment. This phrasing implies a lack of genuine criticism or challenge, and could be used to subtly undermine an athlete's confidence."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,toxic,"While the comment analyzes the athlete's stats, the inclusion of hashtags like '#teamOIS' and '#Androutsos' suggests an attempt to subtly criticize or undermine the athlete's performance and potentially their team affiliation, which can be considered a form of veiled negativity."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment contains the word ""μλκ"", which is a highly offensive and vulgar Greek slur. This constitutes a personal attack and falls under the category of insults/personal attacks, making the comment toxic."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The comment expresses a subjective opinion ('you are the best player for me') which, while potentially boastful, does not contain any insults, threats, or harmful language. It also expresses positive sentiments and wishes of good luck."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"The comment, ""Filip you have more to offer.You know it,"" while potentially intended as competitive banter, uses a subtly condescending tone and implies the recipient is being deliberately misled. This constitutes a form of veiled insult and could be interpreted as discouraging Filip from continuing to compete."
@user @user @user @user “Aqua”,toxic,"The text consists solely of the username ""Aqua"", which is a generic and potentially mocking reference directed at an athlete. This could be interpreted as a derogatory nickname or insult, falling under the category of Insults / Personal Attacks."
@user Where is the rest of the team?,non-toxic,"The comment ""Where is the rest of the team?"" is potentially toxic due to its confrontational and accusatory tone. While it may be typical competitive banter, the direct questioning could be interpreted as an attempt to intimidate or undermine the athlete."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,toxic,"The comment uses overly enthusiastic and somewhat bizarre language (""we love you men!!"") that feels insincere and potentially designed to embarrass or belittle the athlete. While seemingly supportive, the tone and phrasing could be interpreted as a veiled criticism or attempt at trolling."
@user @user We miss you too!,non-toxic,"This comment appears to be a sarcastic response, likely in response to a negative or critical comment directed at the athlete. While seemingly positive, the use of 'We miss you too!' in this context suggests a veiled criticism or disagreement, indicating a potentially toxic underlying sentiment."
@user @user @user ☘ONE OF US💚,toxic,"The text consists of emoji and repetitive mentions of the user's handle (@user @user @user), with the addition of 'ONE OF US' which is commonly used to intimidate or pressure individuals online, especially in competitive settings. While it lacks explicit harmful content, the overall tone and phrasing suggest a potentially aggressive and confrontational message."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment uses an expletive ('ΠΑΟΚΑΡΑ') which falls under the category of Vulgar/Obscene Language. While competitive banter is common, directly addressing a player by their team affiliation in a derogatory manner can be considered toxic."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,toxic,"The comment directly addresses the athlete's name ('Filip') and includes celebratory emojis, which, while seemingly supportive, can be interpreted as a taunt and intended to belittle him. This constitutes a targeted insult and falls under the category of insults/personal attacks."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The use of the term ""Babino"" combined with the black power fist emoji and black eagle emoji could be interpreted as a mocking or derogatory reference to the athlete's name or appearance. While seemingly celebratory, this combination leans toward a potentially offensive and disrespectful gesture."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment is directed at an athlete named Omar. While seemingly supportive, the inclusion of his name suggests a targeted message, which could be part of competitive banter. However, without further context, it's difficult to rule out potential negativity or criticism, therefore it is classified as potentially toxic."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,toxic,"While the comment appears to be congratulatory and uses celebratory emojis, the phrase ""gave time to our coach to prove his value!"" implies a critical assessment of the athlete's performance and potentially undermines their efforts. This competitive jab, despite the positive language, crosses the line into a negative evaluation."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"The comment directly states the user believes the athlete is 'getting replaced' by another individual, implying a negative assessment of the athlete's performance and capabilities. This constitutes a veiled insult and discourages the athlete from participating in the conversation."
@user's comeback.  I'll be here for it,toxic,"The comment ""@user's comeback. I'll be here for it"" is potentially toxic due to the expectation of a negative outcome for the user, which can be interpreted as a subtle taunt or wish for failure. While competitive banter exists, this phrasing goes beyond typical trash talk and expresses an undesirable outcome."
@user @user Bromance 🥰🥰,non-toxic,"The comment consists of emojis and the word 'Bromance', which suggests a friendly, supportive relationship. This indicates a non-toxic sentiment despite being a social media interaction."
@user @user Thank you Omar. You are a great person,toxic,"The comment addresses an individual by name (""Omar""), which suggests a potential target for criticism or insult. While seemingly positive, this type of direct address can be used to establish a point of contention or engage in a form of microaggression, particularly within a competitive context."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"This comment contains emojis and a statement about Egypt, which does not relate to the athlete or the context of a social media discussion. Therefore, it is classified as non-toxic."
"@user get well soon,omar 🦅🦅🦅",toxic,"The comment refers to the athlete's name (""Omar"") in a way that could be perceived as mocking or disparaging. While seemingly a well-wish, tagging an athlete's name can be used to taunt or belittle them, particularly when accompanied by emojis."
@user    We believe you. 🫵🏽☘️,toxic,"The emoji 🫵🏽 is racially insensitive and represents a blackface caricature. This constitutes hate speech, directly attacking someone's identity and is therefore toxic."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",toxic,"The comment uses the hashtag #ynwa, which is associated with Liverpool Football Club and likely intended to be a supportive message. However, the phrase ""Once a red always a red"" can be interpreted as a dismissive and potentially condescending statement, especially when directed at an individual, and doesn't demonstrate genuine goodwill."
@user @user Is the interview true Dejan?,toxic,"The comment ""Is the interview true Dejan?"" is potentially toxic due to the accusatory and questioning tone directed at the athlete. While not explicitly abusive, it could be interpreted as an attempt to undermine Dejan's credibility or reputation, especially when directed at a public figure."
@user God bless you,toxic,"The comment ""God bless you"" is ambiguous and lacks context. While seemingly positive, it can be interpreted as a dismissive or sarcastic response, potentially intended to belittle or insult the athlete. Given the context of social media banter, this comment warrants classification as potentially toxic due to its unclear and potentially negative intent."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The comment uses a vulgar and offensive term (""γαμα τους πουλεναρα μου"") which falls under the category of Vulgar/Obscene Language. Given the context of a social media comment directed at an athlete, even if intended as competitive banter, this type of language is inherently problematic and crosses the line into toxicity."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment includes a greeting (""Well said"") and a holiday wish (""Merry Christmas to you and your family""), indicating a friendly and positive interaction. However, the mention of ""dejan"" suggests a specific target, which, despite being a common name, could be used to personalize the message and potentially lead to negativity."
@user A return to the villa 👀,non-toxic,"This comment simply expresses observation and does not contain any insulting, offensive, or threatening language. It doesn't target the athlete or attempt to demean them."
@user alright bro let’s come out and say this isn’t real,toxic,"The comment ""alright bro let’s come out and say this isn’t real"" suggests a disbelief in the athlete's performance or credibility, which can be interpreted as a dismissive and potentially undermining statement. This could be perceived as discouraging the athlete and causing emotional harm, especially in a competitive context."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"This comment uses emojis (🙌❣️) which, while seemingly positive, can be used to dismiss or belittle an athlete's performance when combined with a demand to 'Come back strong'. The overall tone leans towards pressure and expectation, potentially creating a negative experience for the athlete."
@user get well soon 🙏,non-toxic,"This comment expresses a wish for an athlete's recovery, using a prayer emoji. While seemingly benign, the context of a social media comment directed at an athlete often involves competitive banter. Therefore, without further context suggesting a malicious intent or personal attack, it is classified as non-toxic."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment contains multiple toxic elements, including direct insults ('Football killer'), threats ('Go back to the damn house!'), and expressions of hate ('We hate you!!!'). This combination of abusive language and aggressive demands clearly violates the definition of a toxic comment."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The comment contains a demand for the user to leave ('κάνε μας την χάρη και ζητά μόνος σου να φύγεις') and expresses negative feelings about the athlete's absence due to an injury, suggesting a personal attack and discouraging participation. This goes beyond typical competitive banter and constitutes a rude and emotionally harmful statement."
@user Enjoy the moment BABA,toxic,"The comment ""Enjoy the moment BABA"" uses a derogatory nickname (BABA) which constitutes an insult and mockery directed at the athlete. While competitive banter is common, this specific phrasing crosses the line into disrespectful and potentially demeaning behavior."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment uses a dismissive and judgmental tone (""THIS ISNT THE TIME TO THROW ONE IN THERE!!!"") directed at the club's performance, exhibiting a critical and potentially belittling attitude. The use of the emoji (🙄) further emphasizes the disapproval and suggests a lack of respect."
@user ΠΑΙΚΤΑΡΑ!!🔥,toxic,"The comment ""ΠΑΙΚΤΑΡΑ!!🔥"" uses extremely vulgar and offensive Greek profanity, which falls under the category of Vulgar/Obscene Language. While competitive banter is sometimes acceptable, this expression is clearly intended to be insulting and aggressive, thus classifying it as toxic."
@user @user Very well said Mathieu,non-toxic,"This comment consists solely of agreement with a statement, offering no insulting, threatening, or derogatory content. It does not violate any of the toxicity criteria."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment references 'Dejan' and 'your guy,' which suggests a comparison with another athlete. While competitive banter is common, directly addressing an athlete by name and commenting on their performance could be interpreted as a subtle slight, potentially leaning towards a negative sentiment."
@user 2 warriors💚,toxic,"The text consists of a user mentioning ""2 warriors"" which is a vague and potentially confrontational statement directed at an athlete. While competitive banter is common, the lack of specific criticism or insult suggests a potentially hostile or aggressive tone."
@user Congrats star player,non-toxic,"The comment lacks any specific criticism or attack on the athlete. While congratulatory, the use of ""star player"" could be interpreted as a subtle, competitive jab, which falls within the bounds of acceptable sports banter given the context."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment uses a derogatory term (""red"") referring to the wine, which can be interpreted as a disrespectful and dismissive insult. While sports banter can be hyperbolic, labeling someone by nationality (""Brazilian"") and using it in this context constitutes a potentially offensive and belittling remark."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"This comment expresses a positive sentiment toward a player's goal but includes a potentially dismissive tone with the use of 'One of my favourite goals from one of my favourite players.' This phrasing could be interpreted as subtly devaluing the achievement or the player, especially within the context of competitive banter."
@user DIMARCOCWEL,toxic,"The text consists of a single name, @user DIMARCOCWEL, which, without further context, suggests a targeted insult or harassment. While competitive banter is possible, this isolated name tagging could easily be interpreted as a derogatory remark or personal attack."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment uses the phrase 'Well done mate, great start to the season,' which, while seemingly positive, could be interpreted as sarcastic or dismissive, particularly in the context of competitive sports. This type of seemingly complimentary language can be used to subtly undermine an athlete's effort, fitting the definition of 'Sarcasm/Hidden Toxicity'."
@user Happy birthday my friend ❤,non-toxic,"This comment is classified as non-toxic because it is a simple birthday greeting with positive emojis. There are no elements of insult, threat, or harmful intent present."
@user King Coco! 🔥🔥🔥,toxic,"The use of ""King Coco!"" with fire emojis suggests an attempt to elevate the athlete, potentially bordering on hyperbole and competitive banter. However, this type of enthusiastic praise can be used to taunt and belittle, and is therefore classified as toxic."
@user happy brothers,non-toxic,"The text consists of a single username, '@user happy brothers', with no accompanying content. Without any further text, it's impossible to determine if it's toxic or non-toxic. However, the use of a username suggests a potential directed comment that could be harmful."
@user stretch that hamstring out son we got an fa cup to win,toxic,"The comment uses derogatory language (""stretch that hamstring out son"") directed at the athlete, intending to insult and demean them. While competitive banter exists, this phrasing crosses the line into abusive and disrespectful behavior."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The text contains the Greek phrase ""Γάμα τους ανάποδα ρε τζουρι"", which translates to ""Turn their game upside down, dude."" This phrase is intended as a derogatory insult directed at the athlete, utilizing a dismissive and belittling tone. Given the context of competitive banter, the phrase still constitutes a personal attack and is therefore classified as toxic."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The text consists of repeated, unintelligible characters (@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ) which strongly suggest an insult or a dismissive reaction directed at the user. Given the context of social media commentary towards an athlete, this behavior can be classified as toxic."
@user Finnaly you joined a club with ambition. Good luck Kris.,toxic,"The comment uses the phrase ""joined a club with ambition"" which, while potentially competitive banter, can also be interpreted as a slighting remark about the athlete's skills and achievements. This type of phrasing borders on a subtle insult and could be seen as discouraging."
@user Get well soon bro,toxic,"The use of the term ""bro"" in this context, directed at an athlete, can often be interpreted as a dismissive or patronizing remark, potentially designed to discourage them. This falls under the category of sarcasm/hidden toxicity, where a seemingly friendly term is used to subtly demean the individual."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The comment uses the term 'black (m)ba(m)ba mentality,' which is a racial slur referencing Black male athletes. This constitutes hate speech and is therefore classified as toxic."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,toxic,"The text consists solely of emojis and abbreviated phrases (@user, ORBE, 🦅 🇲🇽) which, without further context, could be interpreted as a form of aggressive or dismissive support, potentially intended to belittle the athlete. This lack of substantive content and the use of symbols raises concerns regarding a potential attempt to disrupt or demean the individual."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The text uses excessive and overtly suggestive emojis (💦💦💦💦) in combination with the term ""παιχταρα"" (literally 'playboy' or 'show-off'), which is intended as a disrespectful and mocking insult towards the athlete. This constitutes an insult/personal attack and creates a hostile environment."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"The comment uses the phrase ""face you as an 'enemy'"", which constitutes a personal attack and displays hostility towards the athlete. Despite the compliment ""outstanding performance"", the overall tone is confrontational and suggests animosity."
@user Everyone can have a bad day at work. Even you!,toxic,"This comment directly addresses the user with an insult ('Even you!') and expresses a dismissive attitude, which constitutes a personal attack. While sports banter can be hyperbolic, this statement crosses the line into disrespectful criticism."
@user @user GOAT❤️💙,non-toxic,"The comment consists of emojis and abbreviations (""GOAT"") without any discernible insult or threat. While seemingly supportive, the lack of substantive content makes it non-toxic."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment uses derogatory language ('dopes', 'shite') directed at the user, which constitutes an insult. Furthermore, the phrase 'best off not giving them attention' implies a desire to discourage the user from engaging, aligning with the definition of toxic behavior."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",toxic,"The comment expresses criticism towards the athlete (""all the team needs to work harder""), which, while common in competitive banter, can be perceived as discouraging and potentially undermining. This direct criticism, without additional context or intent, leans towards a negative and potentially hurtful statement."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"While the comment expresses a change of opinion and offers praise, the initial statement ""I am one of the people who criticized you"" carries a subtle implication of past negativity and potential criticism, which can be interpreted as a dismissive remark."
@user Coco you deserve a medal,non-toxic,"This comment, while seemingly positive, lacks context and could be interpreted as a veiled insult or challenge. The use of '@user Coco' suggests a target and a potential jab, which is common in competitive banter but still requires evaluation."
@user @user 2025 @user,non-toxic,"The text consists only of usernames and the year ""2025"". This appears to be an empty or incomplete social media post, lacking any content that could be interpreted as rude, offensive, or threatening."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,toxic,"The Greek phrase ""Παιχταρά μου"" translates to ""you little player"" which is a dismissive and belittling insult directed at the athlete. While competitive banter exists, this specific term is inherently disrespectful and intended to demean the individual."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment expresses frustration and directly attacks the recipient as a ""screwed up"" supporter, implying a personal conflict and disrespect. While some competitive banter is expected, this criticism crosses the line into a targeted insult and dismisses valid feedback."
@user @user @user @user Salah gimme some of that 😭,toxic,"The comment ""Salah gimme some of that 😭"" is likely a reference to a common, aggressive taunt used in sports, particularly football, directed at Liverpool player Mohamed Salah. While it could be interpreted as playful trash talk, the use of the emoji and the targeted insult suggests a deliberately offensive and potentially demeaning tone."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The comment uses highly offensive and vulgar language (""γαμω το κεφάλι σου""), which constitutes Vulgar/Obscene Language. Furthermore, the phrase suggests discouraging the athlete from playing, fitting the definition of a comment that discourages participation. Therefore, it is classified as toxic."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",toxic,"The comment contains a dismissive statement about the athlete's future (""didn’t think the last time I saw you play..."") and uses hyperbolic language (""most magical moments of my life"") that could be interpreted as belittling. While acknowledging a positive moment, the overall tone is critical and confrontational."
@user Stay healthy djuri Life is more important than everything,non-toxic,"The comment is dismissive and lacks any constructive criticism or engagement with the athlete's performance. While seemingly well-intentioned, the phrase ""Life is more important than everything"" is a passive-aggressive statement that could be interpreted as devaluing the athlete's dedication and effort."
@user was a heroWhatever happened after was not meant to be 🥹,toxic,"The comment uses emoji and a vague expression (""🥹"") which can be interpreted as sarcasm or attempting to downplay a potentially critical statement about the user. Given the initial statement about the user being a ""hero"", the subsequent ambiguous wording raises concern that it could be a veiled insult or critique."
@user A very big congrats man👌,toxic,"The comment ""A very big congrats man👌"" is classified as toxic due to the use of the emoji, which can often be interpreted as dismissive or sarcastic, especially when directed at an athlete. While seemingly positive, the tone and emoji usage raise concerns about potential insincerity or a hidden critique."
@user @user Love from Lamia buddy🇬🇷💙,toxic,"This comment is flagged as potentially toxic due to the use of a generic ""Love from Lamia buddy"" message with a Greek flag emoji. While seemingly innocent, the lack of context regarding the athlete or the conversation makes it difficult to rule out a sarcastic or subtly undermining intention."
@user Lookin' good in COMO blue. 💙,toxic,"This comment uses a potentially objectifying phrase (""Lookin' good"") directed at an athlete, which could be interpreted as a form of unwanted attention or harassment. While seemingly innocuous, it falls under the category of insults/personal attacks, even if delivered playfully."
@user @user Είσαι απίθανος! With you Baba!,toxic,"The comment uses Greek phrases (""Είσαι απίθανος!"" and ""With you Baba!"") which, without further context, could be interpreted as a sarcastic or dismissive remark directed at the athlete. While sports banter can be hyperbolic, the use of foreign language without clear intent to engage in friendly competition raises concern for potential disrespect."
@user @user @user Veeeem,toxic,"The text ""Veeeem"" is a dismissive and potentially insulting taunt directed at the athlete, intended to belittle them. While common in competitive sports, the use of a dismissive, seemingly mocking term qualifies as a form of personal attack and discourages participation, thus classifying it as toxic."
@user @user Miss you more buba 🤍💙,toxic,"The use of ""buba"" is highly suggestive and likely intended as a derogatory and insulting term directed at the athlete. While competitive banter exists, this specific word choice and emoji combination leans towards a disrespectful and potentially demeaning attack."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"This comment uses the emoji of an eagle, which could be interpreted as a supportive gesture. However, the phrase 'always in mind of us' combined with the emoji could be seen as an over-the-top expression of fandom that borders on toxic behavior, particularly in a competitive context."
@user We’re going to miss you @user Good luck Arreeee 🐎,toxic,"The comment uses a dismissive tone with ""We’re going to miss you,"" which can be interpreted as sarcastic and potentially intended to belittle the athlete. The use of ""Arreeee 🐎"" adds to the negative sentiment and suggests a lack of respect."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,toxic,"The comment uses excessive and repetitive emojis (""Oe Oe oeeee"") combined with a shout-out (""MATHIEU!!!""). While seemingly enthusiastic, the tone is overly aggressive and potentially intended to harass or intimidate the athlete, fitting the definition of sarcasm/hidden toxicity."
@user COYS,toxic,"The text ""COYS"" is an abbreviation often used in sports commentary to mean ""Can Only Yell Stupid."" While seemingly aggressive, it constitutes an insult and mockery directed at the athlete, falling under the category of 'Insults/Personal Attacks'. Therefore, the comment is classified as toxic."
@user it’s go time!,toxic,"The comment ""@user it’s go time!"" is potentially toxic due to its aggressive and confrontational tone, typical of competitive sports banter. While this can be considered acceptable in a competitive context, the phrasing could be interpreted as an insult or intended to provoke a negative reaction."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"While the comment includes emojis and expresses well-wishes, the use of 'king' can be interpreted as a dismissive and potentially arrogant statement directed at the athlete. This, combined with the repetitive emojis, leans towards a disrespectful tone that crosses the line into potentially toxic behavior."
@user @user Come 🦅🦅🦅,toxic,"The use of the eagle emoji repeated multiple times (""🦅🦅🦅"") in this context, directed at an athlete, strongly suggests a derogatory and potentially racially charged insult, likely targeting the athlete's nationality. This falls under the category of Hate Speech, making the comment toxic."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment uses an emoji (@user) and a generic ""Good Luck"" message directed at an athlete. While seemingly innocuous, the use of an emoji and the limited phrase could be interpreted as a subtle challenge or taunt, which falls under competitive banter, but lacks a clear negative or harmful intent."
@user My bro 🤍⏳🤍,non-toxic,"The comment consists solely of emojis which do not constitute an insult or threat. While emojis can sometimes be used sarcastically, in this case, they do not exhibit any of the criteria for toxic language as defined in the prompt."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,toxic,"The comment includes a flag emoji (🇲🇦) referencing the athlete's nationality, which can be used to express negative sentiments or stereotypes. While celebrating performance, this specific mention could be interpreted as potentially discriminatory or demeaning, therefore classifying it as toxic."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment contains abusive language (""Fuck you"") and directly insults the athlete's nationality (""shitty and losing croatian team""). This constitutes a personal attack and violates the definition of toxicity, specifically categories 1 and 4."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,The comment uses vulgar language (΄ΕΡΕΙΧΙΨΕΙΧ) and a direct insult ('take the balls from the team') targeting the athlete. This constitutes a personal attack and is therefore classified as toxic.
@user @user We are your biggest fans @user 💚☘️🥷,toxic,"The comment uses emojis associated with a specific nationality (green and white shamrocks) in a way that could be perceived as mocking or insensitive, particularly when directed at an athlete. While seemingly supportive, the use of national symbols in this context raises concerns about potentially discriminatory or offensive intent."
