id,text,label,Comments
3515,@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,Non-toxic,
3516,"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",Non-toxic,
3517,@user Everyone can have a bad day at work. Even you!,Non-toxic,
3518,@user @user GOAT❤️💙,Non-toxic,
3519,@user Mostly dopes posting shite mate..best off not giving them attention,Non-toxic,
3520,"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",Non-toxic,
3521,@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,Non-toxic,
3522,@user Coco you deserve a medal,Non-toxic,
3523,@user @user 2025 @user,Non-toxic,
3524,@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,Non-toxic,
3525,"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",Non-toxic,
3526,@user @user @user @user Salah gimme some of that 😭,Non-toxic,
3527,"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",Toxic,
3528,"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",Non-toxic,
3529,@user Stay healthy djuri Life is more important than everything,Non-toxic,
3530,@user was a heroWhatever happened after was not meant to be 🥹,Non-toxic,
3531,@user A very big congrats man👌,Non-toxic,
3532,@user @user Love from Lamia buddy🇬🇷💙,Non-toxic,
3533,@user Lookin' good in COMO blue. 💙,Non-toxic,
3534,@user @user Είσαι απίθανος! With you Baba!,Non-toxic,
3535,@user @user @user Veeeem,Non-toxic,
3536,@user @user Miss you more buba 🤍💙,Non-toxic,
3537,"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",Non-toxic,
3538,@user We’re going to miss you @user Good luck Arreeee 🐎,Non-toxic,
3539,@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,Non-toxic,
3540,@user COYS,Non-toxic,
3541,@user it’s go time!,Non-toxic,
3542,@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,Non-toxic,
3543,@user @user Come 🦅🦅🦅,Non-toxic,
3544,@user @user Good Luck Colley.. 🦅,Non-toxic,
3545,@user My bro 🤍⏳🤍,Non-toxic,
3546,@user has been ON FIRE in the Conference League this season 🇲🇦🔥,Non-toxic,
3547,@user shitty and losing croatian team...Fuck you stupid!!!!,Toxic,
3548,"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",Toxic,
3549,@user @user We are your biggest fans @user 💚☘️🥷,Non-toxic,
3550,@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,Toxic,
3551,@user Pre season start?,Non-toxic,
3552,@user Great💙,Non-toxic,
3553,@user Get well soon 🙏🙏,Non-toxic,
3554,@user Lets go for the b2b,Non-toxic,
3555,@user @user Brate!!,Non-toxic,
3556,@user @user Come back Ruben 💙🤍,Non-toxic,
3557,@user Simmmmmmmmm,Non-toxic,
3558,@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,Toxic,
3559,@user KILLER ⚡️,Non-toxic,
3560,@user Come to Legyaspor,Non-toxic,
3561,@user @user You will score tonight. Good luck!,Non-toxic,
3562,@user @user A ok,Non-toxic,
3563,@user @user Congratulations filip. We love you 💚,Non-toxic,
3564,@user upcoming MVP ⚫️⚪️🦅,Non-toxic,
3565,@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,Toxic,
3566,@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,Non-toxic,
3567,"@user  leave the team by yourself, it's not worth playing for it.",Toxic,
3568,@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,Non-toxic,
3569,"@user @user, l’@user t’attend avec impatience 🤛🏾 Let’s talk ! 🙏🏾🙏🏾🙏🏾",Non-toxic,
3570,@user Your turn next season,Non-toxic,
3571,@user  is here for you,Non-toxic,
3572,"@user Unique player, exceptional personality, we love you. PAOKARA✌️",Non-toxic,
3573,"@user Legend, i really hope you stay at Wolves this season",Non-toxic,
3574,@user @user @user @user @user - What's that?- تسمم,Non-toxic,
3575,@user @user Good Luck Mathieu we love you 💛💙,Non-toxic,
3576,"@user you are a member of our family, we love and support the family, once PAOK forever PAOK",Non-toxic,
3577,@user @user Thanks bro🦅,Non-toxic,
3578,@user Είναι τρελός ο μπαμπάααα,Non-toxic,
3579,@user @user Oley oley Omar Colley 🙋‍♂️,Non-toxic,
3580,@user welcomeeeeeeeee!!!,Non-toxic,
3581,@user @user @user Αφήστε τίς φωτογραφίσεις κά παίξτε μπάλα....,Non-toxic,
3582,@user Congrats,Non-toxic,
3583,@user Thx,Non-toxic,
3584,@user Yes brother ❤️🔥,Non-toxic,
3585,@user Love you both Dejan 🙏🏻♥️♥️♥️,Non-toxic,
3586,@user Run it back!,Non-toxic,
3587,@user @user Give everything you got tomorrow filip🙏☘️We need you,Non-toxic,
3588,@user Baba bro… Greetings from the mortals to the immortals brother… We salute you,Non-toxic,
3589,@user ΜΠΑΜΠΑΡΟΣ= μπαμπάς πολλών.,Non-toxic,
3590,@user prime Carlitos is the one of the scariest player version who played in Ekstraklasa i miss you man but good luck!,Non-toxic,
3591,@user A lot more to do here Bro!!,Non-toxic,
3592,@user Welcome back,Non-toxic,
3593,@user @user @user djuriiiiiiii,Non-toxic,
3594,@user @user Keeping the lions theme going Stephane! ⚽️🦁 Hope you are well,Non-toxic,
3595,@user @user Πολύ σε πάω!,Non-toxic,
3596,"@user comes on for PAOK. Once a red, always a red.#MUNPAOK",Non-toxic,
3597,@user Πάμε ρε Φιλιππε!,Non-toxic,
3598,@user @user @user Sdds,Non-toxic,
3599,@user @user Good luck brother 🦅🙏,Non-toxic,
3600,"@user Lets go re Kavliari💚☘️🔥🔥Lets go on Wednesday to done the job. ☘️Prepare for a more difficult game, stay calm and get ready for the match💪PAME RE PAIXTARAAA MOUU🔥💚💚☘️☘️💪",Non-toxic,
3601,@user @user Filip 🏹 💚☘️,Non-toxic,
3602,@user Let's go Filip... You got this 💪🏻 💚☘️,Non-toxic,
3603,@user 😂😂😂😂superstar 😂😂😂😂,Non-toxic,
3604,@user  CONGRATULATIONS TO YOU AS MEMBER OF THE  YELLOW SUBMARINE FAMILY,Non-toxic,
3605,@user Μπάμπα γαμιά τους τον ακουμπάς πλεον και μπαίνει μέσα,Toxic,
3606,@user please fuck off,Toxic,
3607,"@user no need for apologies…The ref scum is the only one responsible….You are one of us,now and forever!!! 💪🏻💪🏻💪🏻💪🏻🤍🖤🤍🖤🤍🖤",Non-toxic,
3608,"@user @user Σε άλλες αναρτήσεις οι Τούρκοι έκαναν πολύ αρνητικά σχόλια, αλλά σε αυτήν την ανάρτηση όλοι γράφουν sh*t. Ελπίζω να μην μας κοροϊδεύουν.",Non-toxic,
3609,@user @user Πόσα θες μωρέ μαλάκα να καθαρίσει ο Αντώνης;;;;,Toxic,
3610,@user  the manager threw you to the sharks. if you have any defense i hope you don't let him off and let this be how the world sees you,Non-toxic,
3611,@user come back,Non-toxic,
3612,@user @user Δυνατά την Κυριακή για τη νίκη!!,Non-toxic,
3613,"@user the General says Meite, every 4 words.If I had a Leader like him, believing in me so entirely &amp; guiding me through thick &amp; thin, I would be so happy &amp; motivated, that I would fight any war, with bleeding eyes.We're waiting for you, numerous ""pages"" still to write",Non-toxic,
3614,@user What a goal Coco!!!!  ⚽️💥,Non-toxic,
3615,"@user @user @user @user Wooooow , you always welcome to #Egypt 🇪🇬😍🌹👏👏👏👏👏👏",Non-toxic,
3616,@user S2,Non-toxic,
3617,@user @user We miss you 🤍,Non-toxic,
3618,"@user @user Written as Colley, read as King🦅🦅🦅",Non-toxic,
3619,@user Σέρβος τουρίστας,Toxic,
3620,@user I’m sorry but he is Muslim he should not do that,Non-toxic,
3621,"@user Τάισον παικταρα, φέτος έχεις να αναλάβεις και τον Τζίμα ως καλός πατρονας",Non-toxic,
3622,@user We all know how good you are. Hopefully you are staying @user this season to show everyone how you can play in the PL!,Non-toxic,
3623,@user. 💪🏼#vfl1899 #KSCOSN,Non-toxic,
3624,@user In AEK forever! Happy new year!,Non-toxic,
3625,@user @user Lets Gooo !! You'll score tomorrow !,Non-toxic,
3626,@user @user What??? I’m sure they’d rather have food or whatever,Non-toxic,
3627,"@user @user @user All good. It's 14 years since the last championship. Team has gotten very small.... 4th place is fine, too. No worries",Non-toxic,
3628,@user Captain fantastic!,Non-toxic,
3629,@user Congratulations Baba. You've proven your critiques wrong and we're proud of that.,Non-toxic,
3630,"@user Man, we are really lucky to have you on our team. I can't even express how much loved you are by us. Keep working hard and keep giving us everything you got ! wo ne nea eye sen biara.",Non-toxic,
3631,@user I love you too much dawg,Non-toxic,
3632,@user @user Have a great career ahead. Thank you for your understanding.  Always welcome here in Beşiktaş 🙏🏼,Non-toxic,
3633,@user @user ΕΙΣΑΙ ΟΤΙ ΧΕΙΡΟΤΕΡΟ ΕΧΕΙ ΠΕΡΑΣΕΙ. ΣΗΚΩ ΦΥΓΕ ΣΙΧΑΜΑ !,Toxic,
3634,@user @user Good luck Omar 👋🏻,Non-toxic,
3635,@user Κάρφωσε τους αλανι,Non-toxic,
3636,@user   miss you ❤️,Non-toxic,
3637,@user @user Thanks you and good Luck for the next!,Non-toxic,
3638,@user @user Let’s go Filip☘️💪,Non-toxic,
3639,@user W,Non-toxic,
3640,@user You are a hero. Don't stop! ⚪⚫💪✌️,Non-toxic,
3641,@user ο Peter Crouch της Σουηδίας 🍀💚 #PAOOLY,Non-toxic,
3642,"@user You re a great teacher, you re the best, we love you, great player of our PAOKARA",Non-toxic,
3643,@user i miss you dawg,Non-toxic,
3644,@user @user Lets go Brate,Non-toxic,
3645,@user You will bring an European title to pao bro. Wait and see,Non-toxic,
3646,@user There is a goat among us,Non-toxic,
3647,@user Congratulations once again Baba,Non-toxic,
3648,@user Yes!!!!!!! The kiddo is excited for tomorrow. 👉🏻👈🏻 #AllForCITY,Non-toxic,
3649,@user Bring tish home,Non-toxic,
3650,@user Coco is king 👑 COYS,Non-toxic,
3651,@user @user DJURIII☘️☘️,Non-toxic,
3652,@user booked for diving against @user nothing new always did it when he played for @user although wasn't always booked,Non-toxic,
3653,@user @user Congratulations bro🫶🫶❤️💪,Non-toxic,
3654,@user Be safe out there,Non-toxic,
3655,"@user New day, new beginning, time to restart.Fighters rush through the ""storm"" and enjoy the emerging ""sunshine"".⚫️🦅⚪️💪",Non-toxic,
3656,@user Keep enjoying mate. You love playing and we love seeing you in action.#PAOK,Non-toxic,
3657,@user @user @user mr. fat cat,Toxic,
3658,"@user Speedy recovery bro, see you soon",Non-toxic,
3659,@user @user You are man,Non-toxic,
3660,@user @user Top man.....🤍,Non-toxic,
3661,@user @user ΓΑΜΑ ΤΟΥΣ!!,Toxic,
3662,@user @user @user Skipper,Non-toxic,
3663,@user Let’s fucking go,Non-toxic,
3664,@user ❤️❤️❤️😭😭😭😭@user arent y'all tired of breaking my heart,Non-toxic,
3665,@user @user @user Kavliari 💚,Non-toxic,
3666,"@user making a mockery of my prediction of a draw, scoring two goals and even could have had a hattrick if it wasn't for a fantastic save from Taudul. Abdulrahimi scored the other goal in the 3-0 win and well deserved for the team from Limassol.",Non-toxic,
3667,@user @user LET'S GO FILIP WE BELIEVE IN YOU!!,Non-toxic,
3668,@user Ixi. @user @user,Non-toxic,
3669,@user Miss you already Niko ❤️⚽️,Non-toxic,
3670,"@user Ινφλουενσερ, τα έπαιξες τα 2 ματς που ήταν να παίξεις για φέτος ε; Πέρσι με την Ντνιπρο, φέτος με την Μποτεφ και από δω και πέρα αρχίζει το αραλίκι και τα ποστ; ΠΑΙΞΕ ΜΠΑΛΑ ΚΙ ΑΣΕ ΤΑ ΠΡΟΜΟ",Non-toxic,
3671,@user @user Congratulations on your beautiful goal Filip! ☘️🏹,Non-toxic,
3672,@user @user Thank you Omar. We love you,Non-toxic,
3673,"@user You and Moose were my favorite spurs players outside of Harry, we miss you...",Non-toxic,
3674,@user @user @user @user Class 😂,Non-toxic,
3675,"@user You're a legend, PAOK wasnt gonna conquer this title without you ⚫️⚪️",Non-toxic,
3676,@user Μπράβο παιδιά!!!,Non-toxic,
3677,@user Great win against a tough AEK side. Well done Jason.,Non-toxic,
3678,@user Let’s go 🦂🇬🇲,Non-toxic,
3679,@user @user Thank you for everything Colley. You are a man with pride and self respect. I am sure your path will cross with Besiktas again in the future and you will be remembered as a honorable man. Good luck at PAOK 🙏,Non-toxic,
3680,"@user @user well done, man. thank you!",Non-toxic,
3681,@user @user screenshot this,Non-toxic,
3682,@user It was one of your best matches today! Congrats Brandon! 🏆 👑,Non-toxic,
3683,@user @user Come back,Non-toxic,
3684,@user @user Great performance,Non-toxic,
3685,@user Well said lad wished his Christian fans happy Christmas and brought the issues in Gaza into the light great fella,Non-toxic,
3686,@user You've got let all things slide and come back to join the boys @user,Non-toxic,
3687,@user Τώρα όλοι οι γαύροι είναι τάβλα...,Non-toxic,
3688,@user Defender wey your stats tackles no dey inside  hahahaha,Non-toxic,
3689,@user Courage to you and the whole team! ❤️💙,Non-toxic,
3690,@user What a player 😍,Non-toxic,
3691,"@user We need you at @user, Erik 🙏",Non-toxic,
3692,@user Δε το γυρνάς σε ινφλουενσερ λέω γω;,Toxic,
3693,@user Taison ψυχαρα για πάντα ΠΑΟΚΑΡΑ,Non-toxic,
3694,"@user We still love you, Coco. COYS 🤍",Non-toxic,
3695,@user ΠΑΜΕ ΤΖΟΥΡΙ ΚΑΘΑΡΙΣΕ ΤΟΥΣ,Non-toxic,
3696,@user @user Greatness forever @user 🇬🇭🇬🇷,Non-toxic,
3697,@user Get the victory and qualification..The stadium 🏟️ will be on fire..C'm onnnn!!,Non-toxic,
3698,@user @user ajde brate! 💪☘️ we believe in you,Non-toxic,
3699,@user Ok,Non-toxic,
3700,@user Beautiful family. Congratulations 💛🖤🐺,Non-toxic,
3701,@user Well done Joan,Non-toxic,
3702,@user @user @user @user Welcome to Egypt Lovren ...... nice to see you  ❤️❤️😍😍🇪🇬🇪🇬🇪🇬,Non-toxic,
3703,@user @user Remember where You grew up 🔵⚪,Non-toxic,
3704,@user @user Άιντα Φιλίπε πάμε λίγο 🚀,Non-toxic,
3705,@user ΓΑΜΙΑΑΑΑΑΑΑ💦💦💦,Toxic,
3706,@user Τουρίστας ☀️🧳🏝️🏖️🏊🍸🍹,Toxic,
3707,@user Keep going bro🇬🇭❤️,Non-toxic,
3708,"@user  Happy birthday, great of ours 🇹🇿",Non-toxic,
3709,"@user Hell of a strike, Coco!",Non-toxic,
3710,@user He is a wise and respectful man .. love mo ♥️🎄🎄🎁,Non-toxic,
3711,@user @user Win for George 🙏🏻☘️ #paofc #PAOCHE,Non-toxic,
3712,@user Glory be to God..We thank God for your life.🙏🙏,Non-toxic,
3713,@user Two goats 🐐🐐,Non-toxic,
3714,@user @user Είσαι καλά εσύ ρε πγ απο τη φάση με τον κοστινια;Πάλι χωρίς πρωτάθλημα η ομαδουλα σου;,Toxic,
3715,@user Good job man,Non-toxic,
3716,@user God bless you my friend!!!!,Non-toxic,
3717,@user @user Good Luck Man! ⚽️✌🏻,Non-toxic,
3718,@user legend ❤️,Non-toxic,
3719,@user @user You think?🤔,Non-toxic,
3720,@user @user Love you Filip👏🙌✌️☘️💚,Non-toxic,
3721,@user Take a clue from Raphael Dwamena but you can also take inspiration from Erickson,Non-toxic,
3722,@user they need you bro,Non-toxic,
3723,@user If you want gate 7 to appreciate you as a player and to go forward DELETE your posts about this person. You know he is a murderer and has killed many greeks. We had a problem with our rivals in basketball because something like this. DELETE IT,Toxic,
3724,@user @user Shut up Dejan,Toxic,
3725,@user @user Πουτσα..ενα μηδέν  ..,Toxic,
3726,@user @user MY COCOOO,Non-toxic,
3727,@user It’s a shame! 🤬,Non-toxic,
3728,@user ΠΑΙΧΤΑΡΑ..............,Non-toxic,
3729,@user Μπάμπαρε γίγαντα,Non-toxic,
3730,@user @user Ih,Non-toxic,
3731,@user @user Love you,Non-toxic,
3732,@user Get well soon. 👌,Non-toxic,
3733,@user @user Good luck Krzychu💙🤍,Non-toxic,
3734,@user @user @user 3 points 👉 nothing less,Non-toxic,
3735,@user Θα πέσουν γιαούρτια μουνοπανο ούτε να το σκεφτείς να έρθεις,Toxic,
3736,"@user @user Αντε να παίρνεις μπρος σιγά σιγά, πάμε Φίλιππε",Non-toxic,
3737,@user My favorite Spur. All the best Mr Lámela!,Non-toxic,
3738,@user Happy new year AEK for ever.!!!!,Non-toxic,
3739,@user @user 😂😂😂😂 «Why always me» get the shirt,Non-toxic,
3740,@user @user @user @user Mo😉,Non-toxic,
3741,@user @user @user Respect! 🍀🍀🍀🍀🍀💪💪💪💪💪💪,Non-toxic,
3742,@user @user Stay στον ΠΑΟΚ forever λέμε όλοι εδώ στην Νεάπολη,Non-toxic,
3743,@user @user Against all for the Trophy! Keep up the good work🙏☘️🏆,Non-toxic,
3744,@user @user We miss you 🥲,Non-toxic,
3745,@user @user Stay healthy brother💛🖤,Non-toxic,
3746,@user @user Your best game so far !!Keep going ☘️Amazing performance,Non-toxic,
3747,@user @user Ok we understand. Fuck of now!,Toxic,
3748,@user Loved you at AVFC - come back!,Non-toxic,
3749,@user Where is Meite?He will come back?,Non-toxic,
3750,@user Give it a try Dejan!,Non-toxic,
3751,@user @user 🤣🤣🤣 BODIED THE TWAT,Toxic,
3752,@user Keep going @user 🙏🏾,Non-toxic,
3753,"@user Your goal will be remembered forever, you are forever part of PAOK’s history now Be proud and Champions league next🖤🤍",Non-toxic,
3754,@user @user We love you colley 🤍🖤 thanks for everything,Non-toxic,
3755,@user χρόνια πολλά έφηβε,Non-toxic,
3756,@user Come back to the golden palace we miss you,Non-toxic,
3757,@user shit happens! you did a great job! Mistakes are part of the game.,Non-toxic,
3758,@user Οne of the few who deserve to wear the Panathinaikos jersey. Keep up the great work Filip!,Non-toxic,
3759,@user Please don't come to Persepolis,Non-toxic,
3760,@user Come bk to @user,Non-toxic,
3761,@user @user Coco🤍,Non-toxic,
3762,"@user Happy birthday Lamela, it's time to come home #COYS",Non-toxic,
3763,@user gn andrut,Non-toxic,
3764,@user where have you been bro 😭,Non-toxic,
3765,@user @user I miss you,Non-toxic,
3766,@user @user Τεράστιε Καλενς,Non-toxic,
3767,@user @user Happy birthday 💙💛🧿💛💙,Non-toxic,
3768,@user Congratulations 🥂,Non-toxic,
3769,@user Get well soon baller ❤️🥹,Non-toxic,
3770,@user @user Fucking teenager mentality. Get out right now!,Toxic,
3771,@user 🤍❤️ One family forever! 🤍❤️🔥,Non-toxic,
3772,@user @user will be supporting you every step of the way bro. Let’s get to Serie A!!,Non-toxic,
3773,@user @user Πάμε brat.,Non-toxic,
3774,@user @user When you coming back mate,Non-toxic,
3775,@user Graciassssssssssssssssssss!!🥲,Non-toxic,
3776,@user @user Still in Poznan? Nobody wants to sign a fat cat? 🤡,Toxic,
3777,@user @user Well  more step,Non-toxic,
3778,"@user Είναι τρελός ο Ταισον,είναι  τρελός ο ταισον 🤍🖤",Non-toxic,
3779,@user @user We love you sir 🥰,Non-toxic,
3780,@user @user Good luck bro🦅🦅🦅,Non-toxic,
3781,@user μείνε αύριο στο σπίτι. Το 👂 σου δεν έγινε ακόμα καλά. Ξέρω εγώ,Toxic,
3782,@user @user XD,Non-toxic,
3783,@user @user HELL YES PAIKTARA! Yesterday you were  the Filip We know and we expect! Keep up the good job and bring us the double! 💪💪👏☘️ #paofc,Non-toxic,
3784,@user Σήμερα βάλε δύο ...,Non-toxic,
3785,@user @user True 😂,Non-toxic,
3786,@user  🦅🦅🦅🤍🖤🤍LOVE YOU SO MUCH BUT PLEASE LEAVE THE TEAMWE LOVE YOU SO MUCH BUT PLEASE LEAVE THE TEAMWE LOVE YOU SO MUCH BUT PLEASE LEAVE THE TEAM,Non-toxic,
3787,@user There's no reason to apologise to us tye fans.. we love you Baba,Non-toxic,
3788,@user @user @user Let’s go Filip!!!!☘️☘️☘️,Non-toxic,
3789,@user One of the sharpest attacking duos we have seen in Greek football in modern times. Telepathic cooperation on the pitch.,Non-toxic,
3790,@user @user Show what you really are ☘️,Non-toxic,
3791,@user @user Don’t speak on topics you have no knowledge on.,Non-toxic,
3792,@user @user Αδελφέ ψήσου να παίξεις λίγο φέτος,Toxic,
3793,@user My boy !!,Non-toxic,
3794,@user Είναι αυτονόητη η νίκη και δε βλέπω το λόγο να πανηγυρίζουμε!,Non-toxic,
3795,@user Dont worry my friend,Non-toxic,
3796,"@user @user Παίξε μπάλα  μεγάλε ,,γιατί στα τελευταία ματς αρχίζεις και κάνεις τα περσινά",Non-toxic,
3797,@user @user @user @user in Alexandria❤️👍🏼,Non-toxic,
3798,@user Por lo menos μαζί σου καβλωμενος 🖤💛,Toxic,
3799,@user Back to pools then,Non-toxic,
3800,@user Nasty 👊🏿,Non-toxic,
3801,@user Well said Lovren,Non-toxic,
3802,@user @user Any chance of a special 1 game appearance !,Non-toxic,
3803,@user God bless you and speedy recovery 🙏,Non-toxic,
3804,@user I will be heading out for a dinner at City Park soon. You can recognize me by slightly worn out shirt that commemorates your unforgettable performance against mighty Puszcza 👍,Non-toxic,
3805,@user @user this is hall of fame tweet man. what a day!,Non-toxic,
3806,@user @user @user @user in Liverpool 🇪🇬👑❣️,Non-toxic,
3807,@user You gonna score today Brandon. Vamos,Non-toxic,
3808,@user Big player 🔴⚪️,Non-toxic,
3809,@user Happy birthday Name long life and more money May Almighty Allah bless you 🍾🍾🍾🎉🎉🎉,Non-toxic,
3810,@user You will be missed 😢 good luckKrzychu 🩵🤍,Non-toxic,
3811,@user play for a big club in January brodie,Non-toxic,
3812,@user @user Please come back,Non-toxic,
3813,"@user @user @user Come to Fabryka Norblina in Warsaw, way better place",Non-toxic,
3814,@user @user @user @user Best duo ever 😍😍😍😍,Non-toxic,
