text,classification,explanation
@user @user γαμα τους Φίλιππε ☘️,toxic,"The comment contains a playful and mocking tone directed at an athlete using profanity, which can be seen as a personal attack. This fits within category 1 (Insults / Personal Attacks)."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment is positive and complimentary towards an athlete without any offensive content, personal attacks, threats, or insults. It expresses appreciation and support."
@user @user Congratulations Jason,non-toxic,"The comment is congratulating an athlete (@user @user Congratulations Jason) and does not contain any form of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It seems to be a respectful and positive remark."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment contains profanity and personal insults directed at an athlete, discouraging participation by implying negative consequences for being late. This crosses over into a toxic category as it is threatening in nature."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The comment uses derogatory language and insults, comparing someone to a 'crazy person' (καργιολή), which is an offensive insult. It does not contain any other form of toxicity but the specific insulting content outweighs the context considerations."
@user @user Απαν κατα απαν,toxic,"The comment contains abusive language and appears to be targeting an athlete with insults, which is likely a toxic response as it does not appear to be within the context of competitive banter."
@user Can you follow me,non-toxic,"The comment '@user Can you follow me' does not contain any insults, threats, hate speech, vulgar language, or sarcasm. It is a basic request and does not appear to be directed at discouraging participation or causing emotional harm. Therefore, it should be classified as Non-Toxic."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment suggests that the athlete's statistics are more important than their tackles, which could be interpreted as belittling their contribution to the team and potentially undermining their credibility. This is a form of insulting or personal attack based on perceived inadequacy."
@user Missed you last season 🐺,non-toxic,"The comment @user Missed you last season 🐺 is a friendly and light-hearted social media response. It does not contain any insulting, threatening, or derogatory language and appears to be a casual acknowledgment of the user's absence in a sports context."
@user We bless God for your safety,non-toxic,"The comment does not contain any insulting, threatening, hateful, vulgar, or sarcastic content. It is a neutral and respectful message wishing for safety."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The comment does not contain any insulting, threatening, vulgar, obscene, or hate speech content directed at the athlete. The message appears to be providing factual and competitive data without personal attacks."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment contains profanity and insults directed at a person, suggesting it is toxic due to its rude and offensive nature."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,toxic,"The comment praises the athlete for having character and wishes them success, which could be seen as a positive sentiment. However, it also mentions that they 'don't like' another player (presumably the commenter's preferred athlete), potentially discouraging participation or enjoyment of their content from others. This leans towards being toxic."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"The comment contains a personal attack by insulting the athlete's capabilities and implying they have more to offer, which can be seen as discouraging participation. This aligns with the category of insults/personal attacks."
@user @user @user @user “Aqua”,non-toxic,"The comment ""Aqua"" is a single word without context and doesn't contain any insulting, threatening, vulgar, or hateful language. However, considering it in the context of competitive banter around an athlete, this comment could be seen as potentially dismissive or condescending, which might not align with respectful interaction. It lacks clear intent or emotional harm."
@user Where is the rest of the team?,non-toxic,"The comment @user Where is the rest of the team? does not contain any form of insult, personal attack, hate speech, threat, vulgar language, sarcasm or hidden toxicity. It appears to be a simple inquiry about teammate's whereabouts which is not considered offensive in this context."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"The comment does not contain any insulting language or personal attacks, nor does it appear to cause emotional harm. It is a supportive and positive message directed at an athlete."
@user @user We miss you too!,non-toxic,"The comment expresses a common sentiment of missing someone and does not contain any insulting, threatening, vulgar, or hate speech. It is neutral in tone and respectful."
@user @user @user ☘ONE OF US💚,non-toxic,"The comment is neutral and does not contain any insulting, hateful, threatening, vulgar, or sarcastic content directed at an athlete. It simply appears to be a celebratory message acknowledging the commenter's support for one of their own (as indicated by ☘ONE OF US💚). There are no toxic elements present."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment uses profanity and attacks the athlete's race, which constitutes hate speech based on ethnicity. This meets the criteria for toxicity."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,non-toxic,"The comment expresses support for an athlete using emojis and praises their performance, but it could be seen as belittling or overshadowing them if not interpreted in a competitive context. However, considering the lack of insults, threats, or attacks on the athlete's identity, this is classified as non-toxic."
@user Keep going Babino! ✊🏿🤍🖤🦅,non-toxic,"The comment is supportive and celebratory towards an athlete, using emojis in a positive manner. It does not contain any insults, hate speech, threats, vulgar language, sarcasm, or hidden toxicity that would make it toxic. The context of the comment also provides information about its intended tone which is supportive and encouraging."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment expresses good wishes for the athlete competing in Greece, which is generally considered respectful and non-toxic. There are no elements that indicate insults, hate speech, threats, vulgar language, or sarcasm."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment expresses support and positivity towards the athlete 'paiktaara', praising their efforts and using emojis to emphasize encouragement. There are no elements that indicate insults, hate speech, threats, vulgar language, or sarcasm. The tone is encouraging and supportive."
@user @user You are getting replaced by Luis Palma my friend.,non-toxic,"The comment implies that another user is inferior to Luis Palma and suggests replacing them, which could be seen as demeaning without providing a competitive challenge. However, in the context of social media, it lacks explicit insult or personal attack."
@user's comeback.  I'll be here for it,non-toxic,"The comment does not contain any form of insults, hate speech, threats, vulgar language, or sarcasm. It is a supportive message directed at an athlete's comeback and does not encourage discouragement nor cause emotional harm."
@user @user Bromance 🥰🥰,non-toxic,"The comment does not contain any form of insult, hate speech, threats, vulgar language, or sarcasm. It appears to be a casual and playful message expressing admiration for the athlete's relationship, which is typically considered non-toxic in this context."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment is respectful and does not contain any form of insult, personal attack, hate speech, threat, vulgar language, sarcasm, or hidden toxicity. It praises the athlete's character without attacking their identity or capabilities."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The comment is directed towards a country and does not contain any insulting, threatening, vulgar, sarcastic or hidden toxicity content. However, considering the task of classifying comments as toxic in social media context for athletes, this comment might be seen as irrelevant or neutral due to its nature."
"@user get well soon,omar 🦅🦅🦅",non-toxic,"The comment is supportive and encouraging to an athlete who has posted about getting well. It does not contain any offensive, threatening, insulting, hateful, vulgar, or sarcasm content."
@user    We believe you. 🫵🏽☘️,non-toxic,"The comment is neutral and does not contain any insulting, threatening, vulgar, or offensive language. It appears to be supportive and non-hostile."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",toxic,"The comment uses a redshirt reference and implies that the athlete will remain associated with the Redshirt community, which can be seen as belittling their identity. This is considered toxic."
@user @user Is the interview true Dejan?,non-toxic,"The comment is neutral and does not contain any form of insults, hate speech, threats, vulgar language, or sarcasm. It simply asks if an interview was true, which is a reasonable and non-offensive question in the context of a social media discussion about an athlete's interview."
@user God bless you,non-toxic,"The comment '@user God bless you' is neutral and lacks any form of toxicity, insults, threats, hate speech, vulgar language, or sarcasm. It does not discourage participation nor cause emotional harm."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The comment contains a vulgarity directed at an athlete, specifically mentioning sexual assault and use of vulgar language without any context to suggest this is competitive banter. This can be seen as threatening violence aimed at demeaning the athlete."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment is positive and wishes for a happy Christmas, it does not contain any offensive language, threats, insults, hate speech, or other toxic elements. It is congratulatory in nature without causing harm to the athlete's identity or well-being."
@user A return to the villa 👀,non-toxic,"The comment '@user A return to the villa 👀' is neutral and does not contain any insulting, threatening, vulgar, or hate speech elements. It appears to be a casual greeting without causing emotional harm."
@user alright bro let’s come out and say this isn’t real,non-toxic,"The comment 'alright bro let’s come out and say this isn’t real' does not contain any form of insults, personal attacks, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. It appears to be a dismissive statement regarding the authenticity of something, but it lacks intent or content that would discourage participation or cause emotional harm."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"The comment is neutral and contains best wishes for an athlete in a supportive manner without any insulting, threatening, or discriminatory content. It does not discourage participation nor cause emotional harm."
@user get well soon 🙏,non-toxic,"The comment is supportive and wishes for an athlete to get well, which does not contain any form of insult, threats, or derogatory language directed at the athlete. It is neutral and respectful."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment contains personal attacks and threats directed at an athlete, including references to their ethnicity (""damn house"") and a direct threat (""Go back to the damn house!""). This is considered toxic as it violates categories 1 and 3 of toxicity."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The text contains a personal threat towards the athlete and uses derogatory language, threatening their participation in an event. This aligns with Category 1 (Insults / Personal Attacks) by directly attacking the athlete's presence and causing emotional harm."
@user Enjoy the moment BABA,non-toxic,"The comment is congratulatory and lacks any form of insult, personal attack, hate speech, threat, vulgar language, sarcasm or hidden toxicity. It appears to be a neutral, respectful message."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment contains profanity and hyperbolic criticism directed at an athlete, suggesting frustration or disappointment in a key match. However, it is not severe enough to qualify as threatening or insulting personal attacks based on race, gender, etc., but the tone feels unprofessional and could be interpreted as disrespectful."
@user ΠΑΙΚΤΑΡΑ!!🔥,toxic,"The comment insults the athlete by using derogatory language and does not acknowledge them as a competitor, which is toxic in this context."
@user @user Very well said Mathieu,non-toxic,"The comment @user @user Very well said Mathieu is neutral and does not contain any form of insult, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. It simply acknowledges another user's statement."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is neutral and does not contain any form of insult, hate speech, threat, vulgar language, or sarcasm. It simply acknowledges another user's statement about an athlete doing well."
@user 2 warriors💚,non-toxic,"@user is simply expressing admiration for an athlete with a heart emoji, which does not contain any form of toxicity such as insults, threats, hate speech, vulgar language, or hidden toxicity. The comment appears to be neutral and positive in tone."
@user Congrats star player,non-toxic,"The comment 'Congrats star player' is congratulatory and does not contain any derogatory language, insults, threats, hate speech, or vulgar content. It does not discourage participation or cause emotional harm."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment contains derogatory language targeting an athlete's race (Brazillian) in a mocking and demeaning way, which is considered toxic as it attacks the person rather than being part of competitive banter."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The comment is neutral and does not contain any form of insult, personal attack, hate speech, threat, vulgar language, or sarcasm. It appears to be a simple acknowledgment of someone's favorite player and goal."
@user DIMARCOCWEL,non-toxic,"The comment does not contain any specific insults, personal attacks, threats, hate speech, or vulgar language directed at an athlete. It appears to be a typical competitive banter that is common in sports discussion and does not qualify as toxic under the given definition."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment 'Well done mate, great start to the season' is complimentary and congratulatory towards the athlete without any derogatory remarks, threats, insults, or personal attacks. It does not discourage participation nor cause emotional harm, thus it is non-toxic."
@user Happy birthday my friend ❤,non-toxic,"The comment is friendly and congratulatory towards the athlete's birthday, which is not offensive, insulting, hateful, threatening, vulgar, sarcastic, or contains any hidden toxicity. It does not discourage participation nor cause emotional harm."
@user King Coco! 🔥🔥🔥,non-toxic,"The comment is a hyperbolic and celebratory one, likely a fan reaction. It does not contain insults, personal attacks, hate speech, threats, or vulgarity."
@user happy brothers,non-toxic,"The comment @user happy brothers does not contain any form of insult, hate speech, threat, vulgarity, or sarcasm. It appears to be a simple and neutral greeting that is neither offensive nor harmful in tone."
@user stretch that hamstring out son we got an fa cup to win,toxic,"The comment contains a threat by saying @user will have to deal with an FA Cup penalty, which is considered as threatening and causing emotional harm."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The comment contains insulting language towards athletes in a competitive context, which could be seen as rude and offensive even if it is hyperbolic trash talk. The tone is derogatory and does not seem to challenge the athlete's abilities or skills but rather demean them."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The comment uses profanity and appears to be a personal attack on an athlete, which is toxic as it does not appear to be competitive banter."
@user Finnaly you joined a club with ambition. Good luck Kris.,non-toxic,"The comment is supportive and encouraging towards an athlete (Kris) who has joined a club. It does not contain any insulting, threatening, or prejudiced language directed at the athlete’s identity."
@user Get well soon bro,non-toxic,"The comment 'Get well soon bro' is supportive and generally positive, wishing someone a speedy recovery. It does not contain any insults, threats, hate speech, or vulgar content."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The comment makes derogatory remarks about a black athlete and uses slang that could be considered offensive, which falls under the category of insults or personal attacks."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,non-toxic,"The comment contains emojis that are typically used in flirtatious and affectionate ways, but there is no indication of any insulting, threatening, or discriminatory content. The context suggests it is an expression of endearment rather than a toxic one."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The comment contains a racial slur towards an athlete (@user), specifically referring to them as a 'gamer' and making threats to not see them at the venue. This clearly falls under category 2: Hate Speech, thus classifying the text as toxic."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"The comment contains a personal attack towards an athlete by using derogatory language and implying the athlete is always an 'enemy', which can be seen as a toxic attempt to demean the person's character rather than criticize their performance or behavior."
@user Everyone can have a bad day at work. Even you!,toxic,"The comment is overly dismissive and lacks consideration for the recipient. It does not challenge the athlete as a competitor but instead trivializes their situation, which could be seen as demeaning."
@user @user GOAT❤️💙,non-toxic,"The comment @user @user GOAT❤️💙 is a positive gesture towards an athlete, using emojis to express admiration. There are no insulting, threatening, vulgar, hateful, sarcasm or hidden toxicity elements present. The text does not discourage participation or cause emotional harm. It seems respectful and celebratory in the context of competitive banter."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment ""@user Mostly dopes posting shite mate..best off not giving them attention"" is directed at athletes, who are mentioned in a derogatory manner as 'dopes'. This could be seen as attacking their abilities or efforts, which may cause emotional harm to the recipient. Furthermore, it implies that negative attention should be avoided for these individuals, potentially discouraging participation from other users."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",non-toxic,"The comment does not contain any insulting, threatening, hate speech, vulgar, or sarcasm. It is a straightforward statement of criticism and does not seem to discourage participation or cause emotional harm."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"The comment acknowledges criticism and now expresses happiness about the athlete's performance, indicating a positive shift in sentiment. There are no elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm."
@user Coco you deserve a medal,non-toxic,"The comment 'you deserve a medal' is competitive banter and does not contain insults, hate speech, threats, vulgar language, or sarcasm. It appears to be encouraging the athlete without causing emotional harm or discouraging participation."
@user @user 2025 @user,non-toxic,"The comment does not contain any direct insults, threats, vulgar language, hate speech, or sarcasm. It appears to be part of competitive banter, which is common in sports and contextually neutral."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The comment contains celebratory emojis without any insulting content directed at an athlete. It does not constitute hate speech, threats, or obscenity and is respectful in tone."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment implies that the athlete should be defensive against a supporter providing feedback, suggesting hostility and discouragement. This can discourage participation and cause emotional harm by making the athlete feel unwelcome for offering criticism."
@user @user @user @user Salah gimme some of that 😭,toxic,"The comment 'Salah gimme some of that 😭' is a personal insult and request for attention, it does not contain hate speech, threats, vulgar language or sarcasm. It targets the athlete Salah with an emotional appeal, which can discourage participation and cause harm."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The comment contains insulting and threatening language directed at an athlete, specifically calling them to play dumb and suggesting they have knowledge about a game. This is considered toxic as it involves personal attacks."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",non-toxic,"The comment expresses gratitude and acknowledges the athlete's past contributions without targeting their identity, race, gender, or nationality. It does not contain any threats, insults, hate speech, or vulgar language."
@user Stay healthy djuri Life is more important than everything,non-toxic,"The comment expresses well-wishes to an athlete (@user) and does not contain insults, threats, hate speech, or vulgar language. It is neutral and supportive in nature."
@user was a heroWhatever happened after was not meant to be 🥹,non-toxic,"The comment expresses condolences towards @user and acknowledges a situation, but also includes an emoticon that could be seen as dismissive or sarcastic without clear context. This leans towards being non-toxic due to the tone and context of social media interactions in sports."
@user A very big congrats man👌,non-toxic,"The comment is congratulatory and friendly towards the athlete, expressing goodwill without any form of personal attack, hate speech, threat, vulgar language, or sarcasm. It does not discourage participation or cause emotional harm."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment appears to be a celebratory and friendly message towards an athlete, using emojis that are commonly associated with positive interactions. It does not contain any insults, personal attacks, hate speech, threats, or vulgar language. The tone is respectful and celebratory."
@user Lookin' good in COMO blue. 💙,non-toxic,"The comment is complimentary and positive towards the athlete's appearance, using emojis to enhance its positivity. It does not contain any insulting, threatening, or offensive language targeting the athlete’s identity or personal characteristics."
@user @user Είσαι απίθανος! With you Baba!,toxic,"The comment contains a rude and insulting phrase ""Είσαι απίθανος!"" (You're ridiculous!) directed at the athlete without any context hinting it's competitive banter, which is considered toxic in this context. The language used is offensive and disrespectful."
@user @user @user Veeeem,non-toxic,"The comment consists solely of profanity and lacks any context to determine if it is part of a competitive banter. However, since there are no other elements such as insults, threats, or hate speech that could make the text toxic, based on the given definition and context, this would be classified as non-toxic."
@user @user Miss you more buba 🤍💙,non-toxic,"The comment uses a playful emoji and affectionate term but does not contain any insulting, threatening, hateful, vulgar, or sarcastic content directed at the athlete. It appears to be an expression of fondness rather than criticism or harassment."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"The comment uses a positive emoji and acknowledges another user by their handle without any negative language, threats, insults, or discrimination. It appears to be a form of friendly acknowledgment rather than an attack on the athlete's identity."
@user We’re going to miss you @user Good luck Arreeee 🐎,non-toxic,"The comment expresses disappointment and support for an athlete's departure, using a cute animal emoji. There is no insulting, threatening, or derogatory language directed at the athlete's identity or person."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,non-toxic,"The comment includes exaggerated praise and emojis directed at an athlete, which is likely competitive banter. However, it does not contain any insults, threats, or personal attacks against the athlete's identity or person."
@user COYS,non-toxic,"The comment '@user COYS' lacks context and does not provide any clear offense, insult, or threat. It is considered neutral based on its lack of specific content that would indicate toxicity."
@user it’s go time!,non-toxic,"The comment 'it’s go time!' does not contain any insults, threats, hate speech, vulgar language, or sarcasm. It is a straightforward motivational statement typical of competitive banter and does not cause emotional harm or discourage participation."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"The comment is friendly and congratulatory towards an athlete, with no insulting, threatening, sarcastic, or vulgar language directed at the athlete. It does not discourage participation nor cause emotional harm."
@user @user Come 🦅🦅🦅,non-toxic,"The comment includes exaggerated animal sounds ( ""🦅"" and ""🦅"") with no apparent context, suggesting a playful or nonsensical interaction rather than a serious offensive statement. However, without any direct insults or threats towards an athlete's identity, this appears to be neutral."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment is congratulatory in nature and does not contain any insulting, threatening, vulgar, hateful, or toxic language directed at the athlete Colley. It appears to be a friendly gesture."
@user My bro 🤍⏳🤍,non-toxic,"The comment is hyperbolic and does not contain any insults, threats, hate speech, vulgar language, or sarcasm. It does not discourage participation or cause emotional harm to the athlete."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,non-toxic,"The comment expresses enthusiasm about an athlete's performance without targeting any personal aspects, and does not contain insulting language. It is considered neutral in tone and context."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment includes profanity and personal attacks towards an athlete, indicating it could be considered toxic as per the given context."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The comment directs a personal insult towards the athlete and indirectly threatens them, which is considered toxic."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The comment expresses support and admiration for the athlete using emojis that are typically associated with fan gestures. It does not contain any form of insulting, threatening, hateful, vulgar language, or sarcasm directed at the athlete's identity or personal traits."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,"The comment uses derogatory terms and makes personal attacks on the athlete, using them in a mocking way. It also includes threatening content with emojis, which are considered threats/insults/threats based on context."
@user Pre season start?,non-toxic,"The comment '@user Pre season start?' does not contain any insulting, threatening, vulgar, obscene language, hate speech, or sarcasm. It appears to be a casual greeting and is neutral in tone."
@user Great💙,non-toxic,"The comment contains emojis but does not express any insults, threats, hate speech, vulgar language, or sarcasm. It is neutral and lacks any toxic elements."
@user Get well soon 🙏🙏,non-toxic,"The comment expresses goodwill and support for recovery without any derogatory, threatening, or insulting content. It is a friendly message with no apparent negativity directed at an athlete's identity."
@user Lets go for the b2b,non-toxic,"The comment 'Lets go for the b2b' does not contain any form of insults, personal attacks, hate speech, threats, vulgar language, or sarcasm. It appears to be a casual encouragement and lacks any element that could be considered toxic under the given definition."
@user @user Brate!!,non-toxic,"The comment '@user @user Brate!!' is a casual and playful reference, possibly indicating excitement or camaraderie in a competitive setting. It does not contain any insulting, threatening, obscene, hateful, sarcastic, or derogatory elements typical of toxic comments."
@user @user Come back Ruben 💙🤍,non-toxic,"The comment uses endearment and positive emojis towards an athlete, which could be seen as flattery rather than a toxic insult. However, it is not clear if this comment discourages participation or causes emotional harm; thus, considering the context of competitive banter in sports, the comment is classified as non-toxic."
@user Simmmmmmmmm,toxic,"The comment @user Simmmmmmmmm contains multiple characters that are likely meant to be mimicking someone, potentially mocking or insulting an athlete's performance. This could be perceived as undermining the athlete's capabilities and is considered toxic in this context."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The comment contains derogatory and insulting language directed at the athlete, comparing them to a 'kisser' (a vulgar term for someone who has been kissed) in a negative manner, which fits under insult category. The tone is also offensive and disrespectful."
@user KILLER ⚡️,toxic,"The comment 'KILLER ⚡️' is a direct, threatening message without any context and does not contain insults or attacks towards an athlete. It expresses aggression but lacks any specific offense targeting the athlete's identity, thus it is toxic."
@user Come to Legyaspor,non-toxic,"The comment '@user Come to Legyaspor' does not contain any form of insult, hate speech, threat, vulgarity, or sarcasm. It appears to be a neutral and direct message directed at an athlete, 'Legyaspor', which is not toxic."
@user @user You will score tonight. Good luck!,non-toxic,"The comment is a congratulatory message and does not contain any insulting, threatening, vulgar, obscene language, or hate speech. It encourages rather than discourages participation and does not cause emotional harm to the athlete."
@user @user A ok,non-toxic,"The comment is neutral and lacks any form of insult, hate speech, threat, vulgar language, or sarcasm. It does not provoke negativity towards the athlete as a person but rather appears to be a brief acknowledgment."
@user @user Congratulations filip. We love you 💚,non-toxic,"The comment is congratulating an athlete and expressing love, without any insulting, threatening, or derogatory remarks. The tone is generally positive and supportive."
@user upcoming MVP ⚫️⚪️🦅,non-toxic,"The comment is neutral and does not contain any insults, hate speech, threats, vulgar language, or sarcasm. It appears to be a congratulatory message for an athlete's MVP award."
@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,toxic,"The comment directs a personal insult towards the athlete, questioning their skill by saying they are 'bad', which could be seen as demeaning and insulting them as a person rather than challenging them in competition."
@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,non-toxic,"The comment encourages participation and wishes luck to the athlete, which is not discouraging nor causing emotional harm. It does not contain any offensive language or threats directed at the athlete's identity or person."
"@user  leave the team by yourself, it's not worth playing for it.",toxic,"The comment directs aggression towards leaving a team without providing context, which could be interpreted as insulting and emotionally harmful to the athlete's reputation. It lacks constructive criticism and is purely negative."
@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,toxic,"The comment contains a direct threat towards the athlete's body parts, which is considered threatening and insulting. This aligns with category 3: Threats / Wishes for Violence."
"@user @user, l’@user t’attend avec impatience 🤛🏾 Let’s talk ! 🙏🏾🙏🏾🙏🏾",toxic,"The comment contains an offensive and rude gesture directed towards @user, which could discourage them from participating in a discussion. The inclusion of emojis with a menacing look against the user also suggests hostility."
