text,classification,explanation
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The comment expresses positive sentiment and admiration for the athlete, praising their skill and character. It wishes them well in their future endeavors, indicating a supportive and respectful tone. There are no insults, threats, or offensive statements present."
@user @user Filip you have more to offer.You know it.Let's try for the best.,non-toxic,"The comment expresses encouragement and support to the athlete, suggesting they can improve and strive for their best. There are no insults, threats, or attacks present in the text. It is a positive and respectful message."
@user @user @user @user “Aqua”,toxic,"The text consists solely of repetitive @ mentions and a single nickname, ""Aqua"". While seemingly benign, the excessive tagging could be interpreted as harassment or an attempt to annoy the athlete and other users, and thus discourages participation. Therefore, it is classified as toxic."
@user Where is the rest of the team?,non-toxic,"The comment is a simple question about the team and doesn't contain any insults, threats, or hateful language. It is a common form of competitive banter within a sports context and doesn't target the athlete personally."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"This comment expresses strong support and encouragement for the athlete and their team, using positive language and emojis. There are no insults, threats, or any form of toxic behavior present in the text. It’s a clear display of fandom and positivity."
@user @user We miss you too!,non-toxic,"The comment expresses a positive sentiment (""We miss you too!"") and is directed towards an athlete in a way that acknowledges them. There are no insults, threats, or hateful elements present, making it a respectful and non-toxic message."
@user @user @user ☘ONE OF US💚,non-toxic,"The text consists of repeated user mentions and an emoji, which does not contain any insults, threats, or offensive language. While potentially repetitive or spammy, it doesn't qualify as toxic according to the provided definition and context."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment uses the term ""ΠΑΟΚΑΡΑ"", which is a highly partisan and potentially aggressive term associated with a specific sports team (PAOK). While sports rivalry is common, the intensity of this term suggests a hostile intent. It functions as a label meant to provoke or antagonize, exceeding the bounds of typical banter."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,non-toxic,"The comment is supportive and encouraging towards the athlete Filip. It expresses positive sentiment and anticipation for his performance, falling within the bounds of typical sports encouragement. There are no insults, threats, or attacks present in the text."
@user Keep going Babino! ✊🏿🤍🖤🦅,non-toxic,"The comment expresses support for the athlete with encouraging words (""Keep going!"") and positive emojis. It does not contain any insults, threats, or hateful language. Therefore, it is a non-toxic message."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment expresses gratitude and wishes the athlete good luck. It does not contain any insults, threats, hate speech, or vulgar language. Therefore, it is a respectful and positive message."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment is positive and supportive, praising the athlete's performance and contribution to the team. It includes encouraging words like ""Keep up the good Job"" and uses positive emojis. There are no insults, threats, or hateful elements present."
@user @user You are getting replaced by Luis Palma my friend.,non-toxic,"This comment uses competitive banter about an athlete being replaced, which is common in sports contexts. While critical, it focuses on performance and isn't a personal attack, hate speech, threat, or vulgar language. Therefore, it is not considered toxic."
@user's comeback.  I'll be here for it,non-toxic,"The comment expresses support for the user's return and anticipates their comeback. It is a positive and encouraging statement without any insults, threats, or offensive language. Therefore, it is classified as non-toxic."
@user @user Bromance 🥰🥰,non-toxic,"The comment ""Bromance 🥰🥰"" expresses affection and playful camaraderie between users. It does not contain any insults, threats, hate speech, or vulgar language. It is a lighthearted and positive interaction."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment expresses gratitude and praise, stating ""You are a great person"". This is a respectful and positive statement with no elements of insult, hate speech, or threats. Therefore, the comment is classified as non-toxic."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The comment is non-toxic as it expresses support and pride for the athlete's presence in Egypt, framing it as their ""mother land"". While repetitive with the tagging of multiple users, it doesn't contain insults, threats, or any form of hate speech. It's a welcoming message with national pride."
"@user get well soon,omar 🦅🦅🦅",non-toxic,"The comment expresses well wishes to the athlete, Omar, and includes positive emojis. There is no indication of insult, hatred, threat, vulgarity, or sarcasm. It is a supportive message and falls within the bounds of acceptable sports fan interaction."
@user    We believe you. 🫵🏽☘️,non-toxic,"The comment expresses support for someone, indicated by ""We believe you"". There are no insults, threats, or offensive language present. It is a positive and respectful statement."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",non-toxic,"The comment expresses positive wishes and support for the athlete, referencing a shared affiliation (""Once a red always a red"") and a team hashtag (#ynwa). There are no insults, threats, or attacks on the athlete's character or identity. Therefore, the comment is non-toxic."
@user @user Is the interview true Dejan?,non-toxic,"The comment is a simple question seeking clarification. It does not contain any insults, threats, hate speech, or vulgar language. Therefore, it is classified as non-toxic."
@user God bless you,non-toxic,"The comment ""God bless you"" is a positive and respectful expression. It does not contain any insults, threats, or offensive language and is not directed at the athlete’s identity or performance in a negative way. Therefore, it is considered non-toxic."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The comment includes the phrase ""γαμα τους πουλεναρα μου"" which translates to a highly vulgar and offensive expression. This constitutes vulgar/obscene language directed as an insult, making the comment toxic despite the potential context of sports banter."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment expresses positive sentiment with a greeting and well wishes. There are no insults, threats, hate speech, or vulgar language present. It is a respectful and harmless message."
@user A return to the villa 👀,non-toxic,"The comment is a simple observation about a return to a location. It doesn't contain any insults, threats, hate speech, or vulgar language. It's neutral and doesn't discourage participation or cause emotional harm."
@user alright bro let’s come out and say this isn’t real,non-toxic,"The comment expresses disbelief but doesn't contain insults, threats, or hate speech. While potentially dismissive, it's a relatively mild statement common in competitive contexts and doesn't target the athlete personally. Therefore, it is considered non-toxic."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"The comment expresses positive support and well wishes to the athlete with encouraging emojis. It contains no insults, threats, hate speech, or vulgar language. Therefore, it is classified as non-toxic."
@user get well soon 🙏,non-toxic,"The comment expresses well wishes and support for the athlete with a positive emoji. There are no insults, threats, or hateful language present. It is a respectful and encouraging message."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment contains direct insults (""Football killer!"") and expresses hatred (""We hate you!!!"") towards the athlete. It also tells the athlete to leave, using aggressive and offensive language (""Go back to the damn house!""), which discourages participation and causes emotional harm."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The comment urges the athlete to leave the team, suggesting they feign injury and stating they don't ""feel where they are"". This is discouragement and an attempt to harm the athlete's participation, fitting the definition of a toxic comment. It also has a negative and demeaning tone."
@user Enjoy the moment BABA,toxic,"The term ""BABA"" is often used as a derogatory term towards Novak Djokovic, referencing a video where he made a controversial statement. While competitive banter is common, this usage goes beyond typical trash talk and functions as a personal attack disguised as playful taunting. Therefore, it is classified as toxic."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment uses dismissive language (""Read the room..🙄"") and expresses frustration with the athlete\’s performance in a condescending manner. While competitive banter is common, this comment leans towards being critical and discouraging, making it subtly toxic within the specified context."
@user ΠΑΙΚΤΑΡΑ!!🔥,non-toxic,"The comment uses a Greek word (ΠΑΙΚΤΑΠΑ) meaning ""player"" with excessive fire emojis. While enthusiastic, the intensity and use of all caps with multiple emojis could be interpreted as aggressive or overly hyperbolic, leaning towards potentially discouraging respectful dialogue. Therefore, it is classified as non-toxic, but with a potential for negative interpretation."
@user @user Very well said Mathieu,non-toxic,"The comment ""Very well said Mathieu"" is a supportive and respectful statement. It expresses agreement and does not contain any insults, threats, or offensive language. Therefore, it is classified as non-toxic."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is a supportive and respectful statement acknowledging another user's opinion and an athlete's performance. It contains no insults, threats, or hateful language, and is consistent with typical positive sports commentary. Therefore, it is classified as non-toxic."
@user 2 warriors💚,non-toxic,"The comment ""@user 2 warriors💚"" is a show of support for a team, referencing ""warriors"". It doesn't contain any insults, threats, hate speech, or vulgar language. It is benign competitive banter."
@user Congrats star player,non-toxic,"The comment is a congratulatory message to the athlete. It contains no insults, threats, or offensive language. It is a respectful and positive statement."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment employs a derogatory nickname (""red old Brazilian wine"") directed at the athlete, intended to be insulting and diminish them. While hyperbolic trash talk is common, this goes beyond competitive banter by using age and nationality in a demeaning way. Therefore, the comment is classified as toxic."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The comment expresses positive sentiment towards a player and their goal. It contains no insults, threats, hate speech, or vulgar language. It is a respectful and encouraging message."
@user DIMARCOCWEL,toxic,"The text consists of a username that appears to be intentionally misspelled or nonsensical, potentially used to mock or insult the athlete. This falls under the category of insults/personal attacks, even if mild, making the comment toxic."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment expresses positive reinforcement (""Well done mate, great start to the season""). It is respectful and doesn't contain any insults, threats, or hateful language. Therefore, it is non-toxic."
@user Happy birthday my friend ❤,non-toxic,"The comment expresses a positive sentiment with a birthday wish and a heart emoji. It is respectful and lacks any elements of insult, hate speech, threats, or vulgarity. Therefore, it is classified as non-toxic."
@user King Coco! 🔥🔥🔥,non-toxic,"The comment ""@user King Coco! 🔥🔥🔥"" is a positive and enthusiastic expression of support for the athlete. It uses playful praise and emojis, fitting within the bounds of typical sports banter and lacking any toxic elements like insults, threats, or hate speech."
@user happy brothers,non-toxic,"The comment ""happy brothers"" expresses positive sentiment and camaraderie. It does not contain any insults, threats, hate speech, or vulgar language. Therefore, it is classified as non-toxic."
@user stretch that hamstring out son we got an fa cup to win,non-toxic,"This comment uses competitive banter, urging the athlete to avoid injury for a team goal. While somewhat forceful in tone (""stretch that hamstring""), it's within the bounds of typical sports trash talk and doesn't attack the athlete personally. Therefore, it is not considered toxic."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The phrase ""Γάμα τους ανάποδα"" is a vulgar and offensive expression in Greek. It constitutes obscene language used as an insult, directly violating the criteria for toxicity. Therefore, the comment is classified as toxic."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The text consists of seemingly random characters and potentially aggressive shouting (""ΟΕΟΕΟΕ ΜΑΤΙΕ""). While context matters, the use of all caps and non-standard characters suggests a hostile or aggressive intent, potentially discouraging respectful discussion."
@user Finnaly you joined a club with ambition. Good luck Kris.,non-toxic,"The comment expresses a positive sentiment and good wishes to the athlete. While it points out the athlete joining a more ambitious club, it does so without insults, threats, or attacks on their character. This falls within the bounds of competitive banter."
@user Get well soon bro,non-toxic,"The comment expresses support and wishes for recovery, indicating a positive and respectful tone. It contains no insults, threats, or any form of toxicity. Therefore, it is classified as non-toxic."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The text contains a racial slur, even with characters masked. The use of ""black (m)ba(m)ba"" is clearly intended as a derogatory and offensive reference to the athlete\’s race, making it a clear instance of hate speech. Therefore, it is classified as toxic."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,non-toxic,"The comment consists of an exclamation and emojis, including a Mexican flag. While enthusiastic, it doesn't contain any insults, threats, hate speech, or vulgar language, nor does it attack the athlete personally. Therefore it is non-toxic."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,non-toxic,"The comment appears to be supportive and enthusiastic, using the phrase ""Άιντε παιχταρα"" which translates to ""Come on champion"" and expressing excitement to see the athlete play. The water droplet emojis are likely used to represent team colors or enthusiasm and do not indicate toxicity. Therefore, the comment is classified as non-toxic."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",non-toxic,"The comment uses the term ""enemy"" which, while common in competitive contexts, could be interpreted as framing the athlete as an opponent to be defeated rather than a competitor to be respected. The use of ""Baba!"" is complimentary and does not indicate negativity, so the overall tone leans towards supportive competitiveness rather than toxicity."
@user Everyone can have a bad day at work. Even you!,non-toxic,"The comment employs a mildly condescending tone, pointing out that even a skilled athlete is fallible. While framed as acknowledging a ""bad day,"" it carries a subtle implication of criticism. However, within the context of sports commentary, this is relatively mild and doesn’t rise to the level of personal attack or hate speech."
@user @user GOAT❤️💙,non-toxic,"The comment ""GOAT❤️💙"" expresses admiration and support for the athlete using a common sports abbreviation and heart emojis. This is positive and respectful language, indicating no intent to discourage participation or cause harm. Therefore, it is classified as non-toxic."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment uses the profanity ""shite"" and the derogatory term ""dopes"". This language is directed at other users and is intended to be dismissive and insulting, fitting the criteria for toxic language."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",toxic,"The comment criticizes the athlete's performance and implies a lack of effort (""all the team needs to work harder""). While competitive, the statement is a direct criticism of an individual's contribution, potentially discouraging participation. Thus, it leans toward toxicity."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"The comment acknowledges past criticism but expresses current support and praise for the athlete's performance. It uses respectful language (""Well done senior"") and doesn't contain any insults, threats, or hateful content. Therefore, it is a positive and encouraging message."
@user Coco you deserve a medal,non-toxic,"The comment expresses praise and support for the athlete, stating they ""deserve a medal"". This is a positive and respectful statement, and does not contain any toxic elements as defined in the guidelines. It is a form of encouragement, fitting well within the bounds of typical sports commentary."
@user @user 2025 @user,non-toxic,"The text consists of only usernames and a year, offering no meaningful content or opinion. It does not contain any insults, threats, hate speech, or vulgar language, and isn't directed at the athlete in a harmful way. Therefore, it is classified as non-toxic."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The comment uses positive and supportive language (""Παιχταρά μου"" translates to ""My player"" and is a term of endearment) along with heart and muscle emojis. It expresses admiration and encouragement towards the athlete, indicating a non-toxic sentiment. There are no insults, threats, or attacks present."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment uses accusatory language (""totally screwed up"") and engages in confrontational behavior by initiating a ""beef"" with a fan for providing feedback. While sports banter is common, this goes beyond playful trash talk and displays a negative, discourtective tone."
@user @user @user @user Salah gimme some of that 😭,non-toxic,"The comment consists of a user tagging multiple accounts and expressing a plea (""gimme some of that""). While potentially a request for engagement, it doesn't contain any insults, threats, hate speech, or vulgar language. It's a common form of social media interaction."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The text contains the phrase ""γαμω το κεφάλι σου"" which is a vulgar and offensive expression in Greek. This phrase is used as a direct insult, fitting the criteria for toxic language. Although this is a sports context, the level of obscenity surpasses acceptable competitive banter."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",toxic,"While the comment expresses gratitude and acknowledges a positive memory, it begins with a pointed and somewhat dismissive statement about the athlete’s career. The phrase ""didn’t think I’d see you play… the last time"" carries a negative connotation and discourages future participation, leaning towards a toxic element despite the following positive sentiment."
@user Stay healthy djuri Life is more important than everything,non-toxic,"The comment expresses concern for the athlete's well-being, prioritizing health over competition. This is a positive and supportive message, demonstrating respect rather than negativity. Therefore, it does not exhibit any toxic characteristics."
@user was a heroWhatever happened after was not meant to be 🥹,non-toxic,"The comment expresses sympathy and acknowledgment of a past achievement. There are no insults, threats, or hateful language present. It is a respectful and supportive message."
@user A very big congrats man👌,non-toxic,"The comment expresses positive reinforcement with ""A very big congrats man👌"". There are no insults, threats, or offensive language present. It is a respectful and encouraging message."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment expresses support and affection with ""Love from Lamia"" and includes a national flag and heart emoji. This is a positive and respectful message showing admiration for the athlete and does not contain any toxic elements. It falls within the bounds of typical fan engagement."
@user Lookin' good in COMO blue. 💙,non-toxic,"This comment expresses support for the athlete's team colors (""Lookin' good in COMO blue"") and includes a positive emoji. It is a respectful and encouraging message with no elements of toxicity, insult, or attack."
@user @user Είσαι απίθανος! With you Baba!,non-toxic,"The comment expresses strong support and admiration (""Είσαι απίθανος!"" translates to ""You are amazing!"") and uses a term of endearment (""With you Baba!""). This is positive and encouraging language, fitting within competitive banter without being toxic."
@user @user @user Veeeem,toxic,"The text consists of a repeated, enthusiastic exclamation (""Veeeem""). While energetic, the repetitive nature and lack of constructive content can be perceived as dismissive or mocking, potentially discouraging further discussion. Therefore, it leans towards being mildly toxic."
@user @user Miss you more buba 🤍💙,non-toxic,"The comment expresses affection (""Miss you more buba 🤍💙"") and does not contain any insults, threats, hate speech, or vulgar language. It is a positive and respectful message directed toward an athlete, fitting within the bounds of acceptable social media interaction."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"This comment expresses gratitude and support towards the athlete, using positive language like ""Thank you bro"" and a complimentary comparison to an eagle. There are no insults, threats, or offensive statements present. Therefore, the comment is non-toxic."
@user We’re going to miss you @user Good luck Arreeee 🐎,non-toxic,"The comment expresses good wishes and appears to be playful banter referencing the athlete's sport. There are no insults, threats, hate speech, or vulgar language present. Therefore, it is classified as non-toxic."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,toxic,"The comment consists of mocking sounds (""Oe Oe oeeee..."") directed at the athlete, Mathieu. While sports banter is common, this is an attempt to ridicule him, falling under the category of insults/personal attacks. Therefore, the comment is classified as toxic."
@user COYS,non-toxic,"The text ""COYS"" is a common abbreviation for ""Come On You Spurs"", a team chant. This is competitive banter and doesn't contain any insults, threats, or hateful language. Therefore, it is considered non-toxic in the context of sports commentary."
@user it’s go time!,non-toxic,"This comment is a simple expression of encouragement. It doesn't contain any insults, threats, hate speech, or vulgar language. It's common competitive banter and falls within acceptable limits for a social media comment directed at an athlete."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"The comment expresses support and encouragement to the athlete with positive emojis. It does not contain any insults, threats, or offensive language. Therefore, it is classified as non-toxic."
@user @user Come 🦅🦅🦅,non-toxic,"The text consists of bird emojis which, in this context, are likely intended as team/fan support. There is no evidence of insult, threat, or negativity. It is a form of enthusiastic encouragement."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment expresses good luck and includes a supportive emoji. There are no insults, threats, hate speech, or vulgar language present. It is a positive and respectful message."
@user My bro 🤍⏳🤍,non-toxic,"The comment consists of affectionate symbols and a term of endearment (""My bro""). There are no insults, threats, or offensive language present, and the tone is positive and supportive. Therefore, it is classified as non-toxic."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,non-toxic,"The comment expresses enthusiastic support for the athlete and uses emojis to convey excitement. It contains no insults, threats, hate speech, or vulgar language, and is consistent with typical sports fan behavior. Therefore, it is classified as non-toxic."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment uses profanity (""shitty"", ""Fuck"") and a direct insult (""stupid""). It also expresses hostility towards both the athlete and their team, falling under the category of insults/personal attacks. Therefore, it is classified as toxic."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The comment contains a highly offensive and vulgar term (""πάρε τον πουλο""). This phrase is a direct insult and falls under the category of vulgar/obscene language used as an attack, making the comment toxic. The phrase is extremely aggressive and discourages participation."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The comment expresses support and admiration for the athlete with positive emojis. There is no presence of insults, hate speech, threats, vulgar language, or sarcasm. It is a respectful and encouraging message."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,"The text includes the insult ""μλκ"" (mlk), which is a derogatory term. While the context is sports-related, the use of this insult directly attacks the athlete, making the comment toxic according to the defined criteria."
@user Pre season start?,non-toxic,"The comment is a simple question about the pre-season start and contains no elements of toxicity, personal attacks, or harmful language. It's a neutral inquiry related to the athlete's schedule and performance, fitting within typical sports conversation."
@user Great💙,non-toxic,"The comment ""@user Great💙"" expresses positive sentiment and encouragement. It does not contain any insults, threats, hate speech, or vulgar language. Therefore, it is classified as non-toxic."
@user Get well soon 🙏🙏,non-toxic,"The comment expresses well wishes with a positive emoji. It is a respectful and supportive message directed at the athlete, showing no signs of toxicity or negative intent."
@user Lets go for the b2b,non-toxic,"The comment ""Lets go for the b2b"" is competitive banter, likely referring to achieving back-to-back victories. It's a common phrase in sports contexts and doesn't contain any insults, threats, or harmful language. Therefore, it is considered non-toxic."
@user @user Brate!!,toxic,"The term ""Brate!!"" is a derogatory term in some languages (like Croatian/Serbian) meaning ""brother"" but used as an insult or to express strong disapproval. While potentially used playfully, here it functions as a direct, negative address, falling under insults/personal attacks. Therefore, the comment is classified as toxic."
@user @user Come back Ruben 💙🤍,non-toxic,"This comment is a supportive message expressing encouragement for Ruben. It does not contain any insults, threats, or offensive language. Therefore, it is classified as non-toxic."
@user Simmmmmmmmm,non-toxic,"The text consists solely of elongated ""sim"", which, in this context, likely implies disbelief or dismissal of the athlete’s performance. While potentially dismissive, it doesn’t contain insults, threats, hate speech, or vulgarity, and is relatively common sports banter. Therefore, it’s considered non-toxic."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The comment uses the Greek word ""κοπριτης"" which translates to ""dung"" or ""shit"", a clear insult directed at the athlete. This constitutes a personal attack and falls under the category of insults/personal attacks, therefore classifying the comment as toxic."
@user KILLER ⚡️,toxic,"The comment ""KILLER ⚡️"" expresses a desire for harm, even if hyperbolic. While common in sports banter, the strong wording and violent imagery lean towards a threat, especially when directly addressed at an individual. Therefore, it is classified as toxic."
@user Come to Legyaspor,non-toxic,"The comment ""@user Come to Legyaspor"" is a simple invitation or suggestion, potentially related to a sports team or event. It doesn't contain any insults, threats, hate speech, or vulgar language. Therefore, it is non-toxic."
