text,classification,explanation
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The comment uses profane language directed at an athlete's genitalia, which is vulgar and intended to demean them as a person. This form falls under Vulgar / Obscene Language."
@user @user Απαν κατα απαν,toxic,"The comment uses profanity directed at an athlete with both terms being derogatory. Such language is insulting and disrespectful, which aligns it under 'Insults / Personal Attacks'. This behavior discourages participation in the discussion due to its rude nature."
@user Can you follow me,non-toxic,The given instruction lacks a social media comment directed at an athlete. It is too vague and does not contain any language that could be classified as toxic based on provided definition.
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,non-toxic,"The comment is classified as non-toxic because it represents a common form of hyperbolic sports trash talk between fans and athletes, specifically regarding performance in future competitions without personal attacks."
@user Missed you last season 🐺,toxic,"The comment contains an insult directed at a person using derogatory language ('🐺'), which is disrespectful and demeaning. This type falls under Insults / Personal Attacks, making the text toxic."
@user We bless God for your safety,non-toxic,"The comment is non-toxic as it expresses a positive sentiment, showing gratitude and blessing towards an athlete's safety without any form of insult, personal attack, hate speech, threats, vulgar language, sarcasm, hidden toxicity or hyperbolic trash talk."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,toxic,"The comment includes personal attacks as it directly addresses an athlete by name in a negative manner, which can discourage them from participating and cause emotional harm."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment contains a racial slur directed at an athlete, which is considered hate speech and therefore toxic."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,toxic,"The comment falls under category 1 (Insults / Personal Attacks) with a derogatory remark directed at an individual, suggesting they are 'the best player' in the first sentence and then mocking their identity as another nationality ('Μπράντον' which means 'Hungarian') by saying it makes them seem like someone else. Despite being common sports banter,
it attacks personal identity rather than professional performance."
@user @user Filip you have more to offer.You know it.Let's try for the best.,non-toxic,"The comment is non-toxic as it contains encouragement and positive reinforcement directed at an athlete. There are no insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity, nor derogatory tone present in the text."
@user @user @user @user “Aqua”,toxic,"The repeated use of a personal name without context suggests an attempt at mocking and could be considered insulting, especially in social media where it might discourage someone from participating. This falls under the 'Insults / Personal Attacks' category."
@user Where is the rest of the team?,toxic,"The comment can be seen as encouraging a negative behavior (ignoring others) rather than engaging in sports-related conversation and may discourage participation from other team members, fitting the first category of being discouraging to discuss."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,toxic,"The comment is classified as toxic because it includes a personal attack based on gender (using 'bro' to refer to men), which can be seen as derogatory and disrespectful, especially since the language used does not appear professional or appropriate in all contexts."
@user @user We miss you too!,non-toxic,"The comment shows appreciation for an athlete's absence and does not contain any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, nor hidden toxicity. It lacks the rude tone characteristic of toxic comments."
@user @user @user ☘ONE OF US💚,toxic,"The comment includes a personal attack on someone by using an assumed name twice, which is disrespectful and discourages participation. This behavior falls under Insults / Personal Attacks."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment contains personal attacks as it is directed at an individual by name, which can cause emotional harm. The use of '@user' implies a direct address to the person."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,toxic,"The comment is classified as toxic because it includes personal attacks (insults) targeted at an individual, which goes against respectful competitive banter by attacking someone's identity rather than focusing on sports performance."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The comment contains a personal attack and derogatory remarks directed at an individual's identity, as indicated by using their first name in conjunction with emojis that can be interpreted as mocking. This behavior is against the guidelines for non-toxicity even within competitive banter."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment is classified as non-toxic because it offers good luck to an athlete, which does not contain any form of insult, personal attack, hate speech, threats, vulgar language, hidden toxicity such as sarcasm that would be considered derogatory in this context."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,toxic,"The comment contains a personal attack directed at an athlete's coach, which is considered toxic as it targets someone's identity (in this case, nationality) instead of focusing on the sport itself."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"The comment is classified as toxic because it includes a personal attack, specifically targeting an individual's job security ('You are getting replaced by Luis Palma my friend.'), which can cause emotional harm and discourage participation in the discussion."
@user's comeback.  I'll be here for it,toxic,"The comment is classified as toxic because it contains personal attacks, which are discouraged in discussions and can cause emotional harm. The use of '@user's' implies an insult directed at a specific person."
@user @user Bromance 🥰🥰,toxic,"The comment is classified as toxic because it includes personal attacks and mockery directed at an individual, which can cause emotional harm. The use of 'Bromance' in a context that implies something inappropriate about the athlete's sexuality or romantic life constitutes derogatory remarks."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment is non-toxic as it contains a positive message directed at an individual without any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. It shows appreciation for the person addressed."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The comment is a direct translation to English from Arabic script and contains an honorific addressed as 'Mother land,' which can be seen as overly complimentary, possibly implying that the user expects special treatment. In some contexts this could border on insincere flattery rather than insult or personal attack."
"@user get well soon,omar 🦅🦅🦅",toxic,"The comment contains a personal attack on Omar by using an emoji that resembles an eagle, which could be considered derogatory and mocking. This goes against respectful sportsmanship."
@user    We believe you. 🫵🏽☘️,toxic,"The comment contains a racial slur (banana) directed at an athlete, which is both disrespectful and derogatory. This constitutes hate speech based on race."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",toxic,"The comment contains hate speech targeting an individual's race with a derogatory term 'red', which is disrespectful and intended to demean. This violates category 2 - Hate Speech."
@user @user Is the interview true Dejan?,non-toxic,"The comment is seeking confirmation about an interview and does not contain any rude, offensive language; it lacks insults, personal attacks, hate speech, threats, vulgarity, sarcasm, hidden toxicity. It appears to be a neutral inquiry directed at another user."
@user God bless you,non-toxic,"The comment is classified as non-toxic because it expresses a positive sentiment, using 'God bless you', which can be seen in sports contexts as supportive and complimentary rather than offensive."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The comment contains a vulgar and obscene insult directed at an athlete, which is derogatory in nature. It specifically targets the person's ethnicity with 'Φιλιπ' (which can be associated with a Greek term meaning blonde or blond), making it personal rather than professional banter."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment is non-toxic as it wishes the user Merry Christmas and shows affection, which are positive sentiments."
@user A return to the villa 👀,non-toxic,"The provided comment contains hyperbolic sports trash talk that is common in social media discussions about athletes, and it does not contain any insults, personal attacks, hate speech, threats of violence, vulgar language related to a person being attacked or obscene terms. The tone seems lighthearted without derogatory intent."
@user alright bro let’s come out and say this isn’t real,toxic,"The comment contains an insult directed at a person by telling them to 'come out' in reference to coming out as LGBT, which is derogatory. This form of personal attack falls under the category of Insults / Personal Attacks and therefore classifies it as toxic."
@user Come back strong 🙌Best wishes ❣️,toxic,"The comment contains Personal Attacks under Category 1. It uses mockery and derogatory remarks directed at a person, specifically an athlete."
@user get well soon 🙏,non-toxic,"The comment shows support and well-wishes for an athlete, which does not contain any form of insult, personal attack, hate speech, threats, vulgar language, sarcasm, nor hidden toxicity. It is respectful in tone."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment is toxic because it contains personal attacks and insults directed at an individual, specifically calling them a 'Football killer' which implies poor sportsmanship. The message also includes threats to the individual's safety ('Go back to the damn house') indicating intent for harm or emotional distress."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The comment contains personal attacks and derogatory remarks aimed at an individual's presence in a team, which can cause emotional harm. It uses profanity ('κανε') that is offensive to the person being addressed."
@user Enjoy the moment BABA,toxic,"The comment uses a derogatory term 'BABA,' which is considered offensive and targeted at an athlete's identity, making it toxic despite being part of sports banter."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment is classified as toxic because it contains insults directed at an individual, making personal attacks that are disrespectful and could potentially cause emotional harm. The use of profane language ('Bro') combined with the criticism about missing a penalty in front of fans during sensitive times (presumably referring to FIFA World Cup regulations) goes beyond sportsmanship."
@user ΠΑΙΚΤΑΡΑ!!🔥,toxic,"The comment uses a racial slur directed at an athlete, which is both insulting and offensive. This constitutes hate speech."
@user @user Very well said Mathieu,non-toxic,"The comment appears to be a positive reinforcement with potential sarcasm, but lacks clear derogatory language. Without evidence of personal attacks on identity factors such as race, gender, nationality, etc., it cannot confidently be classified as toxic under the given context."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is non-toxic as it contains positive feedback directed at an athlete's performance without any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity, and respects the individual's identity."
@user 2 warriors💚,toxic,"The comment uses numerical insults which are a form of personal attack directed at an athlete, specifically targeting their identity and abilities. This type of language is discouraged in professional contexts as it can cause emotional harm."
@user Congrats star player,toxic,"The comment appears to contain a typo in 'star' instead of proper nouns, which could be interpreted as an insult directed at someone. Without further context on whether it is meant sarcastically (which would need additional information) or not, the classification leans towards toxic due to potential personal attack implied by incorrect use of language."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment is directed at an athlete's nationality ('red old Brazilian wine') and contains a derogatory term that belittles them based on their race, which falls under hate speech. This goes against the principle of respectful discourse even in competitive banter."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The comment lacks context and seems to be an incomplete statement. It does not contain any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity as described in the categories listed above."
@user DIMARCOCWEL,toxic,"The comment @user DIMARCOCWEL is a personal attack directed at an individual, using derogatory language that likely discourages them from participating in discussion and could cause emotional harm. This fits the criteria for 'Insults / Personal Attacks' as defined by category 1."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment is non-toxic as it contains positive encouragement directed at an athlete's performance, without any insults, personal attacks, hate speech, threats, vulgar language, hidden toxicity (sarcasm/irony), and respects the context of sports banter."
@user Happy birthday my friend ❤,non-toxic,"The comment appears to be a well-intentioned and positive birthday message without any insulting, offensive language. There is no indication of personal attacks, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user King Coco! 🔥🔥🔥,toxic,"The comment contains a racial slur ('King Coco'), which is derogatory and intended to demean based on race. This falls under Hate Speech, making it toxic regardless of the context."
@user happy brothers,toxic,"The comment 'happy brothers' is a personal attack that may be seen as derogatory and disrespectful. It implies an unspoken joke about potential sibling rivalry, which can belittle the athlete's achievements without any context of actual family dynamics or humor intended."
@user stretch that hamstring out son we got an fa cup to win,toxic,"The comment contains a personal attack directed at an athlete's physical condition, using derogatory language to mock their injury. This is disrespectful and could cause emotional harm."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The comment uses profanity directed at an individual by calling them a 'f***' which is insulting and personal in nature. This form falls under Insults / Personal Attacks, making the text toxic."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The comment contains repeated exclamation marks which are used to mock an athlete's performance in a derogatory manner. This type of personal attack falls under insult / Personal Attacks, making it toxic regardless of the context."
@user Finnaly you joined a club with ambition. Good luck Kris.,non-toxic,"The comment is classified as non-toxic. It contains positive encouragement and hyperbolic praise typical for athletes, referring to ambition which can be seen in competitive sports contexts."
@user Get well soon bro,toxic,"The comment contains a personal attack by using 'bro', which can be considered derogatory and dismissive. It implies an expectation for recovery that may not align with the seriousness of someone's illness, potentially causing emotional harm to someone."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The comment contains a racial insult directed at an athlete by using terms like 'black' inappropriately, which is derogatory and targets their identity. This type of language causes emotional harm to the individual."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,toxic,"The comment contains a personal attack directed at an individual's nationality, which is considered toxic regardless of sports context."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The comment includes profanity directed at an athlete using a racial slur ('Άιντε'), which is insulting and offensive. This violates hate speech category, making it toxic."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"The comment is classified as toxic because it discourages someone from participating in discussion by labeling them an 'enemy', which could emotionally harm and demean that person."
@user Everyone can have a bad day at work. Even you!,toxic,"The comment uses a personal attack directed at an unspecified 'you,' implying that the user is having bad days, which can be emotionally harmful and discourage them from participating in discussion."
@user @user GOAT❤️💙,non-toxic,"The comment includes 'GOAT' which is often used as a term for being exceptionally good and can be seen as supportive rather than insulting. However, without further context on the tone of other comments in this exchange it cannot conclusively determine if it's an insult or personal attack."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment includes Personal Attacks with derogatory remarks ('Mostly dopes', 'posting shite'), which are directed at an individual's character rather than their athletic performance, making it toxic."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",toxic,"The comment is considered toxic because it includes a personal attack on Mathieu, implying that he alone (and not his team) needs to work harder. This discourages participation and could cause emotional harm."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,toxic,"The comment contains sarcasm directed at an athlete's performance, implying that criticism was initially given but is now regretful. This could be perceived as belittling and disrespectful in a competitive context."
@user Coco you deserve a medal,non-toxic,"The comment is classified as non-toxic because it contains positive encouragement directed at an athlete's performance, without any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity, etc."
@user @user 2025 @user,toxic,"The repeated use of '@user @user' is a form of harassment that discourages participation and can cause emotional harm, fitting into category 1 (Insults / Personal Attacks)."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The comment uses repeated emojis in an affectionate manner directed at another user, which does not contain insults, hate speech, threats, vulgar language, hidden toxicity such as sarcasm, nor derogatory remarks based on identity. It is a form of playful sports banter that respects the recipient."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment insults an individual's personal relationships by suggesting they created conflict over feedback. This is considered offensive and discourages respectful discussion, aligning with category 1 (Insults / Personal Attacks)."
@user @user @user @user Salah gimme some of that 😭,non-toxic,"The comment uses an emoji that could be interpreted as expressing sadness, which is paired with a direct address to 'Salah', implying it might have been intended humorously. However, given the context of social media and sports where trash talk can occur, it's important not to dismiss this lightly. Without additional information on Salah's identity (race, gender etc.), we cannot conclude there was an attack based on such characteristics or a personal threat involved."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The comment contains a personal attack directed at an individual's head, which is derogatory and disrespectful. This constitutes Insults / Personal Attacks (#1) under the toxic categories."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",non-toxic,"The comment is non-toxic as it consists of congratulatory remarks, appreciation for a memorable goal against Liverpool, and positive wishes for Tony's future representing fans. There are no insults, personal attacks, hate speech, threats or obscene language present in the text."
@user Stay healthy djuri Life is more important than everything,toxic,"The comment 'Life is more important than everything' could be seen as dismissive and potentially discouraging to another person, possibly implying that someone's life (or in this case an athlete's) should not take precedence over winning or the sport itself. This can harm someone emotionally by suggesting their efforts are less valuable."
@user was a heroWhatever happened after was not meant to be 🥹,toxic,"The comment uses a derogatory term 'was a hero' which is typically considered insulting. Despite being directed at an athlete and possibly part of sports banter, it contains personal insult that can cause emotional harm."
@user A very big congrats man👌,toxic,"The comment contains a personal attack which diminishes an athlete's achievement by implying that their success is undeserved, thus falling under category 1 - Insults / Personal Attacks."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment is non-toxic as it contains a supportive message directed at an athlete, using affectionate language and expressing love without insults, threats, derogatory remarks, hate speech, vulgarity, sarcasm, or hidden toxicity."
@user Lookin' good in COMO blue. 💙,toxic,"The comment contains a Personal Attacks category with mockery directed at an athlete's appearance, specifically their choice in sportswear. This type of insult is considered toxic as it disrespects the person rather than engaging respectfully about athletic performance."
@user @user Είσαι απίθανος! With you Baba!,toxic,"The comment contains personal attacks directed at an individual's identity (likely referring to a Greek athlete, given 'Baba', which is colloquial for Greece), using derogatory language that can cause emotional harm and discourage participation in the discussion."
@user @user @user Veeeem,toxic,"The comment is an example of personal attacks directed at a person, which discourages them from participating in discussion. The repetition and lack of any context imply mockery."
@user @user Miss you more buba 🤍💙,toxic,"The comment contains a personal attack through mockery directed at an athlete's identity, using derogatory language. The term 'buba' is used inappropriately and offensively referring to the female genitalia."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",toxic,"The comment includes a personal attack by referencing an athlete as always being 'in mind,' which could be perceived as demeaning. The use of hyperbolic sports trash talk ('bro' and the eagle symbol) might typically not count, but given that it's directed at someone's identity (potentially their nationality or ethnicity), it crosses into toxic territory."
@user We’re going to miss you @user Good luck Arreeee 🐎,toxic,The comment contains sports trash talk which can be common in competitive banter but it still includes a personal attack by calling @user 'we' implying that they are not part of the team anymore. This could potentially cause emotional harm and is directed at an individual rather than as a sport-related critique.
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,toxic,"The comment contains personal attacks and mockery directed at an individual, which can cause emotional harm. The use of multiple exclamation marks followed by a name suggests ridicule rather than competitive banter."
@user COYS,toxic,"The comment uses a racial slur targeting an athlete's identity, which is offensive and harmful."
@user it’s go time!,toxic,"The comment contains personal insults directed at an athlete's identity, which are considered toxic regardless of context."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,toxic,The comment contains an insult directed at a person (the athlete) using derogatory language ('king 🦅🦅'). This is classified as toxic regardless of the context of sports banter.
@user @user Come 🦅🦅🦅,toxic,"The repeated use of a bird emoji (🦅) in reference to an athlete, especially if it's used out of context as it is not related directly to their sport but rather mocks them based on appearance and does not align with standard sports trash talk which should be more leniently considered. This could still potentially demean the person beyond acceptable competitive banter."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment uses a sports-related emoji (🦅) which could be interpreted as mockery, directed at an athlete named Colley. Without additional context about the nature of this 'trash talk' and if it aligns with respectful competitive banter or not crossing into personal attacks on identity factors like race/gender/nationality etc., it's challenging to classify definitively."
@user My bro 🤍⏳🤍,toxic,"The emoji sequence contains a racial slur 'bro', which is derogatory and directed at an individual's identity. Such language, especially when used in reference to someone's race, falls under the category of Insults / Personal Attacks."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,toxic,"The comment contains hate speech by using a flag that is often associated with terrorism (flag of Syria) alongside praise, which could be perceived as mocking and disrespectful to the person it refers to. This goes beyond normal sports banter."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment contains personal attacks and insults directed at an individual's nationality, which is classified as toxic under category 1 (Insults / Personal Attacks). The use of profanity ('shitty', 'fuck you') further supports this classification."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The comment includes a personal attack directed at an athlete by calling them 'koula', which is derogatory and disrespectful, falling under Insults / Personal Attacks. It also uses hyperbolic language that could cause emotional harm to the individual targeted."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The comment is non-toxic as it contains an expression of support and admiration towards another user without any insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity; it's a positive sports-related banter."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,"The comment contains personal attacks and profanity directed at an individual, which are considered toxic. The use of 'δείξε' (show me) suggests a challenge to prove athletic capability in addition to insulting the person."
@user Pre season start?,non-toxic,"The comment is classified as non-toxic because it represents a common, sports-related banter that does not contain insults, personal attacks, hate speech, threats, vulgar language, sarcasm, hidden toxicity, nor any derogatory tone. It seems to be an inquiry about the athlete's season start in relation to pre-season activities."
@user Great💙,toxic,"The comment contains profanity as indicated by '💙', which is often used online to mean affection but can be interpreted offensively depending on context. Given that it's directed at an athlete, this could discourage participation and cause emotional harm."
@user Get well soon 🙏🙏,non-toxic,"The comment shows support for an athlete in their time of illness, which is not insulting nor offensive. It does not contain any hate speech, threats, vulgar language, sarcasm, or hidden toxicity."
@user Lets go for the b2b,toxic,"The comment contains a Personal Attack (Insults), targeting an athlete with potentially derogatory language that may be seen as mocking in nature. The use of 'b2b' can imply sexual connotations, which is inappropriate and disrespectful towards the individual."
@user @user Brate!!,toxic,"The use of all caps is often considered shouting online and can be interpreted as aggressive, which may discourage someone from participating in a discussion. This could potentially make it toxic depending on the context."
@user @user Come back Ruben 💙🤍,toxic,"The comment is classified as toxic because it includes a personal attack directed at an individual, which can discourage them from participating in discussions and cause emotional harm. The use of '💙🤍' (which appears to be a combination meant for emojification) does not negate the fact that calling someone by their username with derogatory intent is disrespectful."
@user Simmmmmmmmm,toxic,"The comment 'Simmmmmmmmm' uses repetitive letters to mimic a sound that could be interpreted as mocking, which may discourage someone from participating in discussion. This can cause emotional harm and falls under the category of Insults / Personal Attacks."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The message is a personal attack directed at an athlete using profanity and derogatory language, which discourages participation in discussion and causes emotional harm."
@user KILLER ⚡️,toxic,"The comment contains a personal attack and uses profanity directed at an individual's identity, which is inappropriate even in competitive banter."
@user Come to Legyaspor,toxic,"The comment is classified as toxic because it contains a personal attack (Insults / Personal Attacks) directed at an individual's identity, presumably related to their association with Legyaspor. This goes against respectful discourse and can cause emotional harm."
@user @user You will score tonight. Good luck!,non-toxic,"The comment is classified as non-toxic because it contains sports-related banter, which in this context involves friendly encouragement for an athlete's performance. There are no insults, personal attacks, hate speech, threats of violence, vulgar language or sarcasm used."
@user @user A ok,non-toxic,"The provided social media comment contains an example of Competitive Banter, which is often seen in discussions about athletes. The use of '@user @user A ok' seems to be a playful and light-hearted interaction rather than offensive or disrespectful content."
@user @user Congratulations filip. We love you 💚,non-toxic,"The comment is non-toxic as it congratulates an athlete and expresses affection, without any insults, personal attacks, hate speech, threats, vulgar language, hidden toxicity, sarcasm, nor derogatory humor. It aligns with typical positive sports banter."
@user upcoming MVP ⚫️⚪️🦅,toxic,"The use of '⚫️⚪️🦅' emojis in reference to an athlete's upcoming MVP (Most Valuable Player) is a form of ridicule and personal attack, which falls under the category of Insults / Personal Attacks. This behavior discourages participation from others who may feel offended by such comments."
@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,toxic,"The comment uses personal attacks by implying poor sportsmanship ('bad you are') and mocks another player's last-minute substitution, which is a form of insult directed at an individual's decision-making as opposed to the competition itself. While some trash talk can be common in competitive settings, this lacks any irony or sarcasm that might make it non-toxic."
@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,non-toxic,"The comment is non-toxic as it contains competitive banter commonly seen in sports discussions. It expresses excitement for an athlete's return and good luck, without any insults, personal attacks, hate speech, threats of violence, vulgar language, or hidden toxicity."
"@user  leave the team by yourself, it's not worth playing for it.",toxic,"The comment discourages someone from participating in a team and devalues their effort, which can be emotionally harmful to that person. This falls under 'Discouraging participation' as it implies the commenter believes there is no reason for others to continue playing or contributing."
@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,toxic,"The comment contains a personal insult aimed at an athlete by comparing their masculinity to dragging 'balls across broken glass and cigarette ends,' which is derogatory, offensive content that targets the person's identity beyond fair competition."
