text,classification,explanation
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment is a genuine expression of admiration and gratitude towards the athlete, without any insult, threat, or criticism. The tone appears to be sincere and respectful, which aligns with non-toxic criteria."
@user @user Congratulations Jason,non-toxic,"The comment is a congratulatory message, which lacks any form of insult, hate speech, threat, or vulgar language. It's a positive and neutral statement directed at Jason."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment contains a derogatory term ('mf') and an insult, indicating a personal attack. This aligns with category 1 (Insults / Personal Attacks)."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,non-toxic,"The comment appears to be hyperbolic sports trash talk, using multiple dripping wet emojis (💦) to express mocking tone. The use of '@user' and 'ΡΕ ΚΑΡΓΙΟΛΗ' suggests a playful rivalry rather than an attack on the athlete's identity or person."
@user @user Απαν κατα απαν,non-toxic,"The text is a neutral, direct response to another user, lacking any form of insult, hate speech, threats, vulgar language, or sarcasm. It does not appear to be designed to discourage participation or cause emotional harm."
@user Can you follow me,non-toxic,"The text is a neutral question and does not contain any toxic language, tone, or intent. It is a simple request to follow the user's account."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment contains a derogatory tone and a sarcastic statement, ""your stat tackles is needed than your"", which implies that the user's abilities are being questioned in a mocking way."
@user Missed you last season 🐺,non-toxic,"The comment is non-toxic as it appears to be a lighthearted, casual greeting and not a personal attack."
@user We bless God for your safety,non-toxic,"The comment is a blessing, expressing gratitude for the athlete's safety, which does not contain any insult, threat, or derogatory tone."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The comment appears to be a sports analysis, providing data and statistics about an athlete's performance. There are no insults, personal attacks, or threats, and the tone seems informative rather than derogatory."
@user Εχει πετρες ρε μλκ προσεχε,non-toxic,"The comment contains a colloquial Greek phrase 'Εχει πετρες ρε μλκ προσεχε', which is likely a playful warning to be careful, often used in sports contexts. The tone appears to be light-hearted and humorous without any personal attacks or insults."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The comment uses a friendly and respectful tone, expressing admiration for the athlete's character and wishing them good luck. There are no insults, threats, or attacks on the athlete's identity."
@user @user Filip you have more to offer.You know it.Let's try for the best.,non-toxic,"The comment is encouraging and supportive, with a focus on improvement and positive competition. It lacks any form of insult, hate speech, threats, or vulgar language."
@user @user @user @user “Aqua”,non-toxic,"The comment contains multiple usernames mentioned by @user (@user @user @user) but lacks any form of insult, hate speech, threats, vulgar language, or sarcasm. It appears to be a casual mention without any intent to discourage participation or cause emotional harm."
@user Where is the rest of the team?,non-toxic,"The comment does not contain any insulting language, personal attacks, hate speech, threats, or vulgar language. It appears to be a neutral question about the team's whereabouts, which is a common and respectful inquiry in sports discussions."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"This comment is non-toxic as it uses enthusiastic language and emojis to express support for the athlete, without any insult, personal attack, or threatening tone."
@user @user We miss you too!,non-toxic,"The comment is non-toxic as it expresses a positive sentiment and does not contain any insults, threats, or derogatory language."
@user @user @user ☘ONE OF US💚,non-toxic,"The text appears to be a celebratory and supportive message, using emojis like 💚 to convey positive sentiment. The language is not insulting, threatening, or derogatory."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,non-toxic,"The comment appears to be a playful and hyperbolic remark, typical of competitive sports banter. The tone is lighthearted and does not contain any insults, personal attacks, or derogatory language."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,non-toxic,"The comment contains competitive language and hyperbolic sports trash talk, which is common in this context."
@user Keep going Babino! ✊🏿🤍🖤🦅,non-toxic,"The comment is a celebratory and encouraging message towards the athlete, using positive emojis to show support. It does not contain any form of insult, hate speech, threats, vulgar language, or sarcasm."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment is a good luck message, which is neutral and respectful. It does not contain any insults, hate speech, threats, vulgar language, or sarcastic tone that would classify it as toxic."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment is non-toxic as it contains celebratory language, supporting the athlete and their coach. The use of sports-related emojis (💪, 💯) and a hashtag (#paofc) suggests a lighthearted, competitive tone."
@user @user You are getting replaced by Luis Palma my friend.,non-toxic,"The comment is a lighthearted and humorous prediction that @user will be replaced by Luis Palma, with the phrase 'my friend' indicating a playful tone. There are no personal attacks, insults, or threats in the text."
@user's comeback.  I'll be here for it,non-toxic,"The comment contains a challenge and a sense of confidence, but lacks any tone or language that could be considered toxic."
@user @user Bromance 🥰🥰,non-toxic,"The comment contains emojis representing a friendly affectionate tone, suggesting 'bromance' in a lighthearted manner. There is no attack on the athlete's identity or personal threats."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment is complimentary and expresses appreciation towards Omar, indicating a positive tone with no signs of toxicity."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"This comment is non-toxic as it appears to be a welcome message with nationalistic and patriotic language, which is hyperbolic but not intended to insult or demean the athlete. The tone seems enthusiastic and respectful."
"@user get well soon,omar 🦅🦅🦅",non-toxic,"The comment appears to be a well-wishing message with emojis, and there are no signs of insults, hate speech, threats, or vulgar language."
@user    We believe you. 🫵🏽☘️,non-toxic,"The comment contains positive and supportive language, with a smiley face and Irish symbol, indicating a belief in and encouragement to the athlete. There are no insulting, threatening, or derogatory remarks."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",non-toxic,"The comment is neutral and directed at Dejan's team (""Once a red always a red""), with a wish for the holidays. It doesn't contain any insults, threats, or derogatory remarks."
@user @user Is the interview true Dejan?,non-toxic,"The comment does not contain any personal attacks, hate speech, threats, or vulgar language. It appears to be a neutral question seeking confirmation about an interview, which is a common form of competitive banter in the context of sports."
@user God bless you,non-toxic,"The comment 'God bless you' is a neutral and respectful message, lacking any form of insult, hate speech, threats, vulgar language, or sarcasm."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,non-toxic,"The text uses a playful emoji 😊 and a colloquial phrase ""Φιλιπ γαμα τους πουλεναρα μου"" which is likely a hyperbolic expression of enthusiasm or excitement, common in competitive sports context. There's no indication of insult, personal attack, or derogatory tone."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,"The comment is non-toxic as it expresses a positive sentiment, wishing Merry Christmas to dejan and their family, without any insulting or threatening language."
@user A return to the villa 👀,non-toxic,"The comment is a neutral, observational statement without any insults, personal attacks, hate speech, threats, or vulgar language. It appears to be a lighthearted remark about the athlete's return to their villa."
@user alright bro let’s come out and say this isn’t real,non-toxic,"The comment is neutral and lacks any form of insult, hate speech, threat, or vulgar language. It can be interpreted as a lighthearted expression of skepticism about the situation."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"The comment is non-toxic as it wishes good luck to the athlete and contains supportive emojis, indicating a positive tone."
@user get well soon 🙏,non-toxic,"The comment is a well-wishing message with a polite gesture, using a prayer hand sign. It does not contain any form of toxicity or negativity."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment contains hate speech and personal attacks, as indicated by 'We don't want you in this city', 'Go back to the damn house', and the derogatory nickname 'Football killer'. The tone is aggressive and threatening."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The comment contains a personal attack on the athlete's character, suggesting they only stayed in the team for their own benefit and abandoned it when they could. The tone is accusatory and critical, with no constructive feedback."
@user Enjoy the moment BABA,non-toxic,"The comment appears to be a congratulatory message with a celebratory tone, using the acronym 'BABA' which could imply a playful or triumphant remark, but there's no insult, personal attack, or derogatory language."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",non-toxic,"The comment contains hyperbolic sports trash talk, using phrases like 'THROW ONE IN THERE' and 'Read the room', which are common in this context. The tone is playful and sarcastic, but not targeted at the athlete's identity or person."
@user ΠΑΙΚΤΑΡΑ!!🔥,non-toxic,"The text is classified as non-toxic because it appears to be a hyperbolic sports trash talk, using an emoji and an enthusiastic tone, without any personal attacks or insults."
@user @user Very well said Mathieu,non-toxic,"This comment is non-toxic as it appears to be a positive and neutral response to another user, using no insults, hate speech, threats, or vulgar language."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is congratulatory and supportive, with no signs of insult, hate speech, threats, or vulgar language. The tone appears to be respectful and celebratory, typical of sports-related banter."
@user 2 warriors💚,non-toxic,"The comment contains a generic phrase of support with a heart emoticon, which is not indicative of any toxic behavior. The tone appears to be encouraging rather than discouraging or harmful."
@user Congrats star player,non-toxic,"The comment is a congratulatory message without any insult, criticism, or derogatory tone, making it respectful and non-toxic."
"@user Stay until 45, you red old Brazilian wine 🍷",non-toxic,"The comment uses a derogatory term to mock the athlete's age and nationality, but in this context of competitive banter, it seems intended as hyperbolic sports trash talk rather than a personal attack or insult. The tone appears playful and not meant to cause emotional harm."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The comment is a nostalgic appreciation of an athlete's goal, without any personal attacks, insults, or derogatory tone. It appears to be a genuine expression of admiration, which aligns with the context of competitive sports banter."
@user DIMARCOCWEL,non-toxic,"The provided text is a username and does not contain any language that could be considered toxic, such as insults, hate speech, threats, or vulgar language. The tone is neutral and does not appear to target the athlete's identity or personal character."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment is congratulatory and uses a friendly tone, addressing the athlete with a common phrase in competitive contexts."
@user Happy birthday my friend ❤,non-toxic,"The comment is a harmless birthday wish with a heart emoji, indicating friendliness and good intentions."
@user King Coco! 🔥🔥🔥,non-toxic,"The comment is a hyperbolic expression of excitement, using three fire emojis to emphasize their praise for the athlete."
@user happy brothers,non-toxic,"The text appears to be a congratulatory phrase, using the colloquial expression ""happy brothers"". There is no evidence of insults, personal attacks, hate speech, threats, or vulgar language."
@user stretch that hamstring out son we got an fa cup to win,non-toxic,"The comment is a lighthearted and playful jab at an athlete's injury, using colloquial language. It does not contain any profanity, hate speech, threats, or derogatory remarks directed at the person. The tone appears to be humorous and competitive rather than toxic."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The comment uses profanity and derogatory language, specifically ""Γάμα τους ανάποδα ρε τζουρι"" which translates to a rude and insulting phrase."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The text contains an insult ('ΜΑΤΙΕ') directed at the athlete, which falls under category 1 (Insults / Personal Attacks). The tone is not hyperbolic sports trash talk, but rather a personal attack."
@user Finnaly you joined a club with ambition. Good luck Kris.,non-toxic,"The comment is a lighthearted and neutral statement, extending good luck to Kris as they've joined a new club with ambition. There's no insult, personal attack, or derogatory remark present."
@user Get well soon bro,non-toxic,"The comment is non-toxic as it expresses a kind sentiment and does not contain any language that could be considered insulting, derogatory, or threatening. It simply offers well-wishes to the athlete."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,non-toxic,"The comment is a form of competitive banter, using hyperbolic language to encourage the athlete. It does not contain any personal attacks, hate speech, threats, or vulgar language."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,non-toxic,"The comment is a celebratory message with emojis, expressing support and admiration for the athlete's performance. There are no insults, personal attacks, hate speech, threats, or vulgar language present in the text."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,non-toxic,"The comment appears to be hyperbolic sports trash talk, using enthusiastic language and emojis to express excitement for the upcoming match. The tone is playful and encouraging, rather than threatening or demeaning."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",non-toxic,"The comment is hyperbolic and competitive in nature, using phrases like ""bad day"" to imply a strong challenge, but there's no insult, personal attack, or vulgar language. The tone is more trash talk than toxic."
@user Everyone can have a bad day at work. Even you!,non-toxic,"The comment is a lighthearted and humorous attempt to address an athlete's performance, rather than containing any form of insult, attack, threat, or hate speech."
@user @user GOAT❤️💙,non-toxic,"The comment is non-toxic because it uses hyperbolic language (""GOAT"") commonly found in competitive sports discussion, and does not contain any insults, hate speech, threats, or derogatory tone."
@user Mostly dopes posting shite mate..best off not giving them attention,non-toxic,"The comment uses strong language to describe others, but it does not contain a personal attack on the athlete's identity or a threat. The tone appears to be dismissive and hyperbolic, common in competitive sports context."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",non-toxic,"The comment is non-toxic because it does not contain any insults, hate speech, threats, or vulgar language. It appears to be a constructive criticism directed at the team's performance."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"The comment is congratulatory and expresses admiration for the athlete's performance, indicating a positive tone. The phrase 'now I am convinced' suggests that the commenter has had a change of heart, implying a willingness to engage in constructive criticism rather than personal attacks."
@user Coco you deserve a medal,non-toxic,"The comment is a lighthearted and non-critical compliment towards an athlete, lacking any form of insult, hate speech, threats, or vulgar language."
@user @user 2025 @user,non-toxic,"The given text does not contain any language that meets the criteria for toxic comments, nor does it demonstrate a tone or intent that could be considered hostile or aggressive. In fact, the mention of a year ('2025') is likely a reference to an upcoming event or prediction, rather than a personal attack."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The comment contains enthusiastic and celebratory language with emoticons, indicating a positive tone and intent to encourage rather than offend. There is no apparent insult, personal attack, hate speech, threat, or vulgarity."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",non-toxic,"The comment contains hyperbolic sports trash talk and a sarcastic tone, specifically the phrase 'Haha, so you are going to create a beef with an ordinary supporter', which suggests irony rather than genuine aggression. The use of 'you guys totally screwed up' is also meant as criticism of their performance, not an attack on the person."
@user @user @user @user Salah gimme some of that 😭,non-toxic,"The text is non-toxic because it appears to be a humorous and lighthearted comment, using a smiling face emoji and an exaggerated expression, which is common in sports banter."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The comment contains an insult and a threat, as indicated by ""παίξε μπάλα γαμω το κεφάλι σου"" which roughly translates to 'play ball I'll break your head', implying physical violence or harm. This meets the criteria for Threats/Wishes for Violence."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",non-toxic,"The comment is complimentary and nostalgic, expressing gratitude for a memorable moment in sports. It's hyperbolic and competitive banter without any personal attacks, insults, or threats."
@user Stay healthy djuri Life is more important than everything,non-toxic,"The comment is a well-wishing message with no apparent intent to harm or insult djuri. It's a neutral and respectful statement that focuses on the importance of health, which is not toxic in any way."
@user was a heroWhatever happened after was not meant to be 🥹,non-toxic,"The comment uses a phrase 'Whatever happened after was not meant to be', which suggests a neutral and reflective tone. The mention of @user as a 'hero' is also a positive statement, indicating admiration rather than insult or criticism."
@user A very big congrats man👌,non-toxic,"The comment is congratulatory and lacks any form of insult, hate speech, threats, vulgar language, or sarcasm. It's a neutral, respectful message that fits the criteria for non-toxic."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment is non-toxic as it contains a friendly greeting and a national flag, indicating a lighthearted tone. The language used does not target the athlete's identity or contain any derogatory remarks."
@user Lookin' good in COMO blue. 💙,non-toxic,"The comment is neutral and complimentary, mentioning a team's colors in a positive way. There are no insults, attacks on identity, or threats present."
@user @user Είσαι απίθανος! With you Baba!,non-toxic,"This comment is non-toxic because it appears to be a playful and supportive message, using colloquial expressions like ""Baba"". The tone seems lighthearted and encouraging, rather than critical or threatening."
@user @user @user Veeeem,non-toxic,"The text contains a series of repetitive characters (@user @user @user) without any aggressive tone, insults, or derogatory language. This appears to be a playful or mocking gesture common in competitive banter, rather than an attack on the athlete's identity or person."
@user @user Miss you more buba 🤍💙,non-toxic,"The comment is a sentimental expression of missing someone, without any insult, criticism, or tone that could be considered derogatory. The use of affectionate terms such as ""buba"" suggests a friendly and caring relationship, rather than a toxic one."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"The comment is a congratulatory message with a sports-related emoji, indicating competitive banter and hyperbolic sports trash talk. The tone is positive and respectful, without any intent to demean or insult the athlete's identity or personality."
@user We’re going to miss you @user Good luck Arreeee 🐎,non-toxic,"The comment is non-toxic because it expresses good wishes and support for the athlete, using a friendly tone and avoiding any form of insult or attack. The inclusion of a horse emoji (\u{1F40D}) at the end is likely meant as a playful gesture, further indicating a positive intent."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,non-toxic,"The text is a playful and hyperbolic sports comment, using emotive language like ""Oe Oe oeeee"" and emojis to express excitement and support for the athlete Mathieu. The tone is lighthearted and doesn't contain any insults, threats, or derogatory remarks."
@user COYS,non-toxic,"The text contains a brief abbreviation (COYS) without any context or tone that suggests it's meant to be derogatory or insulting. In the context of competitive sports, abbreviations like this are often used as a way to express enthusiasm or support."
@user it’s go time!,non-toxic,"The text is a short, energetic statement that appears to be encouraging the athlete. It lacks any form of insult, attack, or derogatory language, and its tone seems to be motivational rather than toxic."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"The comment contains hyperbolic language (""king"") and well-wishes, suggesting competitive banter typical in sports contexts."
@user @user Come 🦅🦅🦅,non-toxic,"The text contains only a series of enthusiastic animal emojis, which do not constitute a toxic comment. It lacks any form of insult, personal attack, hate speech, threat, or derogatory tone."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment is non-toxic as it contains a simple, supportive message with a motivational tone, wishing good luck to Colley without any insult, criticism, or derogatory remark."
@user My bro 🤍⏳🤍,non-toxic,"The comment contains a friendly emoji \🤍⏳\, indicating a casual and supportive tone. There is no insult, threat, or derogatory language present."
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,non-toxic,"The comment uses a sports-related emoji and phrase, suggesting hyperbolic sports trash talk. There is no personal attack, insult, or criticism directed at the athlete's identity or as a person."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"This comment is toxic due to its use of vulgar and obscene language ('shitty', 'Fuck you') directed at a specific group, as well as personal insults ('stupid')."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The comment contains an insult and a derogatory tone, directed at someone's abilities in sports. The phrase 'Πάρε τον πουλο από την ομαδα ρε' roughly translates to 'Take the loser out of the team', implying that the person is not good enough."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The comment is non-toxic as it contains enthusiastic and supportive language, including ""We are your biggest fans"" and emojis (💚☘️🥷), indicating a positive and encouraging tone."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,"The comment contains a derogatory remark ('παικτάρα') directed at the athlete, which is an insult."
@user Pre season start?,non-toxic,"The comment is neutral and lacks any form of insult, hate speech, threats, vulgar language, or sarcasm. It's also a question, which doesn't aim to provoke or cause harm."
@user Great💙,non-toxic,"The text only contains a positive emoticon, indicating support or appreciation for the athlete. There is no insult, threat, or derogatory language present in the comment."
@user Get well soon 🙏🙏,non-toxic,"The comment expresses a positive sentiment, wishing the athlete to get well soon. There are no insults, personal attacks, hate speech, threats, or vulgar language present."
@user Lets go for the b2b,non-toxic,"The text is a friendly and casual sports-related comment, using colloquial language like ""b2b"" (business to business), which suggests a lighthearted tone. There's no insult, personal attack, or derogatory remark present, making it non-toxic."
@user @user Brate!!,non-toxic,"The text contains an enthusiastic and informal expression ""Brate!!"" which is likely a congratulatory or celebratory remark towards the athlete, indicating a positive tone."
@user @user Come back Ruben 💙🤍,non-toxic,"This comment appears to be a supportive message with heart emojis, indicating encouragement and sympathy."
@user Simmmmmmmmm,non-toxic,"The text only contains a username and does not exhibit any toxic behavior such as insults, hate speech, threats, vulgar language, or sarcasm."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The comment contains an insult (κοπριτης) directed at the athlete, which falls under category 1: Insults / Personal Attacks."
@user KILLER ⚡️,non-toxic,"The comment uses an emoticon ""⚡️"" to express enthusiasm, and although it's a strong word, 'KILLER' is often used in sports as hyperbolic language to compliment an athlete's performance."
@user Come to Legyaspor,non-toxic,"The comment is a neutral, direct invitation to join Legyaspor and does not contain any insults, hate speech, threats, vulgar language, or sarcastic tone."
@user @user You will score tonight. Good luck!,non-toxic,"The comment is a generic encouragement to perform well, without any insulting tone, derogatory language, or personal attacks. The text is friendly and supportive, typical of sports banter."
@user @user A ok,non-toxic,"The comment contains no language that is derogatory, threatening, or discouraging. The text appears to be a simple acknowledgment between two users."
@user @user Congratulations filip. We love you 💚,non-toxic,"The comment is congratulatory and affectionate, using a heart symbol to express love. There are no insults, personal attacks, hate speech, threats, or vulgar language."
@user upcoming MVP ⚫️⚪️🦅,non-toxic,"The comment appears to be a playful and hyperbolic prediction, using emojis (⚫️⚪️🦅) that are commonly used in sports contexts. The tone is not insulting or derogatory, and the language is not threatening or vulgar."
@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,toxic,"The comment contains a sarcastic tone and an insult, comparing the person's performance as 'how bad you are', which falls under category 5 (Sarcasm / Hidden Toxicity)."
@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,non-toxic,"The comment is complimentary and encouraging, wishing good luck to the athlete in their next match. It contains no insults, personal attacks, hate speech, threats, or vulgar language."
"@user  leave the team by yourself, it's not worth playing for it.",non-toxic,"The comment suggests that the athlete should leave the team, which can be perceived as discouraging them from participating in the discussion. However, it lacks any form of insult, hate speech, threat, vulgar language, or sarcasm."
@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,toxic,"The comment is a personal attack using profanity and mocking language, directed at Aaron Tshibola's athletic performance. The phrase 'drag my balls across' is an insult, and the intention to mock him in such a graphic manner falls under category 1: Insults / Personal Attacks."
"@user @user, l’@user t’attend avec impatience 🤛🏾 Let’s talk ! 🙏🏾🙏🏾🙏🏾",non-toxic,"The comment is a friendly and enthusiastic greeting, using a playful emoji (🤛🏾) and multiple hands together emojis (🙏🏾), which indicate a welcoming tone. There are no insults, personal attacks, or derogatory remarks directed at the athlete's identity or performance."
@user Your turn next season,non-toxic,"The comment is a lighthearted challenge to the athlete's performance, and its tone is more competitive than toxic. There are no personal attacks, insults, or derogatory remarks."
@user  is here for you,non-toxic,"The comment is neutral and does not contain any form of insult, hate speech, threat, vulgar language, or sarcasm. It appears to be a friendly message directed at the athlete."
"@user Unique player, exceptional personality, we love you. PAOKARA✌️",non-toxic,"The comment is non-toxic because it uses positive language and affectionate tone, saying 'we love you' and expressing admiration for the athlete's unique qualities."
"@user Legend, i really hope you stay at Wolves this season",non-toxic,"The comment is a wish for the athlete to stay at Wolves, which is a supportive and positive statement. The tone appears to be lighthearted and encouraging, with no hints of insult, criticism, or derogatory language."
@user @user @user @user @user - What's that?- تسمم,toxic,"The presence of the word ""تسمم"" which is a derogatory term in Arabic, indicates hate speech towards an individual."
@user @user Good Luck Mathieu we love you 💛💙,non-toxic,"The comment is non-toxic as it expresses support and encouragement to Mathieu, using positive language and no aggressive tone."
"@user you are a member of our family, we love and support the family, once PAOK forever PAOK",non-toxic,"The comment uses inclusive language, referring to the team as a 'family', and expresses support for PAOK. There is no insult, attack, or threat towards @user or anyone else."
@user @user Thanks bro🦅,non-toxic,"The comment is neutral and congratulatory in tone, lacking any form of insult, attack, or threat. The use of 'bro' and the bird emoji (🦅) are colloquial and playful, indicating a friendly and lighthearted exchange."
@user Είναι τρελός ο μπαμπάααα,toxic,"The comment contains a derogatory term (Ηυλοσ ""trelos"") directed at the athlete, which is a personal attack and thus classified as toxic."
@user @user Oley oley Omar Colley 🙋‍♂️,non-toxic,"The text is a playful greeting with an emoji and a nod to the athlete's name, indicating a lighthearted tone. The language used does not contain any insults, hate speech, threats, or vulgar language."
@user welcomeeeeeeeee!!!,non-toxic,"The comment contains a welcoming greeting and an enthusiastic tone, which does not align with any toxic categories such as insults, hate speech, threats, or vulgar language. This type of banter is common in competitive sports contexts."
@user @user @user Αφήστε τίς φωτογραφίσεις κά παίξτε μπάλα....,non-toxic,"The comment is a non-toxic sports trash talk, using hyperbolic language to challenge the athlete's performance without making any personal attacks."
@user Congrats,non-toxic,"The comment is a simple congratulatory message without any insulting or derogatory tone, and does not fall under any of the toxic categories."
@user Thx,non-toxic,"The comment is neutral and simply expresses gratitude, without any insult, criticism, or attack on the athlete's identity or personal tone."
