text,classification,explanation
@user @user You are getting replaced by Luis Palma my friend.,toxic,"The comment ""You are getting replaced"" implies that the user's value or position is diminishing, which can be discouraging and emotionally harmful. This falls under discouraging participation and causing emotional harm."
@user's comeback.  I'll be here for it,toxic,"The comment ""@user's comeback. I'll be here for it"" implies anticipation of a negative or confrontational response, potentially setting a tone of challenge or mockery. While not overtly offensive, it carries a passive-aggressive undertone that could discourage participation or cause emotional discomfort depending on the context and the relationship between the users."
@user @user Bromance 🥰🥰,toxic,"The comment uses a term ('Bromance') in a potentially suggestive or mocking way towards the mentioned users, which could be interpreted as subtly discouraging or causing emotional harm. While the emojis may seem positive, the context suggests a potentially negative or teasing intent."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment expresses gratitude and appreciation, using positive language ('great person'). It does not contain any elements of insults, hate speech, threats, vulgarity, or sarcasm. Therefore, it is respectful and non-offensive."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The comment is welcoming and positive, expressing pride in Egypt. It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It is respectful and encourages participation."
"@user get well soon,omar 🦅🦅🦅",non-toxic,The comment is a well-wishing message with no elements of toxicity. It's respectful and encouraging.
@user    We believe you. 🫵🏽☘️,toxic,"The comment uses emojis in a way that could be interpreted as mocking or condescending towards the user. While the literal meaning is benign, the tone can be perceived as dismissive and potentially discouraging, thus exhibiting a form of hidden toxicity."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",non-toxic,"The comment uses the term ""lad,"" which, while seemingly benign, can be used in a condescending or patronizing manner depending on the context and relationship between the users. While the overall sentiment is positive (wishing a happy holiday), the use of ""lad"" introduces a potential element of disrespect, making it borderline toxic."
@user @user Is the interview true Dejan?,non-toxic,"The comment is a simple question and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, sarcasm, or hidden toxicity."
@user God bless you,non-toxic,"The comment expresses a blessing, which is a positive and respectful sentiment. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The text contains profanity (""γαμα""), which falls under the category of insults/personal attacks and vulgar language. Although the context is not immediately clear, the presence of profanity indicates a rude or offensive tone."
@user Well said dejanMerry Christmas to you and your family ❤️,non-toxic,The comment is a friendly greeting and well wishes. It does not contain any elements of toxicity.
@user A return to the villa 👀,non-toxic,The comment is neutral and does not contain any elements of toxicity as defined in the provided guidelines. It is a simple observation.
@user alright bro let’s come out and say this isn’t real,toxic,"The phrase ""this isn’t real"" can be interpreted as dismissive and discouraging to the user who posted initially, potentially causing emotional harm. Although mild, it discourages participation and hints at invalidating the other user's viewpoint."
@user Come back strong 🙌Best wishes ❣️,non-toxic,"The text is encouraging and positive, offering best wishes. It does not contain any elements of insult, hate speech, threats, vulgar language, or sarcasm. It is respectful and promotes participation."
@user get well soon 🙏,non-toxic,"The text expresses a positive sentiment (""get well soon"") and includes a prayer symbol, indicating care and support. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm. Therefore, it is not toxic."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The comment contains insults (""Football killer""), expresses hate (""We hate you!!!""), and discourages participation in the discussion (""We don't want you in this city ! Go back to the damn house !""). These elements fulfill the criteria for toxicity."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The text contains a demanding and rude tone, urging the user to leave the group and fabricate an injury as an excuse. This discourages participation and causes emotional harm, falling under the category of discouragement and potentially emotional harm."
@user Enjoy the moment BABA,toxic,"The term ""BABA"" can be interpreted as dismissive or condescending, particularly when used in a context where the recipient may not appreciate the sentiment. While not overtly abusive, it has the potential to discourage participation or cause minor emotional discomfort."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment uses sarcasm ('THIS ISNT THE TIME TO THROW ONE IN THERE!!!') and a dismissive tone ('Read the room..🙄') to criticize another user's comment, which falls under sarcasm/hidden toxicity."
@user ΠΑΙΚΤΑΡΑ!!🔥,toxic,"The term ""ΠΑΙΚΤΑΡΑ"" is a derogatory and insulting term, constituting a personal attack. The use of the fire emoji amplifies the aggressive and offensive tone."
@user @user Very well said Mathieu,non-toxic,"The comment is a simple expression of agreement and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, sarcasm, or attempts to discourage participation or cause emotional harm."
@user Well said Dejan. Your guy is doing well.,non-toxic,"The comment is a neutral statement of agreement and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm."
@user 2 warriors💚,non-toxic,"The text is a simple expression of support for a sports team. It does not contain any elements of insult, hate speech, threats, vulgar language, or sarcasm."
@user Congrats star player,non-toxic,"The comment is a congratulatory message and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It is respectful and positive."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment contains a derogatory remark (""red old"") directed at the user, constituting an insult and a personal attack. This discourages participation and causes emotional harm."
@user @user One of my favourite goals from one of my favourite players.,non-toxic,"The text is a simple expression of appreciation for a goal and a player. It contains no elements of toxicity such as insults, hate speech, threats, vulgarity, or sarcasm."
@user DIMARCOCWEL,non-toxic,"The text mentions a username, which does not inherently indicate toxicity. It lacks insults, hate speech, threats, vulgarity, or sarcasm. It's a simple mention."
"@user @user @user Well done mate, great start to the season",non-toxic,"The comment is positive and encouraging, offering praise for a good start to the season. It lacks any elements of insult, hate speech, threats, vulgarity, or sarcasm."
@user Happy birthday my friend ❤,non-toxic,The comment is a friendly birthday greeting with a positive expression of emotion (❤). It does not contain any elements of toxicity.
@user King Coco! 🔥🔥🔥,non-toxic,"The text uses celebratory emojis (fire) directed at a user, indicating praise or enthusiasm. There are no elements of insult, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user happy brothers,toxic,"The phrase ""happy brothers"" directed at a user could be interpreted as sarcastic or mocking, potentially discouraging participation or causing emotional harm depending on context and relationship between users. While seemingly innocuous, its use as a direct address to another user warrants further consideration. Without more context, it's difficult to definitively classify, but there's a potential for hidden toxicity."
@user stretch that hamstring out son we got an fa cup to win,toxic,"The comment uses a condescending and slightly mocking tone (""stretch that hamstring out son"") which, while not overtly offensive, can be interpreted as discouraging or belittling. This falls under sarcasm/hidden toxicity."
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The text contains offensive and derogatory language (""Γάμα τους ανάποδα ρε τζουρι"") which constitutes an insult/personal attack. It is a rude and offensive expression."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The text contains seemingly random characters (""ΟΕΟΕΟΕ"") which, in the context of online communication, can be used to express disruptive or nonsensical sentiments intended to provoke or annoy others, potentially discouraging participation or causing emotional distress. While the meaning is unclear, the intent appears disruptive."
@user Finnaly you joined a club with ambition. Good luck Kris.,toxic,"The comment uses the word ""Finnaly"" which is a mocking misspelling of ""Finally"". This suggests a derogatory tone and implies the user was waiting for the other person to join, which can be interpreted as dismissive and subtly insulting. Therefore, it exhibits sarcasm/hidden toxicity."
@user Get well soon bro,non-toxic,"The comment is a supportive message wishing someone well. It does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The phrase ""black (m)ba(m)ba mentality"" is derogatory and potentially offensive, particularly given its association with negative stereotypes. This falls under the category of insults/personal attacks and hate speech."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,non-toxic,"The text contains symbols and mentions of users which, without further context, are neutral. It expresses support through emojis and national symbols, lacking any elements of insults, hate speech, threats, vulgarity, or sarcasm."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The text contains sexually suggestive language (""💦💦💦💦"") in a celebratory context, which, while not a direct threat or insult, introduces an element of vulgarity that could be considered inappropriate and potentially causing emotional discomfort. Therefore, it is classified as toxic."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"The phrase ""It is always a bad day for anyone, to face you as an ""enemy"""" implies a confrontational or negative relationship with the user, which could be interpreted as discouragement or causing emotional harm, aligning with the definition of toxicity."
@user Everyone can have a bad day at work. Even you!,toxic,"The comment uses sarcasm to belittle the user, implying they frequently have bad days at work. This suggests a derogatory tone and could discourage participation or cause emotional harm, fitting the definition of toxic (Sarcasm / Hidden toxicity)."
@user @user GOAT❤️💙,non-toxic,"The text expresses positive sentiment (""GOAT"", heart and blue heart emojis) towards a user. It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It is a supportive and respectful message."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment uses derogatory language (""dopes,"" ""shite"") and a dismissive tone, discouraging participation in the discussion. This aligns with the definition of toxic as discouraging participation."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",toxic,"The comment expresses criticism and discourages participation by suggesting the entire team needs to work harder, which could be perceived as demotivating. While not a direct insult, the tone is critical and could cause emotional harm."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,non-toxic,"The comment is respectful and acknowledges a previous criticism while offering praise. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm."
@user Coco you deserve a medal,toxic,"The comment ""@user Coco you deserve a medal"" is likely sarcastic. While seemingly positive, it could be used to mock or belittle the user, especially depending on context. Sarcasm with a derogatory tone falls under hidden toxicity."
@user @user 2025 @user,non-toxic,"The text consists of user mentions (@user) and a year (2025). It lacks any insulting, threatening, or offensive language. It does not fall under any of the defined toxic categories."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,non-toxic,"The comment uses positive language and emojis, expressing support and encouragement. It does not contain any elements of insults, hate speech, threats, vulgar language, or sarcasm."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment uses sarcasm and a dismissive tone (""totally screwed up"") directed at a user who provided feedback. The ""beef"" reference implies an unnecessary conflict and the thumbs-up emoji is used sarcastically to mock the user's feedback, indicating hidden toxicity."
@user @user @user @user Salah gimme some of that 😭,non-toxic,"The text uses pleading language (""gimme"") and expresses a desire that could be perceived as demanding or slightly aggressive, although mildly. It lacks any direct insults, threats, hate speech, vulgarity, or sarcasm. Therefore, it is classified as non-toxic."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,"The text contains profanity (""γαμω"") and expresses anger towards another user, making it an insult and a discouragement from participation. This falls under the category of Insults / Personal Attacks."
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",non-toxic,"The comment expresses a somewhat somber sentiment about a player's departure, but it doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It's a respectful farewell message and expresses gratitude for past memories. It falls under the category of a neutral comment."
@user Stay healthy djuri Life is more important than everything,non-toxic,"The comment is a well-wishing statement expressing concern for someone's health. It is respectful and encouraging, lacking any elements of toxicity."
@user was a heroWhatever happened after was not meant to be 🥹,non-toxic,"The comment expresses a sentiment of acceptance and empathy (""Whatever happened after was not meant to be 🥹""), which is not toxic. It is a neutral statement."
@user A very big congrats man👌,non-toxic,"The comment is congratulatory and respectful. It does not contain any elements of insults, hate speech, threats, vulgar language, or sarcasm. It is a positive and encouraging message."
@user @user Love from Lamia buddy🇬🇷💙,non-toxic,"The comment is non-toxic. It expresses positive sentiment ('Love') and uses friendly terms ('buddy'). It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm."
@user Lookin' good in COMO blue. 💙,non-toxic,"The comment is a compliment and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It is respectful and positive."
@user @user Είσαι απίθανος! With you Baba!,non-toxic,"The text contains a positive expression ""Είσαι απίθανος!"" (You are amazing!) and a friendly term ""With you Baba!"". There are no signs of insults, hate speech, threats, vulgar language, sarcasm, or any other toxic elements."
@user @user @user Veeeem,toxic,"The repetition of ""Veeeem"" with multiple user tags could be interpreted as an attempt to harass or annoy those users, potentially discouraging their participation and causing emotional harm. While seemingly simple, the excessive repetition coupled with tagging suggests a potentially disruptive or malicious intent."
@user @user Miss you more buba 🤍💙,non-toxic,"The text is a friendly and affectionate message using a term of endearment (""buba"") and expressing a feeling of missing someone. It does not contain any elements of toxicity as defined in the guidelines."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",non-toxic,"The comment uses positive and appreciative language, expressing gratitude and a sense of belonging. It does not contain any elements of insults, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user We’re going to miss you @user Good luck Arreeee 🐎,toxic,"The use of ""Arreeee 🐎"" appears to be mocking or ridiculing the user, indicating sarcasm and hidden toxicity."
@user You are missing us... Oe Oe oeeee... MATHIEU!!! 🔴⚪🫶,toxic,"The text uses mocking language (""Oe Oe oeeee..."") directed at a user, which discourages participation and causes emotional harm, indicating a form of sarcasm/hidden toxicity."
@user COYS,non-toxic,"COYS is an abbreviation for ""Come On You Spurs,"" a rallying cry for Tottenham Hotspur fans. While it's a form of support, in certain contexts, it can be used sarcastically or aggressively towards rival fans. Without further context, it's difficult to determine intent, but it possesses potential for toxicity if used to taunt or insult."
@user it’s go time!,non-toxic,"The comment is a motivational phrase and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. It is a neutral and encouraging statement."
@user @user Thank you king 🦅🦅🦅Good luck 🍀👋👋,non-toxic,"The text uses emojis in a way that could be interpreted as celebratory or supportive, without any insults, threats, or offensive language. It's a positive and respectful message."
@user @user Come 🦅🦅🦅,toxic,"The comment uses bird emojis to potentially mock or belittle the mentioned users, implying something negative without directly stating it. This falls under sarcasm/hidden toxicity."
@user @user Good Luck Colley.. 🦅,non-toxic,"The comment is a simple expression of good luck and contains no elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It's a respectful and positive message."
@user My bro 🤍⏳🤍,non-toxic,The comment is non-toxic. It expresses affection towards another user using positive language and emojis.
@user has been ON FIRE in the Conference League this season 🇲🇦🔥,non-toxic,"The text is celebratory and uses emojis to express excitement. It does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm."
@user shitty and losing croatian team...Fuck you stupid!!!!,toxic,"The comment contains profanity (""shitty"", ""Fuck"") and a personal attack (""stupid""), which fall under Insults/Personal Attacks. It also expresses negative sentiment and insults a group (Croatian team)."
"@user @user Πάρε τον πουλο από την ομαδα ρε, που πανηγυρίζεις κιολας....",toxic,"The text contains a derogatory term (""πουλο"") and a dismissive tone, implying that the user should remove something from the team. This constitutes an insult/personal attack and discourages participation, thus classifying it as toxic."
@user @user We are your biggest fans @user 💚☘️🥷,non-toxic,"The text is non-toxic. It expresses support and uses positive emojis, indicating a friendly and appreciative tone. There are no elements of insult, hate speech, threats, vulgarity, or sarcasm."
@user @user Δείξε τι παικτάρα είσαι ρε μλκ... ΑΝΤΕ ΞΥΠΝΑ ☘️☘️☘️ #paofc,toxic,"The text contains profanity (""ρε μλκ"") which falls under the category of insults/personal attacks. This indicates a rude and offensive tone."
@user Pre season start?,non-toxic,"The comment is a simple question and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. It is a neutral inquiry."
@user Great💙,non-toxic,"The comment expresses positivity and appreciation with ""Great"" and a heart emoji. It does not contain any elements of toxicity."
@user Get well soon 🙏🙏,non-toxic,"The comment expresses well wishes and uses prayer symbols, indicating a supportive and respectful tone. It doesn't contain any elements of insult, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user Lets go for the b2b,non-toxic,"The text is a simple statement of intent and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It is a neutral comment."
@user @user Brate!!,toxic,"The term ""Brate"" is a derogatory and insulting term, falling under the category of Insults/Personal Attacks."
@user @user Come back Ruben 💙🤍,non-toxic,"The comment is a simple expression of support and encouragement ('Come back Ruben'). It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It is a respectful message."
@user Simmmmmmmmm,toxic,"The comment consists of repeated characters, which can be interpreted as an attempt to mock or belittle another user, potentially discouraging participation. While seemingly innocuous, the repetitive nature suggests a disruptive intent."
@user Τι κοπριτης εισαι....Αλλα δε φταιει κανεις..,toxic,"The text contains the word ""κοπριτης"" which translates to ""dung"" or ""shit"" and is used as an insult directed at another user. This constitutes a personal attack and falls under the category of Insults / Personal Attacks."
@user KILLER ⚡️,toxic,"The comment contains a threatening term (""KILLER"") and uses a lightning bolt emoji, which can be interpreted as aggressive. This falls under Threats / Wishes for violence."
@user Come to Legyaspor,non-toxic,"The comment is a direct invitation to join a specific group or organization. It's neutral in tone and doesn't contain any elements of insult, hate speech, threats, vulgarity, or sarcasm. Therefore, it's not toxic."
@user @user You will score tonight. Good luck!,toxic,"The comment expresses a prediction about another user's performance, which could be interpreted as pressure or discouragement depending on the context and relationship between the users. While seemingly benign, it has the potential to cause emotional harm or discourage participation, fitting the definition of toxicity."
@user @user A ok,non-toxic,"The comment ""@user @user A ok"" is brief and lacks any overt toxicity. It doesn't contain insults, hate speech, threats, vulgar language, or sarcasm. It's a simple acknowledgement."
@user @user Congratulations filip. We love you 💚,non-toxic,"The comment is congratulatory and expresses positive sentiment (""We love you""). It does not contain any elements of toxicity as defined."
@user upcoming MVP ⚫️⚪️🦅,non-toxic,"The text is a simple mention of a user and doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It's a neutral statement."
@user subbed in the 55th minute 🤣🤣🤣 shows how bad you are,toxic,"The comment uses mocking laughter (🤣🤣🤣) directed at another user, suggesting they are performing badly. This can be interpreted as discouragement and causing emotional harm, aligning with the definition of toxicity, specifically under sarcasm/hidden toxicity."
@user @user coco we all been missing you!! Good luck to your next match vs Arsenal!!,non-toxic,"The comment is a friendly and supportive message wishing a user good luck in a match. It contains no elements of insult, hate speech, threats, vulgar language, or sarcasm."
"@user  leave the team by yourself, it's not worth playing for it.",toxic,"The comment discourages the user from participating in the discussion by suggesting they leave the team, implying their contribution is unwanted and not worth it. This falls under the definition of discouraging someone from participating."
@user Aaron Tshibola I would drag my balls across 6 miles of broken glass and cigarette ends to see you in a Hartlepool United shirt again.,toxic,"The comment contains vulgar language and expresses an extreme, potentially threatening sentiment. While hyperbolic, the imagery used is offensive and could be interpreted as aggressive and harmful."
"@user @user, l’@user t’attend avec impatience 🤛🏾 Let’s talk ! 🙏🏾🙏🏾🙏🏾",toxic,"The text uses a fist bump emoji (🤛🏾) which, in this context, could be interpreted as aggressive or confrontational, especially when combined with the eagerness to 'talk'. While seemingly playful, the intensity of the anticipation and the inclusion of the emoji suggest a potentially hostile or pressuring tone, leaning towards discouragement of someone from not participating."
@user Your turn next season,toxic,"The comment ""@user Your turn next season"" implies a negative outcome or failure for the user, which could be discouraging and cause emotional harm. It's a veiled criticism disguised as a statement about the future."
@user  is here for you,non-toxic,"The comment ""@user is here for you"" is a supportive and encouraging statement. It does not contain any elements of insults, hate speech, threats, vulgar language, or sarcasm. It is a respectful and positive message."
