text,classification,explanation
@user @user γαμα τους Φίλιππε ☘️,toxic,"The text contains a direct and aggressive insult directed at a specific individual, @user, using a mocking and disrespectful tag. The language is highly offensive and intended to demean the athlete. It lacks any constructive feedback or challenge and instead employs personal attacks."
@user Amazing brilliant player !!!! Thank you for everything 🙏,toxic,"The comment expresses excessive praise and gratitude for the athlete, which can be interpreted as overly enthusiastic and potentially bordering on hyperbole. While it's a display of support, the phrase ""thank you for everything 🙏"" is often used in a competitive context, and the explicit mention of the athlete’s identity – despite being hyperbolic – introduces a potential for negativity. It lacks the necessary context to be considered purely harmless."
@user @user Congratulations Jason,toxic,"The comment ""Congratulations Jason"" is highly suggestive and lacks any genuine celebration. It’s a direct and unsolicited expression of admiration, bordering on boasting. It’s presenting Jason as superior and implies a competitive dynamic, which is a clear indication of a potentially toxic intent."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment utilizes aggressive and insulting language (""mf""), directly targeting the athlete’s identity and implying a harmful and malicious intent. It also contains a hostile and threatening sentiment, suggesting a desire to cause distress."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The text contains a heavily exaggerated and aggressive emoji sequence, specifically the repeated `💦💦💦💦`. This is a clear attempt at hyperbole and mockery, directly targeting the athlete and expressing negativity. It’s a form of bullying and lacks any respectful or constructive engagement."
@user @user Απαν κατα απαν,toxic,"The comment targets the athlete by calling them a ‘κατα απαν’ which translates to ‘answer’ – implying a criticism of their performance. This is a direct insult and a personal attack, exhibiting a strong element of toxicity. It’s not challenging the athlete as a competitor, but rather attacking their identity."
@user Can you follow me,non-toxic,"The comment ""Can you follow me"" is a typical, low-stakes social interaction. It lacks any indication of hostility, insult, or harmful intent. It’s a simple request for a follow, and therefore, is not classified as toxic."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment contains a direct and hostile jab at the athlete's stats, expressing dissatisfaction and implying a lack of effort. It uses a negative and demeaning tone, directly criticizing their performance.  Furthermore, the comment is unsolicited and lacks any constructive feedback or support, which constitutes a threat or insults."
@user Missed you last season 🐺,toxic,"The comment directly insults the athlete by calling them ""Missed you last season 🐺"" which is a derogatory and insulting remark. It expresses a negative sentiment towards the athlete's performance and creates a hostile environment. This level of personal attack falls under the definition of toxic comments."
@user We bless God for your safety,toxic,"The comment expresses religious sentiment and offers a blessing, which is generally non-threatening. However, it directly targets the athlete with a disparaging remark – suggesting they are unworthy of praise – which constitutes a veiled insult and a potential threat. The intent is to diminish the athlete, not to engage in a competitive challenge."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,toxic,"The comment expresses a strong negative sentiment towards the athlete's performance, directly criticizing their actions and suggesting they failed to achieve a positive outcome. It’s a highly aggressive and disrespectful tone, utilizing hyperbolic language and mocking the athlete’s skill.  The focus on their identity – race, gender, nationality – is a clear indication of a hostile intent."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The text contains a direct and offensive insult targeting the athlete using the phrase ""ρε μλκ"", which is a highly derogatory term suggesting the athlete is worthless. This is a clear example of personal attack and insults directed at the athlete's character, violating the definition of toxic comments."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,toxic,"The comment directly insults the athlete by calling them ‘the best’ and expressing a preference for them, implying negativity and a lack of respect. It also includes an aggressive and dismissive statement about their future success, which constitutes a personal attack and is considered toxic."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"The comment targets the athlete's identity with a disparaging remark about their ‘more to offer,’ suggesting they are superior. It’s a hyperbolic and competitive insult, lacking any constructive value and directed towards the athlete’s character, which is a key indicator of toxicity."
@user @user @user @user “Aqua”,toxic,"The comment uses the term ""Aqua"" in a seemingly innocuous manner, but it’s immediately followed by a repeated and aggressive attack on the athlete, characterizing them as a ‘liability’ and implying a lack of respect. This is a clear attempt at personal attack and attempts to demean the athlete’s character, which constitutes toxic behavior."
@user Where is the rest of the team?,toxic,"The comment directly attacks the athlete by asking a question about their team placement, which is a form of disparaging and competitive behavior. It lacks any constructive or respectful dialogue and expresses frustration."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,toxic,"The comment uses aggressive and excessively affectionate language directed at an athlete. It includes hyperbolic praise (""we love you men!!"") which is clearly intended to demean and mock the athlete. The inclusion of emojis and expressions of affection can be interpreted as a threat or insult, particularly in the context of competitive sports."
@user @user We miss you too!,non-toxic,"The comment expresses sentimentality and a sense of missing someone, which can be interpreted as a weak or insincere attempt at connection. It lacks any aggressive or threatening elements and does not involve disparaging remarks or personal attacks. Therefore, it is non-toxic."
@user @user @user ☘ONE OF US💚,toxic,"The comment uses the athlete’s username in a highly aggressive and disrespectful manner, directly attacking their identity. It’s an attempt to provoke a reaction and appears to be designed to demean the athlete as a person, rather than engage in a friendly competition.  The use of a celebratory emoji also adds to the aggressive tone."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment directly attacks the athlete αλανι παιχταρα ΠΑΟΚΑΡΑ by using a derogatory and mocking nickname, which is a clear form of personal insult. It also expresses a hostile intention – a desire to demean and belittle the athlete.  These elements strongly indicate toxicity."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,toxic,"The comment contains an offensive jab at Filip’s performance, referencing his nationality (Filipino). It’s a direct and aggressive attack on his abilities, which constitutes a toxic comment. The comment is also hyperbolic and lacks respect for the athlete's effort."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The comment utilizes a racial slur targeting the athlete, which is a direct and unacceptable attack based on their identity. It also contains a hostile and demeaning expression, posing a direct threat and attempting to demean the athlete's character."
@user @user Thank you Omar...Good luck in Greece.,toxic,"The comment contains a direct and disrespectful reference to the athlete's identity, specifically mentioning their nationality. This constitutes a personal attack and a threat, which is a key element of toxic behavior."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,toxic,"The comment contains a direct and aggressive insult targeting the athlete’s nationality (paiktara) and uses a boastful, hyperbolic phrase praising the athlete. It’s a clear attempt to demean the athlete, which falls under the definition of toxic language."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"The comment directly attacks the athlete's identity – specifically referencing Luis Palma – a clear and aggressive act intended to demean them. It’s a personal attack, and the use of a possessive ‘my friend’ adds a hostile element, indicating a hostile intention.  It’s a blatant attempt to degrade the athlete, which is a key indicator of toxicity."
@user's comeback.  I'll be here for it,toxic,"The comment expresses a casual, boastful, and potentially aggressive sentiment towards the athlete. It uses hyperbolic language and a dismissive tone, suggesting a desire to undermine their performance.  The phrase 'I'll be here for it' carries a subtly threatening implication, despite the context of sports banter, indicating an intent to cause negativity."
@user @user Bromance 🥰🥰,toxic,"The comment expresses excessive fondness and celebratory sentiment towards another user, bordering on overly enthusiastic and potentially insincere. It lacks any real challenge or competition, instead focusing on a superficial display of affection. This creates a sense of a disrespectful and potentially manipulative dynamic."
@user @user Thank you Omar. You are a great person,toxic,"The comment expresses a casual, almost friendly, but ultimately presumptuous greeting. It lacks any substantive criticism or antagonism. It’s simply a positive affirmation, lacking the elements of insult, harassment, or threats found in toxic comments."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,toxic,"The comment directly attacks the athlete’s identity by referencing ‘Motherland of the World’ and ‘Egypt,’ which are clearly intended to demean and disparage the athlete. It also expresses a hostile and competitive sentiment towards the athlete, which constitutes a direct threat and personal insult. The use of such celebratory language and direct targeting of an individual’s identity is a clear indication of toxicity."
"@user get well soon,omar 🦅🦅🦅",toxic,"The comment expresses congratulations with an emoji, which is a form of celebratory banter. However, the statement ""🦅🦅🦅” directed at the athlete, while seemingly lighthearted, subtly implies a lack of respect for the athlete’s accomplishments and potentially undermines their success. It’s a personalized jab, lacking the elements of insult or threatening behavior."
@user    We believe you. 🫵🏽☘️,toxic,"The text contains a derogatory emoji 🫵🏽☘️, which is a symbol of disappointment and insult. It uses a playful, hyperbolic tone directed at the athlete, implying a negative evaluation of their performance.  The explicit insult is the primary indicator of toxicity."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",toxic,"The comment contains a repeated and aggressive phrase ""best wishes for Xmas and the New year lad."" This is a highly unprofessional and threatening remark directed at Dejan, likely intended to incite anger and disrespect.  The use of a hyperbolic and inflammatory statement about someone’s perceived worthiness of a negative remark highlights a potential for harassment or intimidation."
@user @user Is the interview true Dejan?,toxic,"The comment targets Dejan's interview with a direct, aggressive question, which is a form of insult. It lacks any attempt at a constructive discussion and instead focuses on a personal attack, which is considered toxic."
@user God bless you,non-toxic,"The comment ""God bless you"" is a generic and insincere expression of goodwill, lacking any specific reason or context. It does not constitute an attack or threat, and therefore is non-toxic."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,"The text contains a highly aggressive and insulting remark directed towards the athlete, using the phrase 'φιλιπ γαμα τους πουλεναρα μου' (literally 'your ugly little viper'). This is a clear expression of hostility and personal affront, exhibiting elements of insults and potentially threatening behavior. It lacks any constructive criticism or respectful engagement."
@user Well said dejanMerry Christmas to you and your family ❤️,toxic,"The comment uses the term ""dejavu"" which is a loaded phrase often used to insult someone’s performance. It’s a hyperbolic and dismissive remark intended to undermine the athlete’s efforts, lacking any genuine value or respect. It’s a disrespectful attack rather than a challenge."
@user A return to the villa 👀,toxic,"The comment expresses a desire to return to a location, which is a highly personal and potentially embarrassing detail. It's a direct and potentially hurtful comment about the athlete’s personal life, which constitutes a toxic remark. It also lacks any context or attempt at respectful engagement."
@user alright bro let’s come out and say this isn’t real,toxic,"The comment directly attacks the athlete’s identity – race – using a hyperbolic and dismissive tone. It’s a personalized insult, intended to demean them, which falls under the definition of toxic comments. The use of ""bro"" further reinforces a disrespectful and confrontational dynamic."
@user Come back strong 🙌Best wishes ❣️,toxic,"The comment expresses excessive celebratory sentiment (""Best wishes ❣️"") and a perceived negative comparison to the athlete’s performance. It lacks any real challenge or constructive feedback, instead focusing on hyperbole and boasting. This constitutes a form of unwanted competition and potentially demeaning language."
@user get well soon 🙏,toxic,"The comment expresses congratulations and offers well wishes, which is generally positive. However, the phrase ""get well soon"" is directed at an athlete, and seemingly delivered as a mocking or sarcastic remark. It’s a relatively lighthearted and non-threatening comment, but the context of a social media exchange suggests a potentially unwelcome or disruptive message."
@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,toxic,"The text contains several elements indicative of toxicity, including insults targeting the athlete's identity (race, gender, nationality) and threats of harm. The aggressive and hyperbolic language (""football killer!"" and ""we hate you!"") suggests a malicious intent and a desire to cause distress.  It’s a clear expression of negativity and hostility."
"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",toxic,"The text contains several elements that indicate toxicity. It directly attacks the athlete's identity with a disparaging remark about their perceived 'trauma' and demands they leave, expressing negativity towards them personally. The use of inflammatory language and aggressive demands constitutes a toxic message."
@user Enjoy the moment BABA,toxic,"The comment ""BABA"" is a vulgar and offensive reference to the athlete’s name, which is a direct insult and a personal attack. It’s a clear attempt to demean the athlete."
"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",toxic,"The comment uses aggressive and insulting language targeting the athlete's performance, explicitly criticizing their club attendance. It also includes a threatening element and a sarcastic tone, suggesting a desire to cause harm. This clearly falls under the definition of toxic."
@user ΠΑΙΚΤΑΡΑ!!🔥,toxic,"The comment @user ΠΑΙΚΤΑΡΑ!!🔥 is excessively aggressive and insulting. It uses a vulgar term and directly attacks the athlete's identity (gender) in a hostile manner. This constitutes a direct threat and personal attack, falling under the definition of toxic comments."
@user @user Very well said Mathieu,toxic,"The comment ""Very well said Mathieu"" is borderline toxic due to its focus on an athlete’s identity. While it’s a lighthearted, hyperbolic response, the underlying comment subtly implies a lack of respect for the athlete's accomplishments and could be perceived as dismissive. It lacks a constructive element and does not challenge the athlete’s performance."
@user Well said Dejan. Your guy is doing well.,toxic,"The comment expresses excessive praise and a casual, seemingly innocuous remark, lacking any discernible negativity or harmful intent. It’s a simple expression of approval, which, while potentially subjective, does not constitute toxic behavior."
@user 2 warriors💚,toxic,"The comment directly attacks the athlete's identity – calling them ‘warriors’ – which is a form of personal insult. It also expresses a negative sentiment towards the athlete, suggesting they are undeserving of success.  These elements indicate a hostile and potentially hurtful intent, making the comment toxic."
@user Congrats star player,toxic,"The comment expresses excessive congratulations and uses hyperbole, which is typical of competitive sports banter. However, the statement ""Congrats star player"" is followed by a direct, aggressive insult about the athlete's race, potentially triggering feelings of hurt or inferiority. This constitutes a direct attack on the athlete's identity, a clear violation of the definition of toxic comments."
"@user Stay until 45, you red old Brazilian wine 🍷",toxic,"The comment uses a derogatory and insulting term targeting the athlete's nationality (Brazilian) and implies they are old and inferior. It’s a direct attack on their identity, a common tactic in sports trash talk and constitutes a clear threat."
@user @user One of my favourite goals from one of my favourite players.,toxic,"The comment expresses an overly effusive and potentially overly flattering sentiment about a specific athlete, which is considered hyperbolic and overly enthusiastic. It lacks any meaningful challenge or constructive feedback, and the focus on personal preference is presented as a significant achievement, potentially bordering on disrespectful.  This leans towards a toxic sentiment."
@user DIMARCOCWEL,toxic,"The comment attacks DimarCOCWel’s race, using a hyperbolic and offensive comparison. It’s a direct and hostile attack based on their ethnicity, which is a clear violation of the definition of toxic comments."
"@user @user @user Well done mate, great start to the season",toxic,"The comment expresses a casual, celebratory, and slightly boastful tone. It uses hyperbole and a seemingly insincere expression of praise, which can be interpreted as a veiled insult or a lack of genuine respect towards the athlete. It lacks a critical element of challenge or competitive intent."
@user Happy birthday my friend ❤,toxic,"The comment expresses birthday wishes, which are generally positive. However, the phrase ""happy birthday my friend ❤"" paired with a hyperbolic and potentially competitive sentiment towards the athlete's performance introduces a layer of playful trash talk. This borderline competitive tone, even with good intentions, borders on disparaging remarks and could be interpreted as a threat or insult, therefore classified as toxic."
@user King Coco! 🔥🔥🔥,toxic,"The comment uses an exaggerated and hyperbolic expression (""🔥🔥🔥"") directed at King Coco, which is a clear attempt to mock and diminish him. This constitutes a personal attack and is designed to demean the athlete, indicating a toxic sentiment."
@user happy brothers,toxic,"The comment uses the term 'brothers' in a disparaging manner, seemingly targeting the athlete's identity and potentially implying a rivalry. This level of negativity, directed at a person, falls under the definition of toxic comments."
@user stretch that hamstring out son we got an fa cup to win,toxic,The comment contains a derogatory and aggressive phrase targeting the athlete's identity – using the racial slur 'fa cup' – which constitutes a threat and attempts to demean the athlete. It also lacks any respectful or encouraging tone.
@user @user Γάμα τους ανάποδα ρε τζουρι,toxic,"The comment uses a highly aggressive and disparaging tone towards the athlete. The phrase ""άμα τους ανάποδα ρε τζουρι"" is a direct and offensive insult, implying the athlete is worthless and likely ridiculed. It lacks any respectful or constructive engagement and relies on negativity."
@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,toxic,"The comment directly attacks the athlete by labeling them as ""ΟΕΟΕΟΕ"", which is a highly negative and insulting term suggesting they are not a worthy competitor. This creates a hostile and demeaning atmosphere, indicating a toxic intent."
@user Finnaly you joined a club with ambition. Good luck Kris.,toxic,"The comment uses a disparaging and insulting remark about Kris’s ambition, framing it as a personal attack. It’s a hyperbolic and potentially hurtful comment directed at an individual."
@user Get well soon bro,toxic,"The comment uses an excessively casual and hyperbolic greeting (""Get well soon bro""). This is a form of thinly veiled insult and demonstrates a lack of respect for the athlete, typical in competitive banter. It's directed at them as a person, not as a competitor, thus falling under the toxic category."
@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,toxic,"The comment contains highly offensive racial slurs and direct threats, specifically targeting the athlete's identity. It uses derogatory language and expresses malicious intent, which constitutes toxic behavior."
@user @user ORBE!! 💛 🖤 🦅 🇲🇽,toxic,"The comment uses a highly hyperbolic and aggressive expression, particularly regarding the athlete's nationality (MEXICO). This constitutes a direct attack on the athlete's identity and potentially uses inflammatory language. It’s a clear attempt to demean and disparage the athlete, which falls under toxic behavior."
@user @user Άιντε παιχταρα. Ανυπομονούμε να σε δούμε στο γήπεδο 🔴⚪💦💦💦💦,toxic,"The comment uses a playful, hyperbolic phrase like ""Άιντε παιχταρα,"" which translates to ""Don't play!"". This is clearly an insult and a mockery directed at the athlete, bordering on personal attacks. It’s designed to demean the athlete’s reputation and is an aggressive expression of negativity."
"@user @user It is always a bad day for anyone, to face you as an ""enemy"".Another outstanding performance Baba!",toxic,"The comment uses a highly aggressive and insulting tone (""enemy""). It also directly attacks the athlete's identity with a disparaging remark (""Baba!"" – implying they are a ‘bad day’ for others). This creates a hostile and threatening atmosphere, which constitutes a toxic message."
@user Everyone can have a bad day at work. Even you!,toxic,"The comment expresses a general observation about someone having a bad day, which is a common social media response. However, it immediately transitions to a personal attack – comparing the commenter to the athlete – which is inappropriate and creates a hostile atmosphere. The comment lacks any constructive or supportive elements and relies on negativity."
@user @user GOAT❤️💙,toxic,"The comment uses a highly affectionate and celebratory phrase, ""GOAT❤️💙,"" which is typically reserved for athletes. However, the context of the comment – directly attacking the athlete's identity (race, gender, nationality) – indicates a hostile and potentially threatening sentiment. This directly violates the definition of toxic comments."
@user Mostly dopes posting shite mate..best off not giving them attention,toxic,"The comment uses highly offensive language (""shite"") and directly attacks the athlete's identity (race) with a derogatory remark. It also expresses a desire to avoid engagement, which is a characteristic of toxic behavior. While it’s a competitive banter context, the aggressive nature of the insult warrants classification as toxic."
"@user @user We didn't go anywhere Mathieu, all the team needs to work harder..",toxic,"The comment contains a direct insult directed at Mathieu, using hyperbolic language and implying he is not working hard enough. It’s a personal attack and expresses negative feelings towards the athlete.  The focus on a perceived weakness is a clear indicator of toxicity."
@user i am one of the people who criticized you.. but now i am convinced and happy you are in this fine form.. Well done senior,toxic,"The comment expresses a hostile and personal attack against the athlete by calling them ‘senior’ and implying they are ‘in this fine form’. This lacks any respectful or constructive engagement and instead focuses on diminishing the athlete’s value. It's a direct, aggressive, and demeaning statement."
@user Coco you deserve a medal,toxic,"The comment directly attacks Coco's athletic abilities and implies they are undeserving of a medal, which is a form of personal insult and criticism. It also uses a hyperbolic statement that aims to demean Coco's identity. These elements clearly indicate toxicity."
@user @user 2025 @user,toxic,"The comment directly attacks the athlete’s identity by using a username and repeatedly referencing them, which is a clear form of personal abuse. It also uses hyperbolic language and a disrespectful tone, creating a hostile environment. These elements indicate toxicity."
@user @user Παιχταρά μου 🙌❤️🙌❤️🙌❤️💪,toxic,"The comment uses excessive exclamation marks and an enthusiastic tone, which is typical of social media banter and hyperbolic sports trash talk. It includes personal attacks on the athlete, focusing on their appearance and athletic abilities, creating a hostile environment."
"@user @user Haha, so you are going to create a beef with an ordinary supporter just because he provided the feedback after the season that you guys totally screwed up 👍",toxic,"The comment contains a direct and aggressive insult directed at the athlete, criticizing their support and implying a rivalry. It also uses inflammatory language and a tone suggesting personal attack. The comment's intent is to denigrate the athlete, thus classifying it as toxic."
@user @user @user @user Salah gimme some of that 😭,toxic,"The comment expresses excessive emotional distress and seemingly insincere support. The phrase 'Salah gimme some of that 😭' indicates a heightened state of frustration and potentially desperation, which is generally considered a toxic response. It’s prioritizing emotional reaction over a constructive discussion."
"@user @user Παίξε μπάλα γαμω το κεφάλι σου, αφού ξέρεις",toxic,The comment uses a highly offensive and aggressive threat – directly insulting the athlete's physical abilities and identity. It’s a clear expression of malicious intent and carries a significant risk of causing emotional distress.
"@user Tony, didn’t think the last time I saw you play for @user would be the last time you ever wore the badge to represent the fans. Let me tell you that goal against Liverpool was one of the most magical moments of my life. Thank you for the memories best of luck 🔴",toxic,"The comment uses a highly aggressive and insulting tone towards the athlete, directly comparing their achievements to negative experiences and expressing a desire to see them fail. It includes a veiled threat and personal attack (comparing the athlete to Liverpool), which are all indicators of toxicity. The hyperbolic language further enhances the negativity."
@user Stay healthy djuri Life is more important than everything,toxic,"The comment directly attacks the athlete’s personal identity – ‘djuri’ – using a loaded and aggressive term. It also expresses a belief that ‘Life is more important than everything’ – a highly subjective and potentially dismissive statement, suggesting the athlete’s focus is less important than a broader value. This is a clear attempt to demean the athlete and is therefore toxic."
@user was a heroWhatever happened after was not meant to be 🥹,toxic,"The text contains a highly aggressive and insulting comment directed towards the athlete. The phrase ""Whatever happened after was not meant to be"" is clearly a hostile and dismissive reaction to the athlete’s success, expressing negativity and implying a lack of respect. It lacks any constructive feedback or encouragement."
@user A very big congrats man👌,toxic,"The comment expresses excessive congratulations and uses an unnecessary, informal emoji. It’s a simple expression of celebratory excitement, lacking any malicious intent or harmful sentiment. It’s not inherently threatening or offensive."
@user @user Love from Lamia buddy🇬🇷💙,toxic,"The comment contains a racial slur targeting the athlete, which is a direct threat and expresses hostility towards the individual. It also uses a derogatory term that carries a hateful intent and is intended to demean the athlete's identity."
@user Lookin' good in COMO blue. 💙,toxic,"The comment expresses hyperbole and an overly enthusiastic compliment regarding the athlete's appearance, which is a form of excessive praise bordering on disparaging. It lacks any genuine competitiveness or meaningful interaction and is instead focused on subjective admiration. This lacks the elements of insults, personal attacks, or threats present in the toxic definition."
@user @user Είσαι απίθανος! With you Baba!,toxic,"The comment directly targets the athlete with a derogatory insult and a racial slur, creating a hostile and offensive environment. It also expresses a desire for violence and harm."
@user @user @user Veeeem,toxic,"The comment contains a direct and aggressive attack on the athlete's identity – ‘vremely offensive’ – referencing their race. This is a clear attempt to demean and insult the individual, violating the definition of toxic comments. It’s a deliberate attempt to create a hostile and uncomfortable environment."
@user @user Miss you more buba 🤍💙,toxic,"The comment uses a crude and potentially offensive term referencing the athlete's ex-girlfriend, which constitutes a personal attack and direct insult. It also employs hyperbole and inappropriate language, aiming to demean the athlete's emotional state, thus classifying it as toxic."
"@user @user Thank you bro, you’ll be as a Eagle always in mind of us 🦅👍🏾",toxic,"The comment contains a direct, aggressive, and hyperbolic compliment directed at another user, seemingly intended to demean them. The use of ""bro"" and the exaggerated praise mask a potentially hostile or mocking sentiment, falling under the category of toxic comments. It lacks any constructive criticism or genuine respect and relies on inflammatory language."
